time error errTLE
0 0 0
0.000694444 0.000857393 0.000235372
0.00138889 0.00172803 0.000470745
0.00208333 0.00262495 0.000706117
0.00277778 0.00355989 0.00094149
0.00347222 0.00454376 0.00117686
0.00416667 0.00558647 0.00141223
0.00486111 0.00669686 0.00164761
0.00555556 0.00788325 0.00188298
0.00625 0.00915121 0.00211835
0.00694444 0.0105071 0.00235372
0.00763889 0.0119562 0.0025891
0.00833333 0.0135017 0.00282447
0.00902778 0.0151475 0.00305984
0.00972222 0.0168969 0.00329521
0.0104167 0.0187514 0.00353059
0.0111111 0.0207132 0.00376596
0.0118056 0.0227846 0.00400133
0.0125 0.0249658 0.0042367
0.0131944 0.0272584 0.00447208
0.0138889 0.0296633 0.00470745
0.0145833 0.0321811 0.00494282
0.0152778 0.0348123 0.00517819
0.0159722 0.0375574 0.00541356
0.0166667 0.040417 0.00564894
0.0173611 0.0433906 0.00588431
0.0180556 0.0464788 0.00611968
0.01875 0.0496819 0.00635505
0.0194444 0.0529993 0.00659043
0.0201389 0.0564313 0.0068258
0.0208333 0.0599782 0.00706117
0.0215278 0.0636392 0.00729654
0.0222222 0.0674145 0.00753192
0.0229167 0.0713039 0.00776729
0.0236111 0.0753073 0.00800266
0.0243056 0.0794244 0.00823803
0.025 0.0836549 0.00847341
0.0256944 0.0879987 0.00870878
0.0263889 0.0924555 0.00894415
0.0270833 0.0970249 0.00917952
0.0277778 0.101707 0.0094149
0.0284722 0.106501 0.00965027
0.0291667 0.111406 0.00988564
0.0298611 0.116423 0.010121
0.0305556 0.121551 0.0103564
0.03125 0.126789 0.0105918
0.0319444 0.132138 0.0108271
0.0326389 0.137596 0.0110625
0.0333333 0.143164 0.0112979
0.0340278 0.148841 0.0115332
0.0347222 0.154626 0.0117686
0.0354167 0.16052 0.012004
0.0361111 0.166521 0.0122394
0.0368056 0.17263 0.0124747
0.0375 0.178846 0.0127101
0.0381944 0.185168 0.0129455
0.0388889 0.191596 0.0131809
0.0395833 0.198129 0.0134162
0.0402778 0.204768 0.0136516
0.0409722 0.211511 0.013887
0.0416667 0.218358 0.0141223
0.0423611 0.225309 0.0143577
0.0430556 0.232362 0.0145931
0.04375 0.239519 0.0148285
0.0444444 0.246777 0.0150638
0.0451389 0.254137 0.0152992
0.0458333 0.261598 0.0155346
0.0465278 0.26916 0.0157699
0.0472222 0.276821 0.0160053
0.0479167 0.284582 0.0162407
0.0486111 0.292443 0.0164761
0.0493056 0.300401 0.0167114
0.05 0.308458 0.0169468
0.0506944 0.316612 0.0171822
0.0513889 0.324863 0.0174176
0.0520833 0.33321 0.0176529
0.0527778 0.341653 0.0178883
0.0534722 0.350191 0.0181237
0.0541667 0.358824 0.018359
0.0548611 0.367552 0.0185944
0.0555556 0.376373 0.0188298
0.05625 0.385287 0.0190652
0.0569444 0.394294 0.0193005
0.0576389 0.403392 0.0195359
0.0583333 0.412583 0.0197713
0.0590278 0.421864 0.0200067
0.0597222 0.431236 0.020242
0.0604167 0.440698 0.0204774
0.0611111 0.450249 0.0207128
0.0618056 0.459889 0.0209481
0.0625 0.469617 0.0211835
0.0631944 0.479433 0.0214189
0.0638889 0.489336 0.0216543
0.0645833 0.499326 0.0218896
0.0652778 0.509402 0.022125
0.0659722 0.519564 0.0223604
0.0666667 0.529812 0.0225957
0.0673611 0.540143 0.0228311
0.0680556 0.550559 0.0230665
0.06875 0.561059 0.0233019
0.0694444 0.571642 0.0235372
0.0701389 0.582307 0.0237726
0.0708333 0.593054 0.024008
0.0715278 0.603883 0.0242434
0.0722222 0.614794 0.0244787
0.0729167 0.625785 0.0247141
0.0736111 0.636856 0.0249495
0.0743056 0.648007 0.0251848
0.075 0.659237 0.0254202
0.0756944 0.670546 0.0256556
0.0763889 0.681933 0.025891
0.0770833 0.693398 0.0261263
0.0777778 0.704941 0.0263617
0.0784722 0.716561 0.0265971
0.0791667 0.728257 0.0268325
0.0798611 0.740029 0.0270678
0.0805556 0.751878 0.0273032
0.08125 0.763801 0.0275386
0.0819444 0.775799 0.0277739
0.0826389 0.787872 0.0280093
0.0833333 0.800019 0.0282447
0.0840278 0.81224 0.0284801
0.0847222 0.824534 0.0287154
0.0854167 0.836902 0.0289508
0.0861111 0.849342 0.0291862
0.0868056 0.861854 0.0294215
0.0875 0.874438 0.0296569
0.0881944 0.887094 0.0298923
0.0888889 0.899821 0.0301277
0.0895833 0.91262 0.030363
0.0902778 0.925489 0.0305984
0.0909722 0.938428 0.0308338
0.0916667 0.951438 0.0310692
0.0923611 0.964517 0.0313045
0.0930556 0.977666 0.0315399
0.09375 0.990884 0.0317753
0.0944444 1.00417 0.0320106
0.0951389 1.01753 0.032246
0.0958333 1.03095 0.0324814
0.0965278 1.04445 0.0327168
0.0972222 1.05801 0.0329521
0.0979167 1.07164 0.0331875
0.0986111 1.08533 0.0334229
0.0993056 1.0991 0.0336583
0.1 1.11293 0.0338936
0.100694 1.12683 0.034129
0.101389 1.1408 0.0343644
0.102083 1.15483 0.0345997
0.102778 1.16893 0.0348351
0.103472 1.1831 0.0350705
0.104167 1.19734 0.0353059
0.104861 1.21164 0.0355412
0.105556 1.226 0.0357766
0.10625 1.24044 0.036012
0.106944 1.25494 0.0362473
0.107639 1.26951 0.0364827
0.108333 1.28414 0.0367181
0.109028 1.29884 0.0369535
0.109722 1.31361 0.0371888
0.110417 1.32844 0.0374242
0.111111 1.34334 0.0376596
0.111806 1.3583 0.037895
0.1125 1.37333 0.0381303
0.113194 1.38843 0.0383657
0.113889 1.4036 0.0386011
0.114583 1.41883 0.0388364
0.115278 1.43412 0.0390718
0.115972 1.44949 0.0393072
0.116667 1.46492 0.0395426
0.117361 1.48042 0.0397779
0.118056 1.49598 0.0400133
0.11875 1.51161 0.0402487
0.119444 1.52731 0.0404841
0.120139 1.54308 0.0407194
0.120833 1.55891 0.0409548
0.121528 1.57481 0.0411902
0.122222 1.59078 0.0414255
0.122917 1.60682 0.0416609
0.123611 1.62293 0.0418963
0.124306 1.6391 0.0421317
0.125 1.65535 0.042367
0.125694 1.67166 0.0426024
0.126389 1.68804 0.0428378
0.127083 1.70449 0.0430731
0.127778 1.72101 0.0433085
0.128472 1.7376 0.0435439
0.129167 1.75426 0.0437793
0.129861 1.77099 0.0440146
0.130556 1.7878 0.04425
0.13125 1.80467 0.0444854
0.131944 1.82161 0.0447208
0.132639 1.83863 0.0449561
0.133333 1.85572 0.0451915
0.134028 1.87288 0.0454269
0.134722 1.89011 0.0456622
0.135417 1.90741 0.0458976
0.136111 1.92479 0.046133
0.136806 1.94225 0.0463684
0.1375 1.95977 0.0466037
0.138194 1.97737 0.0468391
