time error errTLE
0 0 0
0.000694444 0.000849385 0.000235372
0.00138889 0.00168749 0.000470745
0.00208333 0.00251488 0.000706117
0.00277778 0.00333148 0.00094149
0.00347222 0.00413721 0.00117686
0.00416667 0.00493199 0.00141223
0.00486111 0.00571576 0.00164761
0.00555556 0.00648909 0.00188298
0.00625 0.00725062 0.00211835
0.00694444 0.00800092 0.00235372
0.00763889 0.00874061 0.0025891
0.00833333 0.0094683 0.00282447
0.00902778 0.0101846 0.00305984
0.00972222 0.0108901 0.00329521
0.0104167 0.0115835 0.00353059
0.0111111 0.0122654 0.00376596
0.0118056 0.0129364 0.00400133
0.0125 0.0135952 0.0042367
0.0131944 0.0142423 0.00447208
0.0138889 0.0148778 0.00470745
0.0145833 0.0155017 0.00494282
0.0152778 0.0161139 0.00517819
0.0159722 0.0167145 0.00541356
0.0166667 0.017304 0.00564894
0.0173611 0.0178812 0.00588431
0.0180556 0.0184468 0.00611968
0.01875 0.0190014 0.00635505
0.0194444 0.0195437 0.00659043
0.0201389 0.0200744 0.0068258
0.0208333 0.0205943 0.00706117
0.0215278 0.021102 0.00729654
0.0222222 0.0215982 0.00753192
0.0229167 0.022083 0.00776729
0.0236111 0.0225565 0.00800266
0.0243056 0.0230188 0.00823803
0.025 0.0234698 0.00847341
0.0256944 0.0239098 0.00870878
0.0263889 0.0243388 0.00894415
0.0270833 0.0247569 0.00917952
0.0277778 0.0251648 0.0094149
0.0284722 0.0255615 0.00965027
0.0291667 0.0259477 0.00988564
0.0298611 0.0263242 0.010121
0.0305556 0.0266899 0.0103564
0.03125 0.0270455 0.0105918
0.0319444 0.027392 0.0108271
0.0326389 0.0277282 0.0110625
0.0333333 0.0280549 0.0112979
0.0340278 0.0283725 0.0115332
0.0347222 0.0286811 0.0117686
0.0354167 0.028981 0.012004
0.0361111 0.0292724 0.0122394
0.0368056 0.0295564 0.0124747
0.0375 0.0298318 0.0127101
0.0381944 0.0300997 0.0129455
0.0388889 0.0303611 0.0131809
0.0395833 0.030615 0.0134162
0.0402778 0.0308624 0.0136516
0.0409722 0.0311044 0.013887
0.0416667 0.0313401 0.0141223
0.0423611 0.0315706 0.0143577
0.0430556 0.0317969 0.0145931
0.04375 0.0320183 0.0148285
0.0444444 0.0322359 0.0150638
0.0451389 0.0324502 0.0152992
0.0458333 0.0326618 0.0155346
0.0465278 0.0328712 0.0157699
0.0472222 0.0330791 0.0160053
0.0479167 0.0332866 0.0162407
0.0486111 0.0334931 0.0164761
0.0493056 0.0337 0.0167114
0.05 0.0339085 0.0169468
0.0506944 0.0341181 0.0171822
0.0513889 0.0343302 0.0174176
0.0520833 0.034546 0.0176529
0.0527778 0.0347653 0.0178883
0.0534722 0.0349892 0.0181237
0.0541667 0.0352188 0.018359
0.0548611 0.0354547 0.0185944
0.0555556 0.0356979 0.0188298
0.05625 0.0359492 0.0190652
0.0569444 0.0362095 0.0193005
0.0576389 0.0364797 0.0195359
0.0583333 0.0367606 0.0197713
0.0590278 0.0370539 0.0200067
0.0597222 0.037359 0.020242
0.0604167 0.0376777 0.0204774
0.0611111 0.0380114 0.0207128
0.0618056 0.0383598 0.0209481
0.0625 0.0387244 0.0211835
0.0631944 0.0391067 0.0214189
0.0638889 0.0395063 0.0216543
0.0645833 0.0399248 0.0218896
0.0652778 0.040363 0.022125
0.0659722 0.0408217 0.0223604
0.0666667 0.0413018 0.0225957
0.0673611 0.041804 0.0228311
0.0680556 0.0423296 0.0230665
0.06875 0.0428783 0.0233019
0.0694444 0.0434513 0.0235372
0.0701389 0.0440499 0.0237726
0.0708333 0.0446735 0.024008
0.0715278 0.0453233 0.0242434
0.0722222 0.0460005 0.0244787
0.0729167 0.0467045 0.0247141
0.0736111 0.0474363 0.0249495
0.0743056 0.048197 0.0251848
0.075 0.0489859 0.0254202
0.0756944 0.049804 0.0256556
