time error errTLE
0 0 0
0.000694444 0.000850038 0.000235372
0.00138889 0.00169009 0.000470745
0.00208333 0.0025207 0.000706117
0.00277778 0.00334177 0.00094149
0.00347222 0.0041532 0.00117686
0.00416667 0.00495489 0.00141223
0.00486111 0.00574674 0.00164761
0.00555556 0.00652931 0.00188298
0.00625 0.0073012 0.00211835
0.00694444 0.00806299 0.00235372
0.00763889 0.00881524 0.0025891
0.00833333 0.00955656 0.00282447
0.00902778 0.0102875 0.00305984
0.00972222 0.0110087 0.00329521
0.0104167 0.0117188 0.00353059
0.0111111 0.0124183 0.00376596
0.0118056 0.0131078 0.00400133
0.0125 0.013786 0.0042367
0.0131944 0.0144534 0.00447208
0.0138889 0.0151101 0.00470745
0.0145833 0.0157559 0.00494282
0.0152778 0.0163909 0.00517819
0.0159722 0.0170149 0.00541356
0.0166667 0.0176287 0.00564894
0.0173611 0.0182308 0.00588431
0.0180556 0.018822 0.00611968
0.01875 0.0194028 0.00635505
0.0194444 0.019972 0.00659043
0.0201389 0.0205301 0.0068258
0.0208333 0.0210778 0.00706117
0.0215278 0.0216139 0.00729654
0.0222222 0.0221391 0.00753192
0.0229167 0.0226532 0.00776729
0.0236111 0.0231565 0.00800266
0.0243056 0.0236488 0.00823803
0.025 0.0241302 0.00847341
0.0256944 0.0246008 0.00870878
0.0263889 0.0250606 0.00894415
0.0270833 0.0255098 0.00917952
0.0277778 0.0259488 0.0094149
0.0284722 0.0263768 0.00965027
0.0291667 0.0267943 0.00988564
0.0298611 0.027202 0.010121
0.0305556 0.0275989 0.0103564
0.03125 0.0279856 0.0105918
0.0319444 0.0283629 0.0108271
0.0326389 0.0287297 0.0110625
0.0333333 0.0290868 0.0112979
0.0340278 0.0294344 0.0115332
0.0347222 0.0297726 0.0117686
0.0354167 0.0301015 0.012004
0.0361111 0.0304215 0.0122394
0.0368056 0.0307332 0.0124747
0.0375 0.0310357 0.0127101
0.0381944 0.0313299 0.0129455
0.0388889 0.0316166 0.0131809
0.0395833 0.0318949 0.0134162
0.0402778 0.0321656 0.0136516
0.0409722 0.0324296 0.013887
0.0416667 0.0326861 0.0141223
0.0423611 0.0329361 0.0143577
0.0430556 0.0331802 0.0145931
0.04375 0.033418 0.0148285
0.0444444 0.0336502 0.0150638
0.0451389 0.0338774 0.0152992
0.0458333 0.0340999 0.0155346
0.0465278 0.0343181 0.0157699
0.0472222 0.0345325 0.0160053
0.0479167 0.0347441 0.0162407
0.0486111 0.0349524 0.0164761
0.0493056 0.0351585 0.0167114
0.05 0.0353632 0.0169468
0.0506944 0.0355664 0.0171822
0.0513889 0.035769 0.0174176
0.0520833 0.0359721 0.0176529
0.0527778 0.0361755 0.0178883
0.0534722 0.0363802 0.0181237
0.0541667 0.036587 0.018359
0.0548611 0.0367965 0.0185944
0.0555556 0.0370094 0.0188298
0.05625 0.0372266 0.0190652
0.0569444 0.0374487 0.0193005
0.0576389 0.0376766 0.0195359
0.0583333 0.0379111 0.0197713
