time error errTLE
0 0 0
0.000694444 0.00113528 0.000107463
0.00138889 0.00227288 0.000214927
0.00208333 0.00341131 0.00032239
0.00277778 0.00455139 0.000429854
0.00347222 0.00569395 0.000537317
0.00416667 0.00683828 0.000644781
0.00486111 0.00798366 0.000752244
0.00555556 0.00913091 0.000859707
0.00625 0.0102808 0.000967171
0.00694444 0.011432 0.00107463
0.00763889 0.0125851 0.0011821
0.00833333 0.0137411 0.00128956
0.00902778 0.0148984 0.00139702
0.00972222 0.0160578 0.00150449
0.0104167 0.0172202 0.00161195
0.0111111 0.018384 0.00171941
0.0118056 0.0195501 0.00182688
0.0125 0.0207193 0.00193434
0.0131944 0.02189 0.0020418
0.0138889 0.0230631 0.00214927
0.0145833 0.0242393 0.00225673
0.0152778 0.0254179 0.0023642
0.0159722 0.0265982 0.00247166
0.0166667 0.027781 0.00257912
0.0173611 0.028967 0.00268659
0.0180556 0.0301548 0.00279405
0.01875 0.0313451 0.00290151
0.0194444 0.0325387 0.00300898
0.0201389 0.0337341 0.00311644
0.0208333 0.0349321 0.0032239
0.0215278 0.0361334 0.00333137
0.0222222 0.0373366 0.00343883
0.0229167 0.0385424 0.00354629
0.0236111 0.0397515 0.00365376
0.0243056 0.0409633 0.00376122
0.025 0.0421769 0.00386868
0.0256944 0.0433939 0.00397615
0.0263889 0.0446135 0.00408361
0.0270833 0.045835 0.00419107
0.0277778 0.0470591 0.00429854
0.0284722 0.0482866 0.004406
0.0291667 0.0495159 0.00451346
0.0298611 0.0507478 0.00462093
0.0305556 0.051983 0.00472839
0.03125 0.0532201 0.00483585
0.0319444 0.0544597 0.00494332
0.0326389 0.0557026 0.00505078
0.0333333 0.0569472 0.00515824
0.0340278 0.0581944 0.00526571
0.0347222 0.0594447 0.00537317
0.0354167 0.0606975 0.00548063
0.0361111 0.061952 0.0055881
0.0368056 0.0632089 0.00569556
0.0375 0.064469 0.00580302
0.0381944 0.0657306 0.00591049
0.0388889 0.0669945 0.00601795
0.0395833 0.0682614 0.00612541
0.0402778 0.0695299 0.00623288
0.0409722 0.0708005 0.00634034
0.0416667 0.072074 0.00644781
0.0423611 0.073349 0.00655527
0.0430556 0.074626 0.00666273
0.04375 0.0759058 0.0067702
0.0444444 0.0771868 0.00687766
0.0451389 0.0784699 0.00698512
0.0458333 0.0797555 0.00709259
0.0465278 0.081043 0.00720005
0.0472222 0.0823316 0.00730751
0.0479167 0.083622 0.00741498
0.0486111 0.0849147 0.00752244
0.0493056 0.0862085 0.0076299
0.05 0.0875038 0.00773737
0.0506944 0.0888014 0.00784483
0.0513889 0.0900997 0.00795229
0.0520833 0.0913995 0.00805976
0.0527778 0.0927014 0.00816722
0.0534722 0.0940038 0.00827468
0.0541667 0.0953075 0.00838215
0.0548611 0.0966132 0.00848961
0.0555556 0.0979199 0.00859707
0.05625 0.099227 0.00870454
0.0569444 0.100536 0.008812
0.0576389 0.101846 0.00891946
0.0583333 0.103155 0.00902693
0.0590278 0.104466 0.00913439
0.0597222 0.105778 0.00924185
0.0604167 0.10709 0.00934932
0.0611111 0.108403 0.00945678
0.0618056 0.109717 0.00956424
0.0625 0.11103 0.00967171
0.0631944 0.112344 0.00977917
0.0638889 0.113659 0.00988663
0.0645833 0.114974 0.0099941
0.0652778 0.116289 0.0101016
0.0659722 0.117604 0.010209
0.0666667 0.11892 0.0103165
0.0673611 0.120234 0.010424
0.0680556 0.121549 0.0105314
0.06875 0.122864 0.0106389
0.0694444 0.124178 0.0107463
0.0701389 0.125492 0.0108538
0.0708333 0.126805 0.0109613
0.0715278 0.128118 0.0110687
0.0722222 0.12943 0.0111762
0.0729167 0.130742 0.0112837
0.0736111 0.132053 0.0113911
0.0743056 0.133363 0.0114986
0.075 0.134672 0.011606
0.0756944 0.13598 0.0117135
0.0763889 0.137287 0.011821
0.0770833 0.138593 0.0119284
0.0777778 0.139898 0.0120359
0.0784722 0.141201 0.0121434
0.0791667 0.142503 0.0122508
0.0798611 0.143804 0.0123583
0.0805556 0.145103 0.0124658
0.08125 0.1464 0.0125732
0.0819444 0.147696 0.0126807
0.0826389 0.148989 0.0127881
0.0833333 0.150281 0.0128956
0.0840278 0.151572 0.0130031
0.0847222 0.15286 0.0131105
0.0854167 0.154145 0.013218
0.0861111 0.15543 0.0133255
0.0868056 0.156712 0.0134329
0.0875 0.157991 0.0135404
0.0881944 0.159268 0.0136479
0.0888889 0.160543 0.0137553
0.0895833 0.161815 0.0138628
0.0902778 0.163084 0.0139702
0.0909722 0.164351 0.0140777
0.0916667 0.165615 0.0141852
0.0923611 0.166876 0.0142926
0.0930556 0.168134 0.0144001
0.09375 0.169389 0.0145076
0.0944444 0.170642 0.014615
0.0951389 0.171891 0.0147225
0.0958333 0.173137 0.01483
0.0965278 0.17438 0.0149374
0.0972222 0.17562 0.0150449
0.0979167 0.176857 0.0151523
0.0986111 0.178089 0.0152598
0.0993056 0.179319 0.0153673
0.1 0.180545 0.0154747
0.100694 0.181767 0.0155822
0.101389 0.182986 0.0156897
0.102083 0.184202 0.0157971
0.102778 0.185413 0.0159046
0.103472 0.18662 0.016012
0.104167 0.187824 0.0161195
0.104861 0.189024 0.016227
0.105556 0.19022 0.0163344
0.10625 0.191412 0.0164419
0.106944 0.1926 0.0165494
0.107639 0.193784 0.0166568
0.108333 0.194964 0.0167643
0.109028 0.19614 0.0168718
0.109722 0.197311 0.0169792
0.110417 0.198478 0.0170867
0.111111 0.199641 0.0171941
0.111806 0.2008 0.0173016
0.1125 0.201954 0.0174091
0.113194 0.203104 0.0175165
0.113889 0.20425 0.017624
0.114583 0.20539 0.0177315
0.115278 0.206528 0.0178389
0.115972 0.20766 0.0179464
0.116667 0.208787 0.0180539
0.117361 0.209911 0.0181613
0.118056 0.21103 0.0182688
0.11875 0.212144 0.0183762
0.119444 0.213254 0.0184837
0.120139 0.214359 0.0185912
0.120833 0.215459 0.0186986
0.121528 0.216555 0.0188061
0.122222 0.217646 0.0189136
0.122917 0.218732 0.019021
0.123611 0.219814 0.0191285
0.124306 0.220892 0.019236
0.125 0.221964 0.0193434
0.125694 0.223032 0.0194509
0.126389 0.224096 0.0195583
0.127083 0.225155 0.0196658
0.127778 0.226209 0.0197733
0.128472 0.227259 0.0198807
0.129167 0.228304 0.0199882
0.129861 0.229345 0.0200957
0.130556 0.230381 0.0202031
0.13125 0.231413 0.0203106
0.131944 0.23244 0.020418
0.132639 0.233462 0.0205255
0.133333 0.234481 0.020633
0.134028 0.235494 0.0207404
0.134722 0.236504 0.0208479
0.135417 0.237509 0.0209554
0.136111 0.23851 0.0210628
0.136806 0.239506 0.0211703
0.1375 0.240499 0.0212778
0.138194 0.241487 0.0213852
0.138889 0.242471 0.0214927
0.139583 0.243452 0.0216001
0.140278 0.244429 0.0217076
0.140972 0.245401 0.0218151
0.141667 0.246369 0.0219225
0.142361 0.247334 0.02203
0.143056 0.248294 0.0221375
0.14375 0.249251 0.0222449
0.144444 0.250205 0.0223524
0.145139 0.251154 0.0224599
0.145833 0.2521 0.0225673
0.146528 0.253044 0.0226748
0.147222 0.253983 0.0227822
0.147917 0.254919 0.0228897
0.148611 0.255853 0.0229972
0.149306 0.256783 0.0231046
0.15 0.25771 0.0232121
0.150694 0.258635 0.0233196
0.151389 0.259556 0.023427
0.152083 0.260475 0.0235345
0.152778 0.26139 0.023642
0.153472 0.262304 0.0237494
0.154167 0.263215 0.0238569
0.154861 0.264123 0.0239643
0.155556 0.26503 0.0240718
0.15625 0.265933 0.0241793
0.156944 0.266835 0.0242867
0.157639 0.267736 0.0243942
0.158333 0.268634 0.0245017
0.159028 0.26953 0.0246091
0.159722 0.270426 0.0247166
0.160417 0.27132 0.024824
0.161111 0.272212 0.0249315
0.161806 0.273103 0.025039
0.1625 0.273993 0.0251464
0.163194 0.274882 0.0252539
0.163889 0.27577 0.0253614
0.164583 0.276657 0.0254688
0.165278 0.277544 0.0255763
0.165972 0.27843 0.0256838
0.166667 0.279316 0.0257912
0.167361 0.280202 0.0258987
0.168056 0.281087 0.0260061
0.16875 0.281973 0.0261136
0.169444 0.282859 0.0262211
0.170139 0.283745 0.0263285
