time error errTLE
0 0 0
0.000694444 0.00113369 0.000107463
0.00138889 0.00226654 0.000214927
0.00208333 0.00339709 0.00032239
0.00277778 0.00452622 0.000429854
0.00347222 0.00565478 0.000537317
0.00416667 0.00678211 0.000644781
0.00486111 0.00790755 0.000752244
0.00555556 0.00903195 0.000859707
0.00625 0.0101562 0.000967171
0.00694444 0.0112788 0.00107463
0.00763889 0.0124007 0.0011821
0.00833333 0.0135228 0.00128956
0.00902778 0.0146436 0.00139702
0.00972222 0.0157639 0.00150449
0.0104167 0.0168847 0.00161195
0.0111111 0.0180046 0.00171941
0.0118056 0.0191243 0.00182688
0.0125 0.0202449 0.00193434
0.0131944 0.0213647 0.0020418
0.0138889 0.0224848 0.00214927
0.0145833 0.023606 0.00225673
0.0152778 0.0247277 0.0023642
0.0159722 0.0258491 0.00247166
0.0166667 0.0269711 0.00257912
0.0173611 0.0280947 0.00268659
0.0180556 0.0292183 0.00279405
0.01875 0.0303429 0.00290151
0.0194444 0.0314694 0.00300898
0.0201389 0.0325962 0.00311644
0.0208333 0.0337243 0.0032239
0.0215278 0.0348545 0.00333137
0.0222222 0.0359854 0.00343883
0.0229167 0.0371178 0.00354629
0.0236111 0.0382527 0.00365376
0.0243056 0.0393893 0.00376122
0.025 0.040527 0.00386868
0.0256944 0.0416673 0.00397615
0.0263889 0.0428097 0.00408361
0.0270833 0.0439534 0.00419107
0.0277778 0.0450993 0.00429854
0.0284722 0.0462482 0.004406
0.0291667 0.0473988 0.00451346
0.0298611 0.0485517 0.00462093
0.0305556 0.0497079 0.00472839
0.03125 0.0508659 0.00483585
0.0319444 0.0520266 0.00494332
0.0326389 0.0531907 0.00505078
0.0333333 0.0543569 0.00515824
0.0340278 0.0555259 0.00526571
0.0347222 0.0566986 0.00537317
0.0354167 0.0578742 0.00548063
0.0361111 0.0590521 0.0055881
0.0368056 0.0602331 0.00569556
0.0375 0.061418 0.00580302
0.0381944 0.0626053 0.00591049
0.0388889 0.0637957 0.00601795
0.0395833 0.0649902 0.00612541
0.0402778 0.0661872 0.00623288
0.0409722 0.0673875 0.00634034
0.0416667 0.068592 0.00644781
0.0423611 0.069799 0.00655527
0.0430556 0.0710095 0.00666273
0.04375 0.0722241 0.0067702
0.0444444 0.0734413 0.00687766
0.0451389 0.0746621 0.00698512
0.0458333 0.075887 0.00709259
0.0465278 0.0771154 0.00720005
0.0472222 0.0783465 0.00730751
0.0479167 0.079581 0.00741498
0.0486111 0.0808198 0.00752244
0.0493056 0.0820612 0.0076299
0.05 0.083306 0.00773737
0.0506944 0.084555 0.00784483
0.0513889 0.0858066 0.00795229
0.0520833 0.0870616 0.00805976
0.0527778 0.0883207 0.00816722
