time error errTLE
0 0 0
0.000694444 0.00113392 0.000107463
0.00138889 0.00226743 0.000214927
0.00208333 0.0033991 0.00032239
0.00277778 0.0045298 0.000429854
0.00347222 0.00566039 0.000537317
0.00416667 0.0067902 0.000644781
0.00486111 0.00791858 0.000752244
0.00555556 0.00904637 0.000859707
0.00625 0.0101745 0.000967171
0.00694444 0.0113014 0.00107463
0.00763889 0.0124281 0.0011821
0.00833333 0.0135554 0.00128956
0.00902778 0.0146818 0.00139702
0.00972222 0.0158083 0.00150449
0.0104167 0.0169358 0.00161195
0.0111111 0.0180626 0.00171941
0.0118056 0.0191899 0.00182688
0.0125 0.0203184 0.00193434
0.0131944 0.0214466 0.0020418
0.0138889 0.0225755 0.00214927
0.0145833 0.023706 0.00225673
0.0152778 0.0248373 0.0023642
0.0159722 0.0259687 0.00247166
0.0166667 0.0271013 0.00257912
0.0173611 0.0282358 0.00268659
0.0180556 0.0293707 0.00279405
0.01875 0.0305071 0.00290151
0.0194444 0.0316456 0.00300898
0.0201389 0.0327849 0.00311644
0.0208333 0.0339258 0.0032239
0.0215278 0.0350692 0.00333137
0.0222222 0.0362137 0.00343883
0.0229167 0.0373601 0.00354629
0.0236111 0.0385092 0.00365376
0.0243056 0.0396603 0.00376122
0.025 0.0408129 0.00386868
0.0256944 0.0419685 0.00397615
0.0263889 0.0431263 0.00408361
0.0270833 0.0442858 0.00419107
0.0277778 0.0454478 0.00429854
0.0284722 0.046613 0.004406
0.0291667 0.04778 0.00451346
0.0298611 0.0489498 0.00462093
0.0305556 0.050123 0.00472839
0.03125 0.0512982 0.00483585
0.0319444 0.0524763 0.00494332
0.0326389 0.053658 0.00505078
0.0333333 0.0548419 0.00515824
0.0340278 0.0560289 0.00526571
0.0347222 0.0572196 0.00537317
0.0354167 0.0584134 0.00548063
0.0361111 0.0596096 0.0055881
0.0368056 0.060809 0.00569556
0.0375 0.0620123 0.00580302
0.0381944 0.0632181 0.00591049
0.0388889 0.0644272 0.00601795
0.0395833 0.0656403 0.00612541
0.0402778 0.066856 0.00623288
0.0409722 0.068075 0.00634034
0.0416667 0.069298 0.00644781
0.0423611 0.0705237 0.00655527
0.0430556 0.0717527 0.00666273
0.04375 0.0729859 0.0067702
0.0444444 0.0742216 0.00687766
0.0451389 0.0754607 0.00698512
0.0458333 0.0767039 0.00709259
0.0465278 0.0779505 0.00720005
0.0472222 0.0791996 0.00730751
0.0479167 0.080452 0.00741498
0.0486111 0.0817084 0.00752244
0.0493056 0.0829674 0.0076299
0.05 0.0842295 0.00773737
0.0506944 0.0854957 0.00784483
0.0513889 0.0867642 0.00795229
0.0520833 0.0880358 0.00805976
0.0527778 0.0893112 0.00816722
0.0534722 0.0905889 0.00827468
0.0541667 0.0918696 0.00838215
0.0548611 0.0931539 0.00848961
0.0555556 0.0944411 0.00859707
0.05625 0.0957303 0.00870454
0.0569444 0.0970229 0.008812
0.0576389 0.0983183 0.00891946
0.0583333 0.0996153 0.00902693
0.0590278 0.100915 0.00913439
0.0597222 0.102218 0.00924185
0.0604167 0.103522 0.00934932
0.0611111 0.104828 0.00945678
0.0618056 0.106138 0.00956424
0.0625 0.107449 0.00967171
0.0631944 0.108761 0.00977917
0.0638889 0.110076 0.00988663
0.0645833 0.111392 0.0099941
0.0652778 0.11271 0.0101016
0.0659722 0.11403 0.010209
0.0666667 0.115352 0.0103165
0.0673611 0.116673 0.010424
0.0680556 0.117996 0.0105314
0.06875 0.119321 0.0106389
0.0694444 0.120646 0.0107463
0.0701389 0.121971 0.0108538
0.0708333 0.123298 0.0109613
0.0715278 0.124624 0.0110687
0.0722222 0.125951 0.0111762
0.0729167 0.127279 0.0112837
0.0736111 0.128606 0.0113911
0.0743056 0.129932 0.0114986
0.075 0.13126 0.011606
0.0756944 0.132585 0.0117135
0.0763889 0.133911 0.011821
0.0770833 0.135236 0.0119284
0.0777778 0.13656 0.0120359
0.0784722 0.137882 0.0121434
0.0791667 0.139203 0.0122508
0.0798611 0.140523 0.0123583
0.0805556 0.141841 0.0124658
0.08125 0.143156 0.0125732
0.0819444 0.144471 0.0126807
0.0826389 0.145782 0.0127881
0.0833333 0.147091 0.0128956
0.0840278 0.148399 0.0130031
0.0847222 0.149702 0.0131105
0.0854167 0.151003 0.013218
0.0861111 0.152301 0.0133255
0.0868056 0.153595 0.0134329
0.0875 0.154886 0.0135404
0.0881944 0.156173 0.0136479
0.0888889 0.157456 0.0137553
0.0895833 0.158735 0.0138628
0.0902778 0.160009 0.0139702
0.0909722 0.161279 0.0140777
0.0916667 0.162543 0.0141852
0.0923611 0.163803 0.0142926
0.0930556 0.165057 0.0144001
0.09375 0.166306 0.0145076
0.0944444 0.167549 0.014615
0.0951389 0.168787 0.0147225
0.0958333 0.170018 0.01483
0.0965278 0.171243 0.0149374
0.0972222 0.172462 0.0150449
0.0979167 0.173675 0.0151523
0.0986111 0.174879 0.0152598
0.0993056 0.176077 0.0153673
0.1 0.177268 0.0154747
0.100694 0.178451 0.0155822
0.101389 0.179626 0.0156897
0.102083 0.180793 0.0157971
0.102778 0.181952 0.0159046
0.103472 0.183103 0.016012
0.104167 0.184245 0.0161195
0.104861 0.185378 0.016227
0.105556 0.186502 0.0163344
0.10625 0.187618 0.0164419
0.106944 0.188723 0.0165494
0.107639 0.189819 0.0166568
0.108333 0.190906 0.0167643
0.109028 0.191983 0.0168718
0.109722 0.193049 0.0169792
0.110417 0.194104 0.0170867
0.111111 0.19515 0.0171941
0.111806 0.196184 0.0173016
0.1125 0.197207 0.0174091
0.113194 0.19822 0.0175165
0.113889 0.199221 0.017624
0.114583 0.200211 0.0177315
0.115278 0.201189 0.0178389
0.115972 0.202155 0.0179464
0.116667 0.203109 0.0180539
0.117361 0.204052 0.0181613
0.118056 0.204983 0.0182688
0.11875 0.2059 0.0183762
0.119444 0.206805 0.0184837
0.120139 0.207698 0.0185912
0.120833 0.208577 0.0186986
0.121528 0.209443 0.0188061
0.122222 0.210297 0.0189136
0.122917 0.211137 0.019021
0.123611 0.211963 0.0191285
0.124306 0.212777 0.019236
0.125 0.213576 0.0193434
0.125694 0.214362 0.0194509
0.126389 0.215134 0.0195583
0.127083 0.215892 0.0196658
0.127778 0.216636 0.0197733
0.128472 0.217367 0.0198807
0.129167 0.218083 0.0199882
0.129861 0.218785 0.0200957
0.130556 0.219472 0.0202031
0.13125 0.220146 0.0203106
0.131944 0.220805 0.020418
0.132639 0.221449 0.0205255
0.133333 0.22208 0.020633
0.134028 0.222696 0.0207404
0.134722 0.223297 0.0208479
0.135417 0.223884 0.0209554
0.136111 0.224456 0.0210628
0.136806 0.225014 0.0211703
0.1375 0.225558 0.0212778
0.138194 0.226087 0.0213852
0.138889 0.226602 0.0214927
0.139583 0.227103 0.0216001
0.140278 0.22759 0.0217076
0.140972 0.228062 0.0218151
0.141667 0.22852 0.0219225
0.142361 0.228965 0.02203
0.143056 0.229395 0.0221375
0.14375 0.229811 0.0222449
0.144444 0.230214 0.0223524
0.145139 0.230603 0.0224599
0.145833 0.230979 0.0225673
0.146528 0.231342 0.0226748
0.147222 0.231691 0.0227822
0.147917 0.232027 0.0228897
0.148611 0.232351 0.0229972
0.149306 0.232663 0.0231046
0.15 0.232962 0.0232121
0.150694 0.233249 0.0233196
0.151389 0.233524 0.023427
0.152083 0.233787 0.0235345
0.152778 0.234039 0.023642
0.153472 0.23428 0.0237494
