time error errTLE
0 0 0
0.000694444 0.00191751 0.000102703
0.00138889 0.00322741 0.000205406
0.00208333 0.00420811 0.000308108
0.00277778 0.00531882 0.000410811
0.00347222 0.0070595 0.000513514
0.00416667 0.0097138 0.000616217
0.00486111 0.0133299 0.00071892
0.00555556 0.0178608 0.000821622
0.00625 0.0232482 0.000924325
0.00694444 0.0294452 0.00102703
0.00763889 0.0364121 0.00112973
0.00833333 0.0441135 0.00123243
0.00902778 0.0525159 0.00133514
0.00972222 0.0615849 0.00143784
0.0104167 0.0712809 0.00154054
0.0111111 0.081564 0.00164324
0.0118056 0.092391 0.00174595
0.0125 0.103712 0.00184865
0.0131944 0.115474 0.00195135
0.0138889 0.127619 0.00205406
0.0145833 0.140076 0.00215676
0.0152778 0.152772 0.00225946
0.0159722 0.165626 0.00236216
0.0166667 0.178556 0.00246487
0.0173611 0.191484 0.00256757
0.0180556 0.204344 0.00267027
0.01875 0.217082 0.00277298
0.0194444 0.229665 0.00287568
0.0201389 0.242077 0.00297838
0.0208333 0.254318 0.00308108
0.0215278 0.266392 0.00318379
0.0222222 0.278308 0.00328649
0.0229167 0.290067 0.00338919
0.0236111 0.301657 0.00349189
0.0243056 0.313059 0.0035946
0.025 0.324242 0.0036973
0.0256944 0.335174 0.0038
0.0263889 0.345827 0.00390271
0.0270833 0.356187 0.00400541
0.0277778 0.366249 0.00410811
0.0284722 0.376021 0.00421081
0.0291667 0.385516 0.00431352
0.0298611 0.394739 0.00441622
0.0305556 0.403679 0.00451892
0.03125 0.412303 0.00462163
0.0319444 0.420546 0.00472433
0.0326389 0.428319 0.00482703
0.0333333 0.435519 0.00492973
0.0340278 0.442042 0.00503244
0.0347222 0.447794 0.00513514
0.0354167 0.452716 0.00523784
0.0361111 0.456788 0.00534055
0.0368056 0.460029 0.00544325
0.0375 0.462497 0.00554595
0.0381944 0.464283 0.00564865
0.0388889 0.465483 0.00575136
0.0395833 0.46619 0.00585406
0.0402778 0.466481 0.00595676
0.0409722 0.466401 0.00605946
0.0416667 0.465958 0.00616217
0.0423611 0.465136 0.00626487
0.0430556 0.463898 0.00636757
0.04375 0.462193 0.00647028
0.0444444 0.459982 0.00657298
0.0451389 0.457236 0.00667568
0.0458333 0.453945 0.00677838
0.0465278 0.450119 0.00688109
0.0472222 0.445789 0.00698379
0.0479167 0.44099 0.00708649
0.0486111 0.435763 0.0071892
0.0493056 0.430155 0.0072919
0.05 0.424202 0.0073946
0.0506944 0.417936 0.0074973
0.0513889 0.411391 0.00760001
0.0520833 0.404596 0.00770271
0.0527778 0.397579 0.00780541
0.0534722 0.390372 0.00790811
0.0541667 0.383012 0.00801082
0.0548611 0.37553 0.00811352
0.0555556 0.367967 0.00821622
0.05625 0.360365 0.00831893
0.0569444 0.352765 0.00842163
0.0576389 0.345216 0.00852433
0.0583333 0.337774 0.00862703
0.0590278 0.330497 0.00872974
0.0597222 0.323452 0.00883244
0.0604167 0.316709 0.00893514
0.0611111 0.310332 0.00903785
0.0618056 0.304377 0.00914055
0.0625 0.298892 0.00924325
0.0631944 0.29391 0.00934595
0.0638889 0.289445 0.00944866
0.0645833 0.285504 0.00955136
0.0652778 0.282088 0.00965406
0.0659722 0.279197 0.00975677
0.0666667 0.276844 0.00985947
0.0673611 0.275057 0.00996217
0.0680556 0.273879 0.0100649
0.06875 0.273376 0.0101676
0.0694444 0.273637 0.0102703
0.0701389 0.274768 0.010373
0.0708333 0.276884 0.0104757
0.0715278 0.280114 0.0105784
0.0722222 0.284586 0.0106811
0.0729167 0.290414 0.0107838
0.0736111 0.297704 0.0108865
0.0743056 0.306536 0.0109892
0.075 0.316957 0.0110919
0.0756944 0.328986 0.0111946
0.0763889 0.342605 0.0112973
0.0770833 0.35776 0.0114
0.0777778 0.374366 0.0115027
0.0784722 0.392311 0.0116054
0.0791667 0.411457 0.0117081
0.0798611 0.431642 0.0118108
0.0805556 0.452698 0.0119135
0.08125 0.474439 0.0120162
0.0819444 0.496681 0.0121189
0.0826389 0.519244 0.0122216
0.0833333 0.541959 0.0123243
0.0840278 0.564671 0.012427
0.0847222 0.587246 0.0125297
0.0854167 0.609573 0.0126324
0.0861111 0.631555 0.0127351
0.0868056 0.653117 0.0128378
0.0875 0.67419 0.0129406
0.0881944 0.694706 0.0130433
0.0888889 0.7146 0.013146
0.0895833 0.733802 0.0132487
0.0902778 0.752238 0.0133514
0.0909722 0.769836 0.0134541
0.0916667 0.786531 0.0135568
0.0923611 0.80227 0.0136595
0.0930556 0.817016 0.0137622
0.09375 0.830748 0.0138649
0.0944444 0.843465 0.0139676
0.0951389 0.855162 0.0140703
0.0958333 0.865842 0.014173
0.0965278 0.87549 0.0142757
0.0972222 0.884074 0.0143784
0.0979167 0.89154 0.0144811
0.0986111 0.897819 0.0145838
0.0993056 0.902832 0.0146865
0.1 0.906502 0.0147892
0.100694 0.908778 0.0148919
0.101389 0.909636 0.0149946
0.102083 0.909095 0.0150973
0.102778 0.90722 0.0152
0.103472 0.904115 0.0153027
0.104167 0.899907 0.0154054
0.104861 0.894744 0.0155081
0.105556 0.888767 0.0156108
0.10625 0.882095 0.0157135
0.106944 0.874825 0.0158162
0.107639 0.867022 0.0159189
0.108333 0.858715 0.0160216
0.109028 0.849923 0.0161243
0.109722 0.840652 0.016227
0.110417 0.830909 0.0163297
0.111111 0.820714 0.0164324
0.111806 0.810108 0.0165351
0.1125 0.799145 0.0166379
0.113194 0.787893 0.0167406
0.113889 0.776433 0.0168433
0.114583 0.764845 0.016946
0.115278 0.753204 0.0170487
0.115972 0.741578 0.0171514
0.116667 0.730027 0.0172541
0.117361 0.7186 0.0173568
0.118056 0.70734 0.0174595
0.11875 0.696284 0.0175622
