time error errTLE
0 0 0
0.000694444 0.00191755 0.000102703
0.00138889 0.00322758 0.000205406
0.00208333 0.00420846 0.000308108
0.00277778 0.0053193 0.000410811
0.00347222 0.00706 0.000513514
0.00416667 0.00971422 0.000616217
0.00486111 0.0133302 0.00071892
0.00555556 0.0178609 0.000821622
0.00625 0.0232482 0.000924325
0.00694444 0.0294451 0.00102703
0.00763889 0.036412 0.00112973
0.00833333 0.0441134 0.00123243
0.00902778 0.052516 0.00133514
0.00972222 0.0615851 0.00143784
0.0104167 0.0712814 0.00154054
0.0111111 0.0815648 0.00164324
0.0118056 0.0923922 0.00174595
0.0125 0.103714 0.00184865
0.0131944 0.115477 0.00195135
0.0138889 0.127623 0.00205406
0.0145833 0.140081 0.00215676
0.0152778 0.152777 0.00225946
0.0159722 0.165633 0.00236216
0.0166667 0.178565 0.00246487
0.0173611 0.191494 0.00256757
0.0180556 0.204357 0.00267027
0.01875 0.217098 0.00277298
0.0194444 0.229684 0.00287568
0.0201389 0.242099 0.00297838
0.0208333 0.254343 0.00308108
0.0215278 0.266421 0.00318379
0.0222222 0.27834 0.00328649
0.0229167 0.290104 0.00338919
0.0236111 0.301699 0.00349189
0.0243056 0.313106 0.0035946
0.025 0.324295 0.0036973
0.0256944 0.335233 0.0038
0.0263889 0.345892 0.00390271
0.0270833 0.356259 0.00400541
0.0277778 0.366329 0.00410811
0.0284722 0.376108 0.00421081
0.0291667 0.385611 0.00431352
0.0298611 0.394843 0.00441622
0.0305556 0.403793 0.00451892
0.03125 0.412426 0.00462163
0.0319444 0.420679 0.00472433
0.0326389 0.428463 0.00482703
0.0333333 0.435674 0.00492973
0.0340278 0.442208 0.00503244
0.0347222 0.447972 0.00513514
0.0354167 0.452907 0.00523784
0.0361111 0.456991 0.00534055
0.0368056 0.460246 0.00544325
0.0375 0.462728 0.00554595
0.0381944 0.464527 0.00564865
0.0388889 0.465741 0.00575136
0.0395833 0.466463 0.00585406
0.0402778 0.466769 0.00595676
0.0409722 0.466704 0.00605946
0.0416667 0.466277 0.00616217
0.0423611 0.46547 0.00626487
0.0430556 0.464248 0.00636757
0.04375 0.46256 0.00647028
0.0444444 0.460366 0.00657298
0.0451389 0.457638 0.00667568
0.0458333 0.454365 0.00677838
0.0465278 0.450559 0.00688109
0.0472222 0.446248 0.00698379
0.0479167 0.44147 0.00708649
0.0486111 0.436265 0.0071892
0.0493056 0.430678 0.0072919
0.05 0.424748 0.0073946
0.0506944 0.418507 0.0074973
0.0513889 0.411987 0.00760001
0.0520833 0.405218 0.00770271
0.0527778 0.398228 0.00780541
0.0534722 0.39105 0.00790811
0.0541667 0.38372 0.00801082
0.0548611 0.37627 0.00811352
0.0555556 0.36874 0.00821622
0.05625 0.361172 0.00831893
0.0569444 0.353608 0.00842163
0.0576389 0.346096 0.00852433
0.0583333 0.338692 0.00862703
0.0590278 0.331456 0.00872974
0.0597222 0.324452 0.00883244
0.0604167 0.317751 0.00893514
0.0611111 0.311417 0.00903785
0.0618056 0.305508 0.00914055
0.0625 0.300071 0.00924325
0.0631944 0.29514 0.00934595
0.0638889 0.290729 0.00944866
0.0645833 0.286848 0.00955136
0.0652778 0.283499 0.00965406
0.0659722 0.280682 0.00975677
0.0666667 0.278412 0.00985947
0.0673611 0.276717 0.00996217
0.0680556 0.27564 0.0100649
0.06875 0.275248 0.0101676
0.0694444 0.275629 0.0102703
0.0701389 0.276885 0.010373
0.0708333 0.279133 0.0104757
0.0715278 0.282498 0.0105784
0.0722222 0.287106 0.0106811
0.0729167 0.293068 0.0107838
0.0736111 0.300489 0.0108865
0.0743056 0.309446 0.0109892
0.075 0.319984 0.0110919
0.0756944 0.332123 0.0111946
0.0763889 0.345843 0.0112973
0.0770833 0.361091 0.0114
0.0777778 0.377783 0.0115027
0.0784722 0.395808 0.0116054
0.0791667 0.415027 0.0117081
0.0798611 0.435282 0.0118108
0.0805556 0.456404 0.0119135
0.08125 0.478209 0.0120162
0.0819444 0.500513 0.0121189
0.0826389 0.523137 0.0122216
0.0833333 0.545914 0.0123243
0.0840278 0.568686 0.012427
0.0847222 0.591321 0.0125297
0.0854167 0.61371 0.0126324
0.0861111 0.635754 0.0127351
0.0868056 0.657379 0.0128378
0.0875 0.678515 0.0129406
0.0881944 0.699096 0.0130433
0.0888889 0.719054 0.013146
0.0895833 0.738322 0.0132487
0.0902778 0.756825 0.0133514
0.0909722 0.774489 0.0134541
0.0916667 0.791251 0.0135568
0.0923611 0.807057 0.0136595
0.0930556 0.821869 0.0137622
0.09375 0.835669 0.0138649
0.0944444 0.848452 0.0139676
0.0951389 0.860216 0.0140703
0.0958333 0.870961 0.014173
0.0965278 0.880676 0.0142757
0.0972222 0.889324 0.0143784
0.0979167 0.896855 0.0144811
0.0986111 0.903199 0.0145838
0.0993056 0.908275 0.0146865
0.1 0.912009 0.0147892
0.100694 0.914347 0.0148919
0.101389 0.915266 0.0149946
0.102083 0.914785 0.0150973
0.102778 0.912969 0.0152
0.103472 0.909921 0.0153027
0.104167 0.905769 0.0154054
0.104861 0.90066 0.0155081
0.105556 0.894735 0.0156108
0.10625 0.888114 0.0157135
0.106944 0.880892 0.0158162
0.107639 0.873135 0.0159189
0.108333 0.864873 0.0160216
0.109028 0.856122 0.0161243
0.109722 0.846891 0.016227
0.110417 0.837186 0.0163297
0.111111 0.827026 0.0164324
0.111806 0.816453 0.0165351
0.1125 0.80552 0.0166379
0.113194 0.794296 0.0167406
0.113889 0.78286 0.0168433
0.114583 0.771294 0.016946
0.115278 0.759672 0.0170487
0.115972 0.748062 0.0171514
0.116667 0.736525 0.0172541
0.117361 0.725109 0.0173568
0.118056 0.713857 0.0174595
0.11875 0.702807 0.0175622
0.119444 0.691987 0.0176649
0.120139 0.681424 0.0177676
0.120833 0.671142 0.0178703
0.121528 0.661155 0.017973
0.122222 0.651473 0.0180757
0.122917 0.642108 0.0181784
0.123611 0.633066 0.0182811
0.124306 0.624357 0.0183838
0.125 0.615994 0.0184865
0.125694 0.607995 0.0185892
0.126389 0.600378 0.0186919
0.127083 0.593167 0.0187946
0.127778 0.586382 0.0188973
0.128472 0.580039 0.019
0.129167 0.574154 0.0191027
0.129861 0.568739 0.0192054
0.130556 0.563806 0.0193081
0.13125 0.559371 0.0194108
0.131944 0.555467 0.0195135
0.132639 0.552136 0.0196162
0.133333 0.549442 0.0197189
0.134028 0.547475 0.0198216
0.134722 0.546348 0.0199243
0.135417 0.546191 0.020027
0.136111 0.547159 0.0201297
0.136806 0.549421 0.0202324
0.1375 0.553151 0.0203352
0.138194 0.558526 0.0204379
0.138889 0.565715 0.0205406
0.139583 0.574864 0.0206433
0.140278 0.586098 0.020746
0.140972 0.599506 0.0208487
0.141667 0.615135 0.0209514
0.142361 0.632986 0.0210541
0.143056 0.653019 0.0211568
0.14375 0.675142 0.0212595
0.144444 0.699225 0.0213622
0.145139 0.725097 0.0214649
0.145833 0.752557 0.0215676
0.146528 0.781373 0.0216703
0.147222 0.811299 0.021773
0.147917 0.842081 0.0218757
0.148611 0.873459 0.0219784
0.149306 0.905186 0.0220811
0.15 0.937029 0.0221838
0.150694 0.968775 0.0222865
0.151389 1.00023 0.0223892
0.152083 1.03124 0.0224919
0.152778 1.06164 0.0225946
0.153472 1.09129 0.0226973
0.154167 1.12008 0.0228
0.154861 1.14786 0.0229027
0.155556 1.17452 0.0230054
0.15625 1.19992 0.0231081
0.156944 1.22396 0.0232108
0.157639 1.24652 0.0233135
0.158333 1.26751 0.0234162
0.159028 1.28688 0.0235189
0.159722 1.30456 0.0236216
0.160417 1.32053 0.0237243
0.161111 1.33478 0.023827
0.161806 1.34729 0.0239298
0.1625 1.35805 0.0240325
