time error errTLE
0 0 0
0.000694444 0.000759778 7.68757e-05
0.00138889 0.00220072 0.000153751
0.00208333 0.00426232 0.000230627
0.00277778 0.00686731 0.000307503
0.00347222 0.0099343 0.000384378
0.00416667 0.0133842 0.000461254
0.00486111 0.0171494 0.00053813
0.00555556 0.0211759 0.000615005
0.00625 0.0254263 0.000691881
0.00694444 0.0298799 0.000768757
0.00763889 0.0345314 0.000845632
0.00833333 0.0393882 0.000922508
0.00902778 0.0444654 0.000999384
0.00972222 0.0497841 0.00107626
0.0104167 0.0553675 0.00115314
0.0111111 0.0612394 0.00123001
0.0118056 0.0674247 0.00130689
0.0125 0.07395 0.00138376
0.0131944 0.0808459 0.00146064
0.0138889 0.0881479 0.00153751
0.0145833 0.0958985 0.00161439
0.0152778 0.104149 0.00169126
0.0159722 0.11296 0.00176814
0.0166667 0.122397 0.00184502
0.0173611 0.132537 0.00192189
0.0180556 0.14346 0.00199877
0.01875 0.155249 0.00207564
0.0194444 0.167985 0.00215252
0.0201389 0.181743 0.00222939
0.0208333 0.196586 0.00230627
0.0215278 0.212556 0.00238315
0.0222222 0.229674 0.00246002
0.0229167 0.247937 0.0025369
0.0236111 0.267313 0.00261377
0.0243056 0.287755 0.00269065
0.025 0.309195 0.00276752
0.0256944 0.331555 0.0028444
0.0263889 0.354758 0.00292128
0.0270833 0.378727 0.00299815
0.0277778 0.403395 0.00307503
0.0284722 0.428703 0.0031519
0.0291667 0.454607 0.00322878
0.0298611 0.481068 0.00330565
0.0305556 0.50805 0.00338253
0.03125 0.535522 0.00345941
0.0319444 0.563446 0.00353628
0.0326389 0.591774 0.00361316
0.0333333 0.620455 0.00369003
0.0340278 0.649422 0.00376691
0.0347222 0.678602 0.00384378
0.0354167 0.707921 0.00392066
0.0361111 0.737299 0.00399753
0.0368056 0.766658 0.00407441
0.0375 0.795923 0.00415129
0.0381944 0.825025 0.00422816
0.0388889 0.853899 0.00430504
0.0395833 0.882485 0.00438191
0.0402778 0.910727 0.00445879
0.0409722 0.93857 0.00453566
0.0416667 0.965959 0.00461254
0.0423611 0.992846 0.00468942
0.0430556 1.01917 0.00476629
0.04375 1.04489 0.00484317
0.0444444 1.06994 0.00492004
0.0451389 1.09427 0.00499692
0.0458333 1.11782 0.00507379
0.0465278 1.14052 0.00515067
0.0472222 1.16231 0.00522755
0.0479167 1.18312 0.00530442
0.0486111 1.20285 0.0053813
0.0493056 1.22144 0.00545817
0.05 1.2388 0.00553505
0.0506944 1.25485 0.00561192
0.0513889 1.26951 0.0056888
0.0520833 1.28274 0.00576568
0.0527778 1.29446 0.00584255
0.0534722 1.30468 0.00591943
0.0541667 1.31336 0.0059963
0.0548611 1.32052 0.00607318
0.0555556 1.32618 0.00615005
0.05625 1.3304 0.00622693
0.0569444 1.33321 0.0063038
0.0576389 1.33468 0.00638068
0.0583333 1.33488 0.00645756
0.0590278 1.33388 0.00653443
0.0597222 1.33175 0.00661131
0.0604167 1.32859 0.00668818
0.0611111 1.32446 0.00676506
0.0618056 1.31946 0.00684193
0.0625 1.31365 0.00691881
0.0631944 1.30711 0.00699569
0.0638889 1.29991 0.00707256
0.0645833 1.2921 0.00714944
0.0652778 1.28374 0.00722631
0.0659722 1.27483 0.00730319
0.0666667 1.26541 0.00738006
0.0673611 1.25549 0.00745694
0.0680556 1.24508 0.00753382
0.06875 1.23418 0.00761069
0.0694444 1.22282 0.00768757
0.0701389 1.21102 0.00776444
0.0708333 1.19884 0.00784132
0.0715278 1.18634 0.00791819
0.0722222 1.17361 0.00799507
0.0729167 1.16075 0.00807195
0.0736111 1.14789 0.00814882
0.0743056 1.13514 0.0082257
0.075 1.12265 0.00830257
0.0756944 1.11054 0.00837945
0.0763889 1.09894 0.00845632
0.0770833 1.08799 0.0085332
0.0777778 1.0778 0.00861008
0.0784722 1.0685 0.00868695
0.0791667 1.06018 0.00876383
0.0798611 1.05294 0.0088407
0.0805556 1.0469 0.00891758
0.08125 1.04212 0.00899445
0.0819444 1.0387 0.00907133
0.0826389 1.03671 0.0091482
0.0833333 1.03621 0.00922508
0.0840278 1.03727 0.00930196
0.0847222 1.03995 0.00937883
0.0854167 1.04431 0.00945571
0.0861111 1.0504 0.00953258
0.0868056 1.05828 0.00960946
0.0875 1.06799 0.00968633
0.0881944 1.07957 0.00976321
0.0888889 1.09307 0.00984009
0.0895833 1.10852 0.00991696
0.0902778 1.12593 0.00999384
0.0909722 1.14531 0.0100707
0.0916667 1.16662 0.0101476
0.0923611 1.18984 0.0102245
0.0930556 1.21491 0.0103013
0.09375 1.24175 0.0103782
0.0944444 1.27028 0.0104551
0.0951389 1.3004 0.010532
0.0958333 1.33202 0.0106088
0.0965278 1.36503 0.0106857
0.0972222 1.39934 0.0107626
0.0979167 1.43487 0.0108395
0.0986111 1.47152 0.0109163
0.0993056 1.50922 0.0109932
0.1 1.54789 0.0110701
0.100694 1.58744 0.011147
0.101389 1.62777 0.0112238
0.102083 1.66879 0.0113007
0.102778 1.71039 0.0113776
0.103472 1.75246 0.0114545
0.104167 1.79486 0.0115314
0.104861 1.83748 0.0116082
0.105556 1.88019 0.0116851
0.10625 1.92285 0.011762
0.106944 1.96535 0.0118389
0.107639 2.00757 0.0119157
0.108333 2.0494 0.0119926
0.109028 2.09074 0.0120695
0.109722 2.13148 0.0121464
0.110417 2.17152 0.0122232
0.111111 2.21076 0.0123001
0.111806 2.24911 0.012377
0.1125 2.28648 0.0124539
0.113194 2.32278 0.0125307
0.113889 2.35791 0.0126076
0.114583 2.39178 0.0126845
0.115278 2.42431 0.0127614
0.115972 2.4554 0.0128382
0.116667 2.48496 0.0129151
0.117361 2.51289 0.012992
0.118056 2.5391 0.0130689
0.11875 2.56349 0.0131457
0.119444 2.58596 0.0132226
0.120139 2.60642 0.0132995
0.120833 2.62479 0.0133764
0.121528 2.641 0.0134532
0.122222 2.65501 0.0135301
0.122917 2.66678 0.013607
0.123611 2.6763 0.0136839
0.124306 2.68358 0.0137607
0.125 2.68866 0.0138376
0.125694 2.69156 0.0139145
0.126389 2.69236 0.0139914
0.127083 2.69111 0.0140682
0.127778 2.68791 0.0141451
0.128472 2.68282 0.014222
0.129167 2.67595 0.0142989
0.129861 2.66738 0.0143758
0.130556 2.65723 0.0144526
0.13125 2.64558 0.0145295
0.131944 2.63255 0.0146064
0.132639 2.61824 0.0146833
0.133333 2.60273 0.0147601
0.134028 2.58613 0.014837
0.134722 2.56851 0.0149139
0.135417 2.54993 0.0149908
0.136111 2.53046 0.0150676
0.136806 2.51014 0.0151445
0.1375 2.48903 0.0152214
0.138194 2.46718 0.0152983
0.138889 2.44465 0.0153751
0.139583 2.42151 0.015452
0.140278 2.39784 0.0155289
0.140972 2.37376 0.0156058
0.141667 2.3494 0.0156826
0.142361 2.3249 0.0157595
0.143056 2.30043 0.0158364
0.14375 2.27614 0.0159133
0.144444 2.25222 0.0159901
0.145139 2.22884 0.016067
0.145833 2.20618 0.0161439
0.146528 2.1844 0.0162208
0.147222 2.16368 0.0162976
0.147917 2.14416 0.0163745
0.148611 2.126 0.0164514
0.149306 2.10933 0.0165283
0.15 2.09429 0.0166051
0.150694 2.081 0.016682
0.151389 2.06958 0.0167589
0.152083 2.06014 0.0168358
0.152778 2.05278 0.0169126
0.153472 2.0476 0.0169895
0.154167 2.0447 0.0170664
0.154861 2.04414 0.0171433
0.155556 2.04602 0.0172202
0.15625 2.0504 0.017297
0.156944 2.05736 0.0173739
0.157639 2.06695 0.0174508
0.158333 2.07924 0.0175277
0.159028 2.09424 0.0176045
0.159722 2.11199 0.0176814
0.160417 2.13248 0.0177583
0.161111 2.1557 0.0178352
0.161806 2.1816 0.017912
0.1625 2.21012 0.0179889
0.163194 2.24116 0.0180658
0.163889 2.27463 0.0181427
0.164583 2.3104 0.0182195
0.165278 2.34837 0.0182964
0.165972 2.3884 0.0183733
0.166667 2.43037 0.0184502
0.167361 2.47415 0.018527
0.168056 2.51963 0.0186039
0.16875 2.56669 0.0186808
0.169444 2.61519 0.0187577
0.170139 2.66501 0.0188345
0.170833 2.71601 0.0189114
0.171528 2.76804 0.0189883
0.172222 2.82095 0.0190652
0.172917 2.87457 0.019142
0.173611 2.92872 0.0192189
0.174306 2.98323 0.0192958
0.175 3.03792 0.0193727
0.175694 3.09261 0.0194495
0.176389 3.14714 0.0195264
0.177083 3.20134 0.0196033
0.177778 3.25505 0.0196802
0.178472 3.3081 0.019757
0.179167 3.36037 0.0198339
0.179861 3.41169 0.0199108
0.180556 3.46194 0.0199877
0.18125 3.51096 0.0200645
0.181944 3.55864 0.0201414
0.182639 3.60483 0.0202183
0.183333 3.64941 0.0202952
0.184028 3.69226 0.0203721
0.184722 3.73326 0.0204489
0.185417 3.77227 0.0205258
0.186111 3.80919 0.0206027
0.186806 3.84389 0.0206796
0.1875 3.87626 0.0207564
0.188194 3.90616 0.0208333
0.188889 3.9335 0.0209102
0.189583 3.95817 0.0209871
0.190278 3.98007 0.0210639
0.190972 3.99912 0.0211408
0.191667 4.01527 0.0212177
0.192361 4.02848 0.0212946
0.193056 4.03874 0.0213714
0.19375 4.04605 0.0214483
0.194444 4.05044 0.0215252
0.195139 4.05196 0.0216021
0.195833 4.05066 0.0216789
0.196528 4.04663 0.0217558
0.197222 4.03996 0.0218327
0.197917 4.03073 0.0219096
0.198611 4.01907 0.0219864
0.199306 4.00507 0.0220633
0.2 3.98885 0.0221402
0.200694 3.97055 0.0222171
0.201389 3.95029 0.0222939
0.202083 3.9282 0.0223708
0.202778 3.9044 0.0224477
0.203472 3.87901 0.0225246
