time error errTLE
0 0 0
0.000694444 0.0265735 0.0042455
0.00138889 0.10521 0.008491
0.00208333 0.233621 0.0127365
0.00277778 0.409035 0.016982
0.00347222 0.628228 0.0212275
0.00416667 0.887565 0.025473
0.00486111 1.18304 0.0297185
0.00555556 1.51033 0.033964
0.00625 1.86482 0.0382095
0.00694444 2.2417 0.042455
0.00763889 2.63597 0.0467005
0.00833333 3.04253 0.050946
0.00902778 3.45624 0.0551915
0.00972222 3.87199 0.059437
0.0104167 4.28473 0.0636825
0.0111111 4.68958 0.067928
0.0118056 5.08188 0.0721735
0.0125 5.45727 0.076419
0.0131944 5.81176 0.0806645
0.0138889 6.14183 0.08491
0.0145833 6.44448 0.0891555
0.0152778 6.71739 0.093401
0.0159722 6.95898 0.0976465
0.0166667 7.16857 0.101892
0.0173611 7.34649 0.106137
0.0180556 7.49424 0.110383
0.01875 7.61466 0.114628
0.0194444 7.71213 0.118874
0.0201389 7.7927 0.123119
0.0208333 7.86425 0.127365
0.0215278 7.93652 0.13161
0.0222222 8.02108 0.135856
0.0229167 8.13098 0.140101
0.0236111 8.28023 0.144347
0.0243056 8.483 0.148592
0.025 8.75254 0.152838
0.0256944 9.1001 0.157083
0.0263889 9.53405 0.161329
0.0270833 10.0593 0.165574
0.0277778 10.6774 0.16982
0.0284722 11.3865 0.174065
0.0291667 12.1823 0.178311
0.0298611 13.0586 0.182556
0.0305556 14.008 0.186802
0.03125 15.0221 0.191047
0.0319444 16.0922 0.195293
0.0326389 17.2094 0.199538
0.0333333 18.3649 0.203784
0.0340278 19.5499 0.208029
0.0347222 20.7558 0.212275
0.0354167 21.9741 0.21652
0.0361111 23.1966 0.220766
0.0368056 24.4153 0.225011
0.0375 25.6226 0.229257
0.0381944 26.8111 0.233502
0.0388889 27.9737 0.237748
0.0395833 29.1037 0.241993
0.0402778 30.1946 0.246239
0.0409722 31.2407 0.250484
0.0416667 32.2363 0.25473
0.0423611 33.1764 0.258975
0.0430556 34.0567 0.263221
0.04375 34.873 0.267466
0.0444444 35.6222 0.271712
0.0451389 36.3013 0.275957
0.0458333 36.9084 0.280203
0.0465278 37.4421 0.284448
0.0472222 37.9016 0.288694
0.0479167 38.2869 0.292939
0.0486111 38.599 0.297185
0.0493056 38.8394 0.30143
0.05 39.0105 0.305676
0.0506944 39.1155 0.309921
0.0513889 39.1587 0.314167
0.0520833 39.1448 0.318412
0.0527778 39.0799 0.322658
0.0534722 38.9706 0.326903
0.0541667 38.8243 0.331149
0.0548611 38.6495 0.335394
0.0555556 38.4552 0.33964
0.05625 38.2512 0.343885
0.0569444 38.0477 0.348131
0.0576389 37.8553 0.352376
0.0583333 37.6848 0.356622
0.0590278 37.5469 0.360867
0.0597222 37.4519 0.365113
0.0604167 37.4096 0.369358
0.0611111 37.4285 0.373604
0.0618056 37.516 0.377849
0.0625 37.6777 0.382095
0.0631944 37.9175 0.38634
0.0638889 38.237 0.390586
0.0645833 38.6359 0.394831
0.0652778 39.1117 0.399077
0.0659722 39.6598 0.403322
0.0666667 40.2737 0.407568
0.0673611 40.9453 0.411813
0.0680556 41.6654 0.416059
0.06875 42.4233 0.420304
0.0694444 43.2081 0.42455
0.0701389 44.0079 0.428795
0.0708333 44.811 0.433041
0.0715278 45.6056 0.437286
0.0722222 46.3802 0.441532
0.0729167 47.1236 0.445777
0.0736111 47.8255 0.450023
0.0743056 48.4761 0.454268
0.075 49.0665 0.458514
0.0756944 49.5888 0.462759
0.0763889 50.0364 0.467005
0.0770833 50.4036 0.47125
0.0777778 50.6861 0.475496
0.0784722 50.8811 0.479741
0.0791667 50.9871 0.483987
0.0798611 51.0041 0.488232
0.0805556 50.9342 0.492478
0.08125 50.7807 0.496723
0.0819444 50.5492 0.500969
0.0826389 50.247 0.505214
0.0833333 49.8835 0.50946
0.0840278 49.4703 0.513705
0.0847222 49.0211 0.517951
0.0854167 48.5515 0.522196
0.0861111 48.0795 0.526442
0.0868056 47.6246 0.530687
0.0875 47.2083 0.534933
0.0881944 46.8527 0.539178
0.0888889 46.5809 0.543424
0.0895833 46.4154 0.547669
0.0902778 46.3779 0.551915
0.0909722 46.4876 0.55616
0.0916667 46.7608 0.560406
0.0923611 47.2097 0.564651
0.0930556 47.8417 0.568897
0.09375 48.6591 0.573142
0.0944444 49.6592 0.577388
0.0951389 50.8344 0.581633
0.0958333 52.1726 0.585879
0.0965278 53.6583 0.590124
0.0972222 55.2733 0.59437
0.0979167 56.9972 0.598615
0.0986111 58.8087 0.602861
0.0993056 60.6858 0.607106
0.1 62.6063 0.611352
0.100694 64.5486 0.615597
0.101389 66.4917 0.619843
0.102083 68.4154 0.624088
0.102778 70.3007 0.628334
0.103472 72.1297 0.632579
0.104167 73.886 0.636825
0.104861 75.5543 0.64107
0.105556 77.1209 0.645316
0.10625 78.5734 0.649561
0.106944 79.901 0.653807
0.107639 81.0944 0.658052
0.108333 82.1458 0.662298
0.109028 83.0492 0.666543
0.109722 83.8 0.670789
0.110417 84.3955 0.675034
0.111111 84.8345 0.67928
0.111806 85.1178 0.683525
0.1125 85.2479 0.687771
0.113194 85.2291 0.692016
0.113889 85.0676 0.696262
0.114583 84.7714 0.700507
0.115278 84.3508 0.704753
0.115972 83.8175 0.708998
0.116667 83.1856 0.713244
0.117361 82.4708 0.717489
0.118056 81.6908 0.721735
0.11875 80.8649 0.72598
0.119444 80.0141 0.730226
0.120139 79.1605 0.734471
0.120833 78.3274 0.738717
0.121528 77.5387 0.742962
0.122222 76.8183 0.747208
0.122917 76.1896 0.751453
0.123611 75.6748 0.755699
0.124306 75.2941 0.759944
0.125 75.0651 0.76419
0.125694 75.0019 0.768435
0.126389 75.1144 0.772681
0.127083 75.4081 0.776926
0.127778 75.8836 0.781172
0.128472 76.5368 0.785417
0.129167 77.3588 0.789663
0.129861 78.3366 0.793908
0.130556 79.4535 0.798154
0.13125 80.6898 0.802399
0.131944 82.0237 0.806645
0.132639 83.4316 0.81089
0.133333 84.8892 0.815136
0.134028 86.3718 0.819381
0.134722 87.8552 0.823627
0.135417 89.3156 0.827872
0.136111 90.7303 0.832118
0.136806 92.078 0.836363
0.1375 93.339 0.840609
0.138194 94.4952 0.844854
0.138889 95.5305 0.8491
0.139583 96.4309 0.853345
0.140278 97.1845 0.857591
0.140972 97.7814 0.861836
0.141667 98.2143 0.866082
0.142361 98.4783 0.870327
0.143056 98.5708 0.874573
0.14375 98.4919 0.878818
0.144444 98.2443 0.883064
0.145139 97.8337 0.887309
0.145833 97.2683 0.891555
0.146528 96.5594 0.8958
0.147222 95.7212 0.900046
0.147917 94.7712 0.904291
0.148611 93.7298 0.908537
0.149306 92.6205 0.912782
0.15 91.4698 0.917028
0.150694 90.3072 0.921273
0.151389 89.1646 0.925519
0.152083 88.0759 0.929764
