time error errTLE
0 0 0
0.000694444 0.000433045 0.0042455
0.00138889 0.000627873 0.008491
0.00208333 0.000859017 0.0127365
0.00277778 0.00150166 0.016982
0.00347222 0.00263384 0.0212275
0.00416667 0.00422431 0.025473
0.00486111 0.00627322 0.0297185
0.00555556 0.00880916 0.033964
0.00625 0.0118781 0.0382095
0.00694444 0.0155332 0.042455
0.00763889 0.0198273 0.0467005
0.00833333 0.0248042 0.050946
0.00902778 0.0304903 0.0551915
0.00972222 0.0368933 0.059437
0.0104167 0.0440012 0.0636825
0.0111111 0.0517834 0.067928
0.0118056 0.0601971 0.0721735
0.0125 0.0691947 0.076419
0.0131944 0.0787261 0.0806645
0.0138889 0.0887453 0.08491
0.0145833 0.0992143 0.0891555
0.0152778 0.110101 0.093401
0.0159722 0.121379 0.0976465
0.0166667 0.133028 0.101892
0.0173611 0.145031 0.106137
0.0180556 0.157367 0.110383
0.01875 0.170016 0.114628
0.0194444 0.182956 0.118874
0.0201389 0.196158 0.123119
0.0208333 0.209594 0.127365
0.0215278 0.223234 0.13161
0.0222222 0.237042 0.135856
0.0229167 0.250987 0.140101
0.0236111 0.26504 0.144347
0.0243056 0.279172 0.148592
0.025 0.293363 0.152838
0.0256944 0.3076 0.157083
0.0263889 0.321871 0.161329
0.0270833 0.336168 0.165574
0.0277778 0.350481 0.16982
0.0284722 0.364796 0.174065
0.0291667 0.379085 0.178311
0.0298611 0.39331 0.182556
0.0305556 0.407428 0.186802
0.03125 0.421386 0.191047
0.0319444 0.435145 0.195293
0.0326389 0.448682 0.199538
0.0333333 0.462001 0.203784
0.0340278 0.475136 0.208029
0.0347222 0.488148 0.212275
0.0354167 0.501113 0.21652
0.0361111 0.514092 0.220766
0.0368056 0.527121 0.225011
0.0375 0.540176 0.229257
0.0381944 0.553161 0.233502
0.0388889 0.565906 0.237748
0.0395833 0.578178 0.241993
0.0402778 0.589698 0.246239
0.0409722 0.600182 0.250484
0.0416667 0.609367 0.25473
0.0423611 0.617043 0.258975
0.0430556 0.623069 0.263221
0.04375 0.627395 0.267466
0.0444444 0.63004 0.271712
0.0451389 0.631088 0.275957
0.0458333 0.630667 0.280203
0.0465278 0.628912 0.284448
0.0472222 0.62595 0.288694
0.0479167 0.621883 0.292939
0.0486111 0.616783 0.297185
0.0493056 0.610685 0.30143
0.05 0.603614 0.305676
0.0506944 0.595589 0.309921
0.0513889 0.586631 0.314167
0.0520833 0.576782 0.318412
0.0527778 0.566092 0.322658
0.0534722 0.554618 0.326903
0.0541667 0.54241 0.331149
0.0548611 0.529509 0.335394
0.0555556 0.515935 0.33964
0.05625 0.501688 0.343885
0.0569444 0.486769 0.348131
0.0576389 0.471181 0.352376
0.0583333 0.454947 0.356622
0.0590278 0.438132 0.360867
0.0597222 0.420834 0.365113
0.0604167 0.403185 0.369358
0.0611111 0.385345 0.373604
0.0618056 0.367477 0.377849
0.0625 0.349727 0.382095
0.0631944 0.332212 0.38634
0.0638889 0.315013 0.390586
0.0645833 0.298163 0.394831
0.0652778 0.281666 0.399077
0.0659722 0.265511 0.403322
0.0666667 0.249679 0.407568
0.0673611 0.234171 0.411813
0.0680556 0.219015 0.416059
0.06875 0.204276 0.420304
0.0694444 0.190057 0.42455
0.0701389 0.176514 0.428795
0.0708333 0.163861 0.433041
0.0715278 0.152383 0.437286
0.0722222 0.14246 0.441532
0.0729167 0.134576 0.445777
0.0736111 0.129289 0.450023
0.0743056 0.127158 0.454268
0.075 0.12862 0.458514
0.0756944 0.133857 0.462759
0.0763889 0.142757 0.467005
0.0770833 0.15499 0.47125
0.0777778 0.17012 0.475496
0.0784722 0.187714 0.479741
0.0791667 0.2074 0.483987
0.0798611 0.228879 0.488232
0.0805556 0.251918 0.492478
0.08125 0.276336 0.496723
0.0819444 0.301993 0.500969
0.0826389 0.328765 0.505214
0.0833333 0.356547 0.50946
0.0840278 0.385241 0.513705
0.0847222 0.41475 0.517951
0.0854167 0.444978 0.522196
0.0861111 0.475835 0.526442
0.0868056 0.507227 0.530687
0.0875 0.539065 0.534933
0.0881944 0.571263 0.539178
0.0888889 0.603737 0.543424
