time error errTLE
0 0 0
0.000694444 0.000432748 0.0042455
0.00138889 0.000626666 0.008491
0.00208333 0.000856865 0.0127365
0.00277778 0.00149952 0.016982
0.00347222 0.00263199 0.0212275
0.00416667 0.00422259 0.025473
0.00486111 0.0062714 0.0297185
0.00555556 0.00880702 0.033964
0.00625 0.0118755 0.0382095
0.00694444 0.0155297 0.042455
0.00763889 0.0198227 0.0467005
0.00833333 0.0247981 0.050946
0.00902778 0.030482 0.0551915
0.00972222 0.0368822 0.059437
0.0104167 0.0439865 0.0636825
0.0111111 0.0517643 0.067928
0.0118056 0.0601725 0.0721735
0.0125 0.0691637 0.076419
0.0131944 0.0786878 0.0806645
0.0138889 0.0886984 0.08491
0.0145833 0.0991576 0.0891555
0.0152778 0.110033 0.093401
0.0159722 0.121298 0.0976465
0.0166667 0.132933 0.101892
0.0173611 0.144919 0.106137
0.0180556 0.157235 0.110383
0.01875 0.169861 0.114628
0.0194444 0.182774 0.118874
0.0201389 0.195947 0.123119
0.0208333 0.209348 0.127365
0.0215278 0.222948 0.13161
0.0222222 0.236712 0.135856
0.0229167 0.250606 0.140101
0.0236111 0.264602 0.144347
0.0243056 0.278672 0.148592
0.025 0.292794 0.152838
0.0256944 0.306954 0.157083
0.0263889 0.321141 0.161329
0.0270833 0.335345 0.165574
0.0277778 0.349558 0.16982
0.0284722 0.363764 0.174065
0.0291667 0.377935 0.178311
0.0298611 0.392034 0.182556
0.0305556 0.406016 0.186802
0.03125 0.419829 0.191047
0.0319444 0.433434 0.195293
0.0326389 0.446808 0.199538
0.0333333 0.459954 0.203784
0.0340278 0.472906 0.208029
0.0347222 0.485728 0.212275
0.0354167 0.498491 0.21652
0.0361111 0.51126 0.220766
0.0368056 0.524069 0.225011
0.0375 0.536894 0.229257
0.0381944 0.549638 0.233502
0.0388889 0.56213 0.237748
0.0395833 0.574138 0.241993
0.0402778 0.585382 0.246239
0.0409722 0.595578 0.250484
0.0416667 0.604465 0.25473
0.0423611 0.611832 0.258975
0.0430556 0.617541 0.263221
0.04375 0.621542 0.267466
0.0444444 0.623856 0.271712
0.0451389 0.62457 0.275957
0.0458333 0.623811 0.280203
0.0465278 0.621718 0.284448
0.0472222 0.618416 0.288694
0.0479167 0.614009 0.292939
0.0486111 0.60857 0.297185
0.0493056 0.602134 0.30143
0.05 0.594728 0.305676
0.0506944 0.58637 0.309921
0.0513889 0.577083 0.314167
0.0520833 0.566908 0.318412
0.0527778 0.555899 0.322658
0.0534722 0.544112 0.326903
0.0541667 0.531597 0.331149
0.0548611 0.518397 0.335394
0.0555556 0.504531 0.33964
0.05625 0.489999 0.343885
0.0569444 0.474803 0.348131
0.0576389 0.458945 0.352376
0.0583333 0.44245 0.356622
0.0590278 0.425384 0.360867
0.0597222 0.407847 0.365113
0.0604167 0.389974 0.369358
0.0611111 0.371925 0.373604
0.0618056 0.353864 0.377849
0.0625 0.335935 0.382095
0.0631944 0.318255 0.38634
0.0638889 0.300899 0.390586
0.0645833 0.283894 0.394831
0.0652778 0.267236 0.399077
0.0659722 0.250903 0.403322
0.0666667 0.234868 0.407568
0.0673611 0.219115 0.411813
0.0680556 0.203658 0.416059
0.06875 0.188543 0.420304
0.0694444 0.17385 0.42455
0.0701389 0.15971 0.428795
0.0708333 0.146315 0.433041
0.0715278 0.133936 0.437286
0.0722222 0.12297 0.441532
0.0729167 0.113965 0.445777
0.0736111 0.107617 0.450023
0.0743056 0.104679 0.454268
0.075 0.105762 0.458514
0.0756944 0.111092 0.462759
0.0763889 0.120453 0.467005
0.0770833 0.13333 0.47125
0.0777778 0.14912 0.475496
0.0784722 0.167284 0.479741
0.0791667 0.187402 0.483987
0.0798611 0.209162 0.488232
0.0805556 0.232339 0.492478
0.08125 0.25677 0.496723
0.0819444 0.282334 0.500969
0.0826389 0.308925 0.505214
0.0833333 0.336455 0.50946
0.0840278 0.36484 0.513705
0.0847222 0.393994 0.517951
0.0854167 0.423832 0.522196
0.0861111 0.454269 0.526442
0.0868056 0.485219 0.530687
0.0875 0.516594 0.534933
0.0881944 0.548313 0.539178
0.0888889 0.580294 0.543424
0.0895833 0.61246 0.547669
0.0902778 0.644738 0.551915
0.0909722 0.677063 0.55616
0.0916667 0.709361 0.560406
0.0923611 0.741561 0.564651
0.0930556 0.773586 0.568897
0.09375 0.805343 0.573142
0.0944444 0.836735 0.577388
0.0951389 0.867657 0.581633
0.0958333 0.898002 0.585879
0.0965278 0.927675 0.590124
0.0972222 0.956604 0.59437
0.0979167 0.984741 0.598615
0.0986111 1.01207 0.602861
0.0993056 1.03859 0.607106
0.1 1.06433 0.611352
0.100694 1.08929 0.615597
0.101389 1.11343 0.619843
0.102083 1.13669 0.624088
0.102778 1.15891 0.628334
0.103472 1.17986 0.632579
0.104167 1.1993 0.636825
0.104861 1.2169 0.64107
0.105556 1.23236 0.645316
0.10625 1.24541 0.649561
0.106944 1.25585 0.653807
0.107639 1.26354 0.658052
0.108333 1.26845 0.662298
0.109028 1.27061 0.666543
0.109722 1.27012 0.670789
0.110417 1.26713 0.675034
0.111111 1.26179 0.67928
0.111806 1.25424 0.683525
0.1125 1.24458 0.687771
0.113194 1.23291 0.692016
0.113889 1.21928 0.696262
0.114583 1.20374 0.700507
0.115278 1.18633 0.704753
0.115972 1.16711 0.708998
0.116667 1.14617 0.713244
0.117361 1.12359 0.717489
0.118056 1.09947 0.721735
0.11875 1.07393 0.72598
0.119444 1.04704 0.730226
0.120139 1.0189 0.734471
0.120833 0.989542 0.738717
0.121528 0.959043 0.742962
0.122222 0.927468 0.747208
0.122917 0.894904 0.751453
0.123611 0.861482 0.755699
0.124306 0.827367 0.759944
0.125 0.792755 0.76419
0.125694 0.757866 0.768435
0.126389 0.722922 0.772681
0.127083 0.688123 0.776926
0.127778 0.653634 0.781172
0.128472 0.619585 0.785417
0.129167 0.586054 0.789663
0.129861 0.553089 0.793908
0.130556 0.520721 0.798154
0.13125 0.488979 0.802399
0.131944 0.457904 0.806645
0.132639 0.427569 0.81089
0.133333 0.398079 0.815136
0.134028 0.369582 0.819381
0.134722 0.342278 0.823627
0.135417 0.316433 0.827872
0.136111 0.292396 0.832118
0.136806 0.270631 0.836363
0.1375 0.251752 0.840609
0.138194 0.236526 0.844854
0.138889 0.225833 0.8491
0.139583 0.220544 0.853345
0.140278 0.22131 0.857591
0.140972 0.228373 0.861836
0.141667 0.241509 0.866082
0.142361 0.26014 0.870327
0.143056 0.283521 0.874573
0.14375 0.310922 0.878818
0.144444 0.341711 0.883064
0.145139 0.375375 0.887309
0.145833 0.411516 0.891555
0.146528 0.449819 0.8958
0.147222 0.49003 0.900046
0.147917 0.531937 0.904291
0.148611 0.575354 0.908537
0.149306 0.62011 0.912782
0.15 0.666043 0.917028
0.150694 0.713003 0.921273
0.151389 0.76084 0.925519
0.152083 0.809406 0.929764
0.152778 0.858561 0.93401
0.153472 0.908168 0.938255
0.154167 0.958091 0.942501
0.154861 1.0082 0.946746
0.155556 1.05837 0.950992
0.15625 1.10846 0.955237
0.156944 1.15835 0.959483
0.157639 1.2079 0.963728
0.158333 1.25695 0.967974
0.159028 1.30534 0.972219
0.159722 1.35292 0.976465
0.160417 1.39951 0.98071
0.161111 1.44496 0.984956
0.161806 1.48915 0.989201
0.1625 1.53199 0.993447
0.163194 1.57339 0.997692
