time error errTLE
0 0 0
0.000694444 0.000432724 0.0042455
0.00138889 0.000626577 0.008491
0.00208333 0.000856737 0.0127365
0.00277778 0.00149944 0.016982
0.00347222 0.00263198 0.0212275
0.00416667 0.00422264 0.025473
0.00486111 0.00627148 0.0297185
0.00555556 0.00880713 0.033964
0.00625 0.0118756 0.0382095
0.00694444 0.0155298 0.042455
0.00763889 0.0198227 0.0467005
0.00833333 0.024798 0.050946
0.00902778 0.0304817 0.0551915
0.00972222 0.0368817 0.059437
0.0104167 0.0439856 0.0636825
0.0111111 0.051763 0.067928
0.0118056 0.0601708 0.0721735
0.0125 0.0691613 0.076419
0.0131944 0.0786847 0.0806645
0.0138889 0.0886945 0.08491
0.0145833 0.0991528 0.0891555
0.0152778 0.110027 0.093401
0.0159722 0.121291 0.0976465
0.0166667 0.132924 0.101892
0.0173611 0.144908 0.106137
0.0180556 0.157223 0.110383
0.01875 0.169847 0.114628
0.0194444 0.182758 0.118874
0.0201389 0.195927 0.123119
0.0208333 0.209326 0.127365
0.0215278 0.222922 0.13161
0.0222222 0.236682 0.135856
0.0229167 0.250573 0.140101
0.0236111 0.264564 0.144347
0.0243056 0.27863 0.148592
0.025 0.292746 0.152838
0.0256944 0.306901 0.157083
0.0263889 0.321082 0.161329
0.0270833 0.33528 0.165574
0.0277778 0.349486 0.16982
0.0284722 0.363686 0.174065
0.0291667 0.37785 0.178311
0.0298611 0.391942 0.182556
0.0305556 0.405917 0.186802
0.03125 0.419722 0.191047
0.0319444 0.433319 0.195293
0.0326389 0.446685 0.199538
0.0333333 0.459823 0.203784
0.0340278 0.472767 0.208029
0.0347222 0.48558 0.212275
0.0354167 0.498336 0.21652
0.0361111 0.511097 0.220766
0.0368056 0.523897 0.225011
0.0375 0.536715 0.229257
0.0381944 0.54945 0.233502
0.0388889 0.561935 0.237748
0.0395833 0.573935 0.241993
0.0402778 0.585171 0.246239
0.0409722 0.59536 0.250484
0.0416667 0.60424 0.25473
0.0423611 0.6116 0.258975
0.0430556 0.617304 0.263221
0.04375 0.621298 0.267466
0.0444444 0.623608 0.271712
0.0451389 0.624317 0.275957
0.0458333 0.623554 0.280203
0.0465278 0.621456 0.284448
0.0472222 0.618151 0.288694
0.0479167 0.613742 0.292939
0.0486111 0.6083 0.297185
0.0493056 0.601863 0.30143
0.05 0.594456 0.305676
0.0506944 0.586097 0.309921
0.0513889 0.57681 0.314167
0.0520833 0.566636 0.318412
0.0527778 0.555628 0.322658
