time error errTLE
0 0 0
0.000694444 0.000741479 0.000162941
0.00138889 0.00148558 0.000325882
0.00208333 0.00223234 0.000488823
0.00277778 0.00298179 0.000651764
0.00347222 0.00373395 0.000814705
0.00416667 0.00448886 0.000977646
0.00486111 0.00524655 0.00114059
0.00555556 0.0060076 0.00130353
0.00625 0.00677005 0.00146647
0.00694444 0.00753621 0.00162941
0.00763889 0.00830582 0.00179235
0.00833333 0.00907684 0.00195529
0.00902778 0.00985166 0.00211823
0.00972222 0.01063 0.00228117
0.0104167 0.0114098 0.00244412
0.0111111 0.0121934 0.00260706
0.0118056 0.01298 0.00277
0.0125 0.0137696 0.00293294
0.0131944 0.0145621 0.00309588
0.0138889 0.0153577 0.00325882
0.0145833 0.0161562 0.00342176
0.0152778 0.0169578 0.0035847
0.0159722 0.0177624 0.00374764
0.0166667 0.0185707 0.00391058
0.0173611 0.0193802 0.00407353
0.0180556 0.0201939 0.00423647
0.01875 0.0210112 0.00439941
0.0194444 0.0218298 0.00456235
0.0201389 0.0226524 0.00472529
0.0208333 0.0234781 0.00488823
0.0215278 0.0243067 0.00505117
0.0222222 0.0251383 0.00521411
0.0229167 0.0259729 0.00537705
0.0236111 0.0268104 0.00553999
0.0243056 0.0276509 0.00570294
0.025 0.0284943 0.00586588
0.0256944 0.0293406 0.00602882
0.0263889 0.0301898 0.00619176
0.0270833 0.0310419 0.0063547
0.0277778 0.0318976 0.00651764
0.0284722 0.0327541 0.00668058
0.0291667 0.0336146 0.00684352
0.0298611 0.0344788 0.00700646
0.0305556 0.0353434 0.0071694
0.03125 0.0362122 0.00733235
0.0319444 0.0370836 0.00749529
0.0326389 0.0379576 0.00765823
0.0333333 0.0388343 0.00782117
0.0340278 0.0397135 0.00798411
0.0347222 0.0405952 0.00814705
0.0354167 0.0414795 0.00830999
0.0361111 0.0423661 0.00847293
0.0368056 0.0432562 0.00863587
0.0375 0.0441461 0.00879881
0.0381944 0.0450398 0.00896176
0.0388889 0.0459368 0.0091247
0.0395833 0.0468333 0.00928764
0.0402778 0.0477336 0.00945058
0.0409722 0.0486371 0.00961352
0.0416667 0.0495398 0.00977646
0.0423611 0.0504461 0.0099394
0.0430556 0.0513544 0.0101023
0.04375 0.0522645 0.0102653
0.0444444 0.0531764 0.0104282
0.0451389 0.0540899 0.0105912
0.0458333 0.0550051 0.0107541
0.0465278 0.0559219 0.010917
0.0472222 0.0568402 0.01108
0.0479167 0.0577611 0.0112429
0.0486111 0.0586802 0.0114059
0.0493056 0.0596025 0.0115688
0.05 0.0605272 0.0117318
0.0506944 0.0614498 0.0118947
0.0513889 0.0623753 0.0120576
0.0520833 0.0633017 0.0122206
0.0527778 0.064229 0.0123835
0.0534722 0.065157 0.0125465
0.0541667 0.0660857 0.0127094
0.0548611 0.0670149 0.0128723
0.0555556 0.0679446 0.0130353
0.05625 0.0688747 0.0131982
0.0569444 0.069805 0.0133612
0.0576389 0.0707354 0.0135241
0.0583333 0.071666 0.013687
0.0590278 0.0725979 0.01385
0.0597222 0.073526 0.0140129
0.0604167 0.0744561 0.0141759
0.0611111 0.0753874 0.0143388
0.0618056 0.0763143 0.0145017
0.0625 0.077243 0.0146647
0.0631944 0.0781709 0.0148276
0.0638889 0.0790981 0.0149906
0.0645833 0.0800243 0.0151535
0.0652778 0.0809495 0.0153165
0.0659722 0.0818736 0.0154794
0.0666667 0.0827963 0.0156423
0.0673611 0.0837177 0.0158053
0.0680556 0.0846392 0.0159682
0.06875 0.085555 0.0161312
0.0694444 0.0864715 0.0162941
0.0701389 0.0873878 0.016457
0.0708333 0.0882979 0.01662
0.0715278 0.0892084 0.0167829
0.0722222 0.0901184 0.0169459
0.0729167 0.0910218 0.0171088
0.0736111 0.0919252 0.0172717
0.0743056 0.0928261 0.0174347
0.075 0.0937243 0.0175976
0.0756944 0.0946196 0.0177606
0.0763889 0.0955119 0.0179235
0.0770833 0.0964012 0.0180865
0.0777778 0.0972872 0.0182494
0.0784722 0.09817 0.0184123
0.0791667 0.0990511 0.0185753
0.0798611 0.0999241 0.0187382
0.0805556 0.100796 0.0189012
0.08125 0.101666 0.0190641
0.0819444 0.102528 0.019227
0.0826389 0.103388 0.01939
0.0833333 0.104245 0.0195529
0.0840278 0.105097 0.0197159
0.0847222 0.105944 0.0198788
0.0854167 0.106788 0.0200417
0.0861111 0.107626 0.0202047
0.0868056 0.10846 0.0203676
0.0875 0.10929 0.0205306
0.0881944 0.110114 0.0206935
0.0888889 0.110934 0.0208564
0.0895833 0.111749 0.0210194
0.0902778 0.11256 0.0211823
0.0909722 0.113361 0.0213453
0.0916667 0.114161 0.0215082
0.0923611 0.114956 0.0216712
0.0930556 0.115742 0.0218341
0.09375 0.116525 0.021997
0.0944444 0.117303 0.02216
0.0951389 0.118075 0.0223229
0.0958333 0.118841 0.0224859
0.0965278 0.119602 0.0226488
0.0972222 0.120357 0.0228117
0.0979167 0.121107 0.0229747
0.0986111 0.12185 0.0231376
0.0993056 0.12259 0.0233006
0.1 0.12332 0.0234635
0.100694 0.124046 0.0236264
0.101389 0.124769 0.0237894
0.102083 0.125481 0.0239523
0.102778 0.126191 0.0241153
0.103472 0.126897 0.0242782
0.104167 0.127592 0.0244412
0.104861 0.128285 0.0246041
0.105556 0.128972 0.024767
0.10625 0.129653 0.02493
0.106944 0.13033 0.0250929
0.107639 0.131001 0.0252559
0.108333 0.131667 0.0254188
0.109028 0.132328 0.0255817
0.109722 0.132983 0.0257447
0.110417 0.133637 0.0259076
0.111111 0.13428 0.0260706
0.111806 0.134922 0.0262335
0.1125 0.135561 0.0263964
0.113194 0.136192 0.0265594
0.113889 0.136821 0.0267223
0.114583 0.137446 0.0268853
0.115278 0.138068 0.0270482
0.115972 0.138687 0.0272111
0.116667 0.139303 0.0273741
0.117361 0.139916 0.027537
0.118056 0.140526 0.0277
0.11875 0.141134 0.0278629
0.119444 0.14174 0.0280259
0.120139 0.142344 0.0281888
0.120833 0.142947 0.0283517
0.121528 0.143552 0.0285147
0.122222 0.14415 0.0286776
0.122917 0.144752 0.0288406
0.123611 0.145356 0.0290035
0.124306 0.145955 0.0291664
0.125 0.146559 0.0293294
0.125694 0.147164 0.0294923
0.126389 0.147771 0.0296553
0.127083 0.14838 0.0298182
0.127778 0.148993 0.0299811
0.128472 0.149609 0.0301441
0.129167 0.150229 0.030307
0.129861 0.150854 0.03047
0.130556 0.151486 0.0306329
0.13125 0.152119 0.0307959
0.131944 0.152762 0.0309588
0.132639 0.153413 0.0311217
0.133333 0.154068 0.0312847
0.134028 0.154733 0.0314476
0.134722 0.155409 0.0316106
0.135417 0.156091 0.0317735
0.136111 0.156786 0.0319364
0.136806 0.157491 0.0320994
0.1375 0.158209 0.0322623
0.138194 0.15894 0.0324253
0.138889 0.159683 0.0325882
0.139583 0.160441 0.0327511
0.140278 0.161214 0.0329141
0.140972 0.162003 0.033077
0.141667 0.16281 0.03324
0.142361 0.16363 0.0334029
0.143056 0.164471 0.0335658
0.14375 0.165333 0.0337288
0.144444 0.16621 0.0338917
0.145139 0.167111 0.0340547
0.145833 0.168033 0.0342176
0.146528 0.168978 0.0343806
0.147222 0.169946 0.0345435
0.147917 0.170938 0.0347064
0.148611 0.171956 0.0348694
0.149306 0.172999 0.0350323
0.15 0.174069 0.0351953
0.150694 0.175166 0.0353582
0.151389 0.176292 0.0355211
0.152083 0.177447 0.0356841
0.152778 0.178634 0.035847
0.153472 0.179849 0.03601
0.154167 0.181097 0.0361729
0.154861 0.182378 0.0363358
0.155556 0.183691 0.0364988
0.15625 0.185039 0.0366617
0.156944 0.186423 0.0368247
0.157639 0.187841 0.0369876
0.158333 0.189297 0.0371506
0.159028 0.190789 0.0373135
0.159722 0.192319 0.0374764
0.160417 0.193888 0.0376394
0.161111 0.195496 0.0378023
0.161806 0.197144 0.0379653
0.1625 0.198831 0.0381282
0.163194 0.200561 0.0382911
0.163889 0.202332 0.0384541
0.164583 0.204144 0.038617
0.165278 0.205999 0.03878
0.165972 0.207898 0.0389429
0.166667 0.20984 0.0391058
0.167361 0.211827 0.0392688
0.168056 0.213857 0.0394317
0.16875 0.215933 0.0395947
0.169444 0.218054 0.0397576
0.170139 0.220221 0.0399205
0.170833 0.222433 0.0400835
0.171528 0.224692 0.0402464
0.172222 0.226997 0.0404094
0.172917 0.229349 0.0405723
0.173611 0.231748 0.0407353
0.174306 0.234194 0.0408982
0.175 0.236687 0.0410611
0.175694 0.239228 0.0412241
0.176389 0.241816 0.041387
0.177083 0.244452 0.04155
0.177778 0.247135 0.0417129
0.178472 0.249866 0.0418758
0.179167 0.252645 0.0420388
0.179861 0.255472 0.0422017
0.180556 0.258346 0.0423647
0.18125 0.261269 0.0425276
0.181944 0.264238 0.0426905
0.182639 0.267256 0.0428535
0.183333 0.270321 0.0430164
0.184028 0.273432 0.0431794
0.184722 0.276592 0.0433423
0.185417 0.279799 0.0435052
0.186111 0.283051 0.0436682
0.186806 0.286352 0.0438311
0.1875 0.289699 0.0439941
