time error errTLE
0 0 0
0.000694444 0.00106375 0.000211895
0.00138889 0.00213975 0.00042379
0.00208333 0.00323461 0.000635685
0.00277778 0.00435474 0.00084758
0.00347222 0.00550626 0.00105947
0.00416667 0.00669499 0.00127137
0.00486111 0.00792639 0.00148326
0.00555556 0.0092062 0.00169516
0.00625 0.0105377 0.00190705
0.00694444 0.0119259 0.00211895
0.00763889 0.0133749 0.00233084
0.00833333 0.0148875 0.00254274
0.00902778 0.0164685 0.00275463
0.00972222 0.0181204 0.00296653
0.0104167 0.019844 0.00317842
0.0111111 0.0216436 0.00339032
0.0118056 0.0235211 0.00360221
0.0125 0.0254764 0.00381411
0.0131944 0.0275131 0.004026
0.0138889 0.0296318 0.0042379
0.0145833 0.0318338 0.00444979
0.0152778 0.0341201 0.00466169
0.0159722 0.0364915 0.00487358
0.0166667 0.0389492 0.00508548
0.0173611 0.041493 0.00529737
0.0180556 0.044124 0.00550927
0.01875 0.0468425 0.00572116
0.0194444 0.0496486 0.00593306
0.0201389 0.0525435 0.00614495
0.0208333 0.0555273 0.00635685
0.0215278 0.058599 0.00656874
0.0222222 0.06176 0.00678064
0.0229167 0.0650102 0.00699253
0.0236111 0.0683485 0.00720443
0.0243056 0.0717763 0.00741632
0.025 0.075293 0.00762822
0.0256944 0.0788985 0.00784011
0.0263889 0.0825927 0.00805201
0.0270833 0.0863754 0.0082639
0.0277778 0.0902469 0.0084758
0.0284722 0.094206 0.00868769
0.0291667 0.0982535 0.00889959
0.0298611 0.102389 0.00911148
0.0305556 0.106612 0.00932337
0.03125 0.110922 0.00953527
0.0319444 0.115319 0.00974716
0.0326389 0.119803 0.00995906
0.0333333 0.124374 0.010171
0.0340278 0.129031 0.0103828
0.0347222 0.133773 0.0105947
0.0354167 0.138601 0.0108066
0.0361111 0.143515 0.0110185
0.0368056 0.148513 0.0112304
0.0375 0.153595 0.0114423
0.0381944 0.158762 0.0116542
0.0388889 0.164012 0.0118661
0.0395833 0.169346 0.012078
0.0402778 0.174762 0.0122899
0.0409722 0.180261 0.0125018
0.0416667 0.185842 0.0127137
0.0423611 0.191505 0.0129256
0.0430556 0.197249 0.0131375
0.04375 0.203074 0.0133494
0.0444444 0.208979 0.0135613
0.0451389 0.214964 0.0137732
0.0458333 0.221029 0.0139851
0.0465278 0.227173 0.014197
0.0472222 0.233395 0.0144089
0.0479167 0.239695 0.0146207
0.0486111 0.246074 0.0148326
0.0493056 0.252529 0.0150445
0.05 0.259061 0.0152564
0.0506944 0.265669 0.0154683
0.0513889 0.272353 0.0156802
0.0520833 0.279112 0.0158921
0.0527778 0.285947 0.016104
0.0534722 0.292855 0.0163159
0.0541667 0.299837 0.0165278
0.0548611 0.306893 0.0167397
0.0555556 0.314022 0.0169516
0.05625 0.321223 0.0171635
0.0569444 0.328496 0.0173754
0.0576389 0.33584 0.0175873
0.0583333 0.343255 0.0177992
0.0590278 0.350741 0.0180111
0.0597222 0.358296 0.018223
0.0604167 0.365921 0.0184349
0.0611111 0.373615 0.0186467
0.0618056 0.381377 0.0188586
0.0625 0.389207 0.0190705
0.0631944 0.397105 0.0192824
0.0638889 0.40507 0.0194943
0.0645833 0.413101 0.0197062
0.0652778 0.421198 0.0199181
0.0659722 0.42936 0.02013
0.0666667 0.437587 0.0203419
0.0673611 0.445879 0.0205538
0.0680556 0.454235 0.0207657
0.06875 0.462654 0.0209776
0.0694444 0.471137 0.0211895
0.0701389 0.479682 0.0214014
0.0708333 0.488289 0.0216133
0.0715278 0.496957 0.0218252
0.0722222 0.505687 0.0220371
0.0729167 0.514478 0.022249
0.0736111 0.523328 0.0224609
0.0743056 0.532238 0.0226728
0.075 0.541208 0.0228846
0.0756944 0.550236 0.0230965
0.0763889 0.559322 0.0233084
0.0770833 0.568467 0.0235203
0.0777778 0.577669 0.0237322
0.0784722 0.586927 0.0239441
0.0791667 0.596243 0.024156
0.0798611 0.605614 0.0243679
0.0805556 0.615041 0.0245798
0.08125 0.624524 0.0247917
0.0819444 0.634062 0.0250036
0.0826389 0.643654 0.0252155
0.0833333 0.653299 0.0254274
0.0840278 0.662999 0.0256393
0.0847222 0.672752 0.0258512
0.0854167 0.682557 0.0260631
0.0861111 0.692415 0.026275
0.0868056 0.702325 0.0264869
0.0875 0.712287 0.0266988
0.0881944 0.7223 0.0269106
0.0888889 0.732364 0.0271225
0.0895833 0.742479 0.0273344
0.0902778 0.752644 0.0275463
0.0909722 0.762859 0.0277582
0.0916667 0.773124 0.0279701
0.0923611 0.783438 0.028182
0.0930556 0.793801 0.0283939
0.09375 0.804213 0.0286058
0.0944444 0.814672 0.0288177
0.0951389 0.825181 0.0290296
0.0958333 0.835737 0.0292415
0.0965278 0.84634 0.0294534
0.0972222 0.856991 0.0296653
0.0979167 0.867689 0.0298772
0.0986111 0.878433 0.0300891
0.0993056 0.889224 0.030301
0.1 0.900061 0.0305129
0.100694 0.910944 0.0307248
0.101389 0.921873 0.0309367
0.102083 0.932849 0.0311485
0.102778 0.943869 0.0313604
0.103472 0.954934 0.0315723
0.104167 0.966045 0.0317842
0.104861 0.9772 0.0319961
0.105556 0.9884 0.032208
0.10625 0.999645 0.0324199
0.106944 1.01093 0.0326318
0.107639 1.02227 0.0328437
0.108333 1.03364 0.0330556
0.109028 1.04507 0.0332675
0.109722 1.05653 0.0334794
0.110417 1.06804 0.0336913
0.111111 1.07959 0.0339032
0.111806 1.09119 0.0341151
0.1125 1.10283 0.034327
0.113194 1.11452 0.0345389
0.113889 1.12624 0.0347508
0.114583 1.13801 0.0349627
0.115278 1.14983 0.0351746
0.115972 1.16169 0.0353864
0.116667 1.17359 0.0355983
0.117361 1.18553 0.0358102
0.118056 1.19752 0.0360221
0.11875 1.20955 0.036234
0.119444 1.22163 0.0364459
0.120139 1.23375 0.0366578
0.120833 1.24591 0.0368697
0.121528 1.25812 0.0370816
0.122222 1.27037 0.0372935
0.122917 1.28266 0.0375054
0.123611 1.295 0.0377173
0.124306 1.30738 0.0379292
0.125 1.31981 0.0381411
0.125694 1.33228 0.038353
0.126389 1.34479 0.0385649
0.127083 1.35735 0.0387768
0.127778 1.36995 0.0389887
0.128472 1.3826 0.0392006
0.129167 1.3953 0.0394124
0.129861 1.40804 0.0396243
0.130556 1.42082 0.0398362
0.13125 1.43365 0.0400481
0.131944 1.44653 0.04026
0.132639 1.45945 0.0404719
0.133333 1.47242 0.0406838
0.134028 1.48543 0.0408957
0.134722 1.49849 0.0411076
0.135417 1.5116 0.0413195
0.136111 1.52476 0.0415314
0.136806 1.53796 0.0417433
0.1375 1.55121 0.0419552
0.138194 1.56451 0.0421671
0.138889 1.57786 0.042379
0.139583 1.59126 0.0425909
0.140278 1.6047 0.0428028
0.140972 1.6182 0.0430147
0.141667 1.63174 0.0432266
0.142361 1.64534 0.0434385
0.143056 1.65898 0.0436503
0.14375 1.67268 0.0438622
0.144444 1.68642 0.0440741
0.145139 1.70022 0.044286
0.145833 1.71407 0.0444979
0.146528 1.72797 0.0447098
0.147222 1.74193 0.0449217
0.147917 1.75593 0.0451336
0.148611 1.76999 0.0453455
0.149306 1.78411 0.0455574
0.15 1.79828 0.0457693
0.150694 1.8125 0.0459812
0.151389 1.82677 0.0461931
0.152083 1.84111 0.046405
0.152778 1.85549 0.0466169
0.153472 1.86994 0.0468288
0.154167 1.88444 0.0470407
0.154861 1.89899 0.0472526
0.155556 1.91361 0.0474645
0.15625 1.92828 0.0476763
0.156944 1.94301 0.0478882
0.157639 1.9578 0.0481001
0.158333 1.97265 0.048312
0.159028 1.98756 0.0485239
0.159722 2.00252 0.0487358
0.160417 2.01755 0.0489477
0.161111 2.03264 0.0491596
0.161806 2.04779 0.0493715
0.1625 2.063 0.0495834
0.163194 2.07827 0.0497953
0.163889 2.09361 0.0500072
0.164583 2.10901 0.0502191
0.165278 2.12447 0.050431
0.165972 2.13999 0.0506429
0.166667 2.15559 0.0508548
0.167361 2.17124 0.0510667
0.168056 2.18696 0.0512786
0.16875 2.20275 0.0514905
0.169444 2.2186 0.0517024
0.170139 2.23452 0.0519142
0.170833 2.2505 0.0521261
0.171528 2.26656 0.052338
0.172222 2.28268 0.0525499
0.172917 2.29887 0.0527618
0.173611 2.31512 0.0529737
0.174306 2.33145 0.0531856
0.175 2.34785 0.0533975
0.175694 2.36431 0.0536094
0.176389 2.38085 0.0538213
0.177083 2.39746 0.0540332
0.177778 2.41413 0.0542451
0.178472 2.43088 0.054457
0.179167 2.4477 0.0546689
0.179861 2.4646 0.0548808
0.180556 2.48156 0.0550927
0.18125 2.4986 0.0553046
0.181944 2.51571 0.0555165
0.182639 2.5329 0.0557284
0.183333 2.55016 0.0559402
0.184028 2.56749 0.0561521
0.184722 2.5849 0.056364
0.185417 2.60238 0.0565759
0.186111 2.61994 0.0567878
0.186806 2.63758 0.0569997
0.1875 2.65529 0.0572116
0.188194 2.67307 0.0574235
0.188889 2.69094 0.0576354
0.189583 2.70887 0.0578473
0.190278 2.72689 0.0580592
0.190972 2.74498 0.0582711
0.191667 2.76315 0.058483
0.192361 2.7814 0.0586949
0.193056 2.79973 0.0589068
0.19375 2.81813 0.0591187
0.194444 2.83661 0.0593306
0.195139 2.85518 0.0595425
0.195833 2.87382 0.0597544
0.196528 2.89254 0.0599663
0.197222 2.91133 0.0601781
0.197917 2.93021 0.06039
0.198611 2.94917 0.0606019
0.199306 2.9682 0.0608138
0.2 2.98732 0.0610257
0.200694 3.00651 0.0612376
0.201389 3.02579 0.0614495
0.202083 3.04514 0.0616614
0.202778 3.06457 0.0618733
0.203472 3.08409 0.0620852
0.204167 3.10368 0.0622971
0.204861 3.12336 0.062509
0.205556 3.14311 0.0627209
0.20625 3.16294 0.0629328
0.206944 3.18286 0.0631447
0.207639 3.20286 0.0633566
0.208333 3.22293 0.0635685
0.209028 3.24308 0.0637804
0.209722 3.26332 0.0639923
0.210417 3.28363 0.0642041
0.211111 3.30403 0.064416
0.211806 3.3245 0.0646279
0.2125 3.34505 0.0648398
0.213194 3.36569 0.0650517
0.213889 3.3864 0.0652636
0.214583 3.40719 0.0654755
0.215278 3.42806 0.0656874
0.215972 3.44901 0.0658993
0.216667 3.47004 0.0661112
0.217361 3.49114 0.0663231
0.218056 3.51233 0.066535
0.21875 3.53359 0.0667469
0.219444 3.55493 0.0669588
0.220139 3.57635 0.0671707
0.220833 3.59784 0.0673826
0.221528 3.61941 0.0675945
0.222222 3.64106 0.0678064
0.222917 3.66279 0.0680183
0.223611 3.68459 0.0682302
0.224306 3.70646 0.068442
0.225 3.72842 0.0686539
0.225694 3.75044 0.0688658
0.226389 3.77255 0.0690777
0.227083 3.79473 0.0692896
0.227778 3.81698 0.0695015
0.228472 3.8393 0.0697134
0.229167 3.8617 0.0699253
0.229861 3.88417 0.0701372
0.230556 3.90671 0.0703491
0.23125 3.92932 0.070561
0.231944 3.95201 0.0707729
0.232639 3.97476 0.0709848
0.233333 3.99759 0.0711967
0.234028 4.02049 0.0714086
0.234722 4.04345 0.0716205
0.235417 4.06648 0.0718324
0.236111 4.08959 0.0720443
0.236806 4.11276 0.0722562
0.2375 4.13599 0.072468
0.238194 4.1593 0.0726799
0.238889 4.18267 0.0728918
0.239583 4.2061 0.0731037
0.240278 4.2296 0.0733156
0.240972 4.25317 0.0735275
0.241667 4.27679 0.0737394
0.242361 4.30049 0.0739513
0.243056 4.32424 0.0741632
0.24375 4.34805 0.0743751
0.244444 4.37192 0.074587
0.245139 4.39586 0.0747989
0.245833 4.41985 0.0750108
0.246528 4.4439 0.0752227
0.247222 4.46801 0.0754346
0.247917 4.49218 0.0756465
0.248611 4.5164 0.0758584
0.249306 4.54069 0.0760703
0.25 4.56502 0.0762822
0.250694 4.58941 0.0764941
0.251389 4.61385 0.0767059
0.252083 4.63835 0.0769178
0.252778 4.66289 0.0771297
0.253472 4.68749 0.0773416
0.254167 4.71214 0.0775535
0.254861 4.73683 0.0777654
0.255556 4.76158 0.0779773
0.25625 4.78637 0.0781892
0.256944 4.81121 0.0784011
0.257639 4.8361 0.078613
0.258333 4.86103 0.0788249
0.259028 4.88601 0.0790368
0.259722 4.91102 0.0792487
0.260417 4.93608 0.0794606
0.261111 4.96119 0.0796725
0.261806 4.98633 0.0798844
0.2625 5.01151 0.0800963
0.263194 5.03673 0.0803082
0.263889 5.06199 0.0805201
0.264583 5.08729 0.0807319
0.265278 5.11262 0.0809438
0.265972 5.13798 0.0811557
0.266667 5.16338 0.0813676
0.267361 5.18881 0.0815795
0.268056 5.21428 0.0817914
0.26875 5.23978 0.0820033
0.269444 5.26531 0.0822152
0.270139 5.29086 0.0824271
0.270833 5.31644 0.082639
0.271528 5.34206 0.0828509
0.272222 5.36769 0.0830628
0.272917 5.39335 0.0832747
0.273611 5.41904 0.0834866
0.274306 5.44475 0.0836985
0.275 5.47048 0.0839104
0.275694 5.49623 0.0841223
0.276389 5.522 0.0843342
0.277083 5.54779 0.0845461
0.277778 5.5736 0.084758
0.278472 5.59943 0.0849698
0.279167 5.62527 0.0851817
0.279861 5.65112 0.0853936
0.280556 5.677 0.0856055
0.28125 5.70288 0.0858174
0.281944 5.72877 0.0860293
0.282639 5.75468 0.0862412
0.283333 5.78059 0.0864531
0.284028 5.80651 0.086665
0.284722 5.83244 0.0868769
0.285417 5.85838 0.0870888
0.286111 5.88432 0.0873007
0.286806 5.91026 0.0875126
0.2875 5.93621 0.0877245
0.288194 5.96216 0.0879364
0.288889 5.98812 0.0881483
0.289583 6.01407 0.0883602
0.290278 6.04002 0.0885721
0.290972 6.06597 0.088784
0.291667 6.09191 0.0889959
0.292361 6.11785 0.0892077
0.293056 6.14379 0.0894196
0.29375 6.16972 0.0896315
0.294444 6.19564 0.0898434
0.295139 6.22155 0.0900553
0.295833 6.24745 0.0902672
0.296528 6.27334 0.0904791
0.297222 6.29922 0.090691
0.297917 6.32508 0.0909029
0.298611 6.35094 0.0911148
0.299306 6.37677 0.0913267
0.3 6.40259 0.0915386
0.300694 6.4284 0.0917505
0.301389 6.45418 0.0919624
0.302083 6.47995 0.0921743
0.302778 6.5057 0.0923862
0.303472 6.53142 0.0925981
0.304167 6.55712 0.09281
0.304861 6.5828 0.0930219
0.305556 6.60845 0.0932337
0.30625 6.63408 0.0934456
0.306944 6.65968 0.0936575
0.307639 6.68525 0.0938694
0.308333 6.71079 0.0940813
0.309028 6.7363 0.0942932
0.309722 6.76179 0.0945051
0.310417 6.78724 0.094717
0.311111 6.81266 0.0949289
0.311806 6.83804 0.0951408
0.3125 6.86339 0.0953527
0.313194 6.8887 0.0955646
0.313889 6.91398 0.0957765
0.314583 6.93922 0.0959884
0.315278 6.96442 0.0962003
0.315972 6.98958 0.0964122
0.316667 7.0147 0.0966241
0.317361 7.03978 0.096836
0.318056 7.06481 0.0970479
0.31875 7.0898 0.0972598
0.319444 7.11475 0.0974716
0.320139 7.13965 0.0976835
0.320833 7.1645 0.0978954
0.321528 7.18931 0.0981073
0.322222 7.21407 0.0983192
0.322917 7.23878 0.0985311
0.323611 7.26344 0.098743
0.324306 7.28804 0.0989549
0.325 7.3126 0.0991668
0.325694 7.3371 0.0993787
0.326389 7.36155 0.0995906
0.327083 7.38594 0.0998025
0.327778 7.41028 0.100014
0.328472 7.43456 0.100226
0.329167 7.45878 0.100438
0.329861 7.48295 0.10065
0.330556 7.50705 0.100862
0.33125 7.5311 0.101074
0.331944 7.55509 0.101286
0.332639 7.57902 0.101498
0.333333 7.60288 0.10171
0.334028 7.62668 0.101921
0.334722 7.65042 0.102133
0.335417 7.67408 0.102345
0.336111 7.69769 0.102557
0.336806 7.72123 0.102769
0.3375 7.7447 0.102981
0.338194 7.76811 0.103193
0.338889 7.79145 0.103405
0.339583 7.81471 0.103617
0.340278 7.83791 0.103828
0.340972 7.86104 0.10404
0.341667 7.8841 0.104252
0.342361 7.90708 0.104464
0.343056 7.92999 0.104676
0.34375 7.95283 0.104888
0.344444 7.9756 0.1051
0.345139 7.99829 0.105312
0.345833 8.02091 0.105524
0.346528 8.04345 0.105736
0.347222 8.06591 0.105947
0.347917 8.0883 0.106159
0.348611 8.11061 0.106371
0.349306 8.13284 0.106583
0.35 8.15499 0.106795
0.350694 8.17706 0.107007
0.351389 8.19906 0.107219
0.352083 8.22098 0.107431
0.352778 8.24281 0.107643
0.353472 8.26456 0.107854
0.354167 8.28623 0.108066
0.354861 8.30782 0.108278
0.355556 8.32933 0.10849
0.35625 8.35075 0.108702
0.356944 8.37209 0.108914
0.357639 8.39335 0.109126
0.358333 8.41452 0.109338
0.359028 8.43561 0.10955
0.359722 8.45661 0.109762
0.360417 8.47752 0.109973
0.361111 8.49835 0.110185
0.361806 8.5191 0.110397
0.3625 8.53976 0.110609
0.363194 8.56033 0.110821
0.363889 8.58082 0.111033
0.364583 8.60121 0.111245
0.365278 8.62153 0.111457
0.365972 8.64175 0.111669
0.366667 8.66188 0.11188
0.367361 8.68193 0.112092
0.368056 8.70188 0.112304
0.36875 8.72175 0.112516
0.369444 8.74153 0.112728
0.370139 8.76122 0.11294
0.370833 8.78082 0.113152
0.371528 8.80033 0.113364
0.372222 8.81975 0.113576
0.372917 8.83908 0.113788
0.373611 8.85832 0.113999
0.374306 8.87747 0.114211
0.375 8.89654 0.114423
0.375694 8.9155 0.114635
0.376389 8.93439 0.114847
0.377083 8.95318 0.115059
0.377778 8.97188 0.115271
0.378472 8.99049 0.115483
0.379167 9.00901 0.115695
0.379861 9.02743 0.115907
0.380556 9.04577 0.116118
0.38125 9.06402 0.11633
0.381944 9.08218 0.116542
0.382639 9.10025 0.116754
0.383333 9.11823 0.116966
0.384028 9.13612 0.117178
0.384722 9.15391 0.11739
0.385417 9.17162 0.117602
0.386111 9.18924 0.117814
0.386806 9.20677 0.118025
0.3875 9.22421 0.118237
0.388194 9.24156 0.118449
0.388889 9.25882 0.118661
0.389583 9.276 0.118873
0.390278 9.29308 0.119085
0.390972 9.31008 0.119297
0.391667 9.32699 0.119509
0.392361 9.34381 0.119721
0.393056 9.36054 0.119933
0.39375 9.37719 0.120144
0.394444 9.39375 0.120356
0.395139 9.41022 0.120568
0.395833 9.42661 0.12078
0.396528 9.44291 0.120992
0.397222 9.45913 0.121204
0.397917 9.47526 0.121416
0.398611 9.49131 0.121628
0.399306 9.50727 0.12184
0.4 9.52315 0.122051
0.400694 9.53894 0.122263
0.401389 9.55465 0.122475
0.402083 9.57028 0.122687
0.402778 9.58583 0.122899
0.403472 9.60129 0.123111
0.404167 9.61668 0.123323
0.404861 9.63198 0.123535
0.405556 9.64721 0.123747
0.40625 9.66235 0.123959
0.406944 9.67741 0.12417
0.407639 9.6924 0.124382
0.408333 9.70731 0.124594
0.409028 9.72214 0.124806
0.409722 9.7369 0.125018
0.410417 9.75158 0.12523
0.411111 9.76618 0.125442
0.411806 9.78071 0.125654
0.4125 9.79516 0.125866
0.413194 9.80954 0.126077
0.413889 9.82385 0.126289
0.414583 9.83809 0.126501
0.415278 9.85225 0.126713
0.415972 9.86634 0.126925
0.416667 9.88037 0.127137
0.417361 9.89433 0.127349
0.418056 9.90821 0.127561
0.41875 9.92203 0.127773
0.419444 9.93578 0.127985
0.420139 9.94946 0.128196
0.420833 9.96308 0.128408
0.421528 9.97664 0.12862
0.422222 9.99013 0.128832
0.422917 10.0035 0.129044
0.423611 10.0169 0.129256
0.424306 10.0302 0.129468
0.425 10.0435 0.12968
0.425694 10.0566 0.129892
0.426389 10.0698 0.130103
0.427083 10.0828 0.130315
0.427778 10.0958 0.130527
0.428472 10.1088 0.130739
0.429167 10.1217 0.130951
0.429861 10.1345 0.131163
0.430556 10.1473 0.131375
0.43125 10.16 0.131587
0.431944 10.1727 0.131799
0.432639 10.1854 0.132011
0.433333 10.1979 0.132222
0.434028 10.2105 0.132434
0.434722 10.2229 0.132646
0.435417 10.2354 0.132858
0.436111 10.2478 0.13307
0.436806 10.2601 0.133282
0.4375 10.2724 0.133494
0.438194 10.2847 0.133706
0.438889 10.2969 0.133918
0.439583 10.309 0.134129
0.440278 10.3212 0.134341
0.440972 10.3333 0.134553
0.441667 10.3453 0.134765
0.442361 10.3573 0.134977
0.443056 10.3693 0.135189
0.44375 10.3812 0.135401
0.444444 10.3931 0.135613
0.445139 10.405 0.135825
0.445833 10.4168 0.136037
0.446528 10.4286 0.136248
0.447222 10.4404 0.13646
0.447917 10.4522 0.136672
0.448611 10.4639 0.136884
0.449306 10.4756 0.137096
0.45 10.4872 0.137308
0.450694 10.4989 0.13752
0.451389 10.5105 0.137732
0.452083 10.522 0.137944
0.452778 10.5336 0.138155
0.453472 10.5451 0.138367
0.454167 10.5566 0.138579
0.454861 10.5681 0.138791
0.455556 10.5796 0.139003
0.45625 10.5911 0.139215
0.456944 10.6025 0.139427
0.457639 10.6139 0.139639
0.458333 10.6253 0.139851
0.459028 10.6367 0.140063
0.459722 10.6481 0.140274
