time error errTLE
0 0 0
0.000694444 0.00106229 0.000211895
0.00138889 0.00212934 0.00042379
0.00208333 0.00320099 0.000635685
0.00277778 0.0042771 0.00084758
0.00347222 0.00535753 0.00105947
0.00416667 0.00644213 0.00127137
0.00486111 0.00753075 0.00148326
0.00555556 0.00862395 0.00169516
0.00625 0.00972 0.00190705
0.00694444 0.0108196 0.00211895
0.00763889 0.0119227 0.00233084
0.00833333 0.0130281 0.00254274
0.00902778 0.0141378 0.00275463
0.00972222 0.0152511 0.00296653
0.0104167 0.0163656 0.00317842
0.0111111 0.0174837 0.00339032
0.0118056 0.0186051 0.00360221
0.0125 0.0197271 0.00381411
0.0131944 0.0208524 0.004026
0.0138889 0.0219798 0.0042379
0.0145833 0.0231091 0.00444979
0.0152778 0.0242402 0.00466169
0.0159722 0.0253729 0.00487358
0.0166667 0.0265077 0.00508548
0.0173611 0.027643 0.00529737
0.0180556 0.0287795 0.00550927
0.01875 0.0299169 0.00572116
0.0194444 0.0310544 0.00593306
0.0201389 0.0321936 0.00614495
0.0208333 0.033334 0.00635685
0.0215278 0.0344731 0.00656874
0.0222222 0.0356135 0.00678064
0.0229167 0.0367546 0.00699253
0.0236111 0.037894 0.00720443
0.0243056 0.0390341 0.00741632
0.025 0.0401739 0.00762822
0.0256944 0.0413131 0.00784011
0.0263889 0.0424517 0.00805201
0.0270833 0.0435894 0.0082639
0.0277778 0.0447267 0.0084758
0.0284722 0.0458612 0.00868769
0.0291667 0.0469954 0.00889959
0.0298611 0.0481289 0.00911148
0.0305556 0.049259 0.00932337
0.03125 0.0503883 0.00953527
0.0319444 0.0515164 0.00974716
0.0326389 0.0526407 0.00995906
0.0333333 0.0537638 0.010171
0.0340278 0.0548845 0.0103828
0.0347222 0.0560026 0.0105947
0.0354167 0.057118 0.0108066
0.0361111 0.0582306 0.0110185
0.0368056 0.0593408 0.0112304
0.0375 0.060447 0.0114423
0.0381944 0.0615499 0.0116542
0.0388889 0.0626493 0.0118661
0.0395833 0.0637442 0.012078
0.0402778 0.0648363 0.0122899
0.0409722 0.0659252 0.0125018
0.0416667 0.0670083 0.0127137
0.0423611 0.0680882 0.0129256
0.0430556 0.0691643 0.0131375
0.04375 0.0702342 0.0133494
0.0444444 0.0713004 0.0135613
0.0451389 0.0723618 0.0137732
0.0458333 0.0734182 0.0139851
0.0465278 0.0744694 0.014197
0.0472222 0.0755153 0.0144089
0.0479167 0.0765564 0.0146207
0.0486111 0.0775911 0.0148326
0.0493056 0.07862 0.0150445
0.05 0.079643 0.0152564
0.0506944 0.0806591 0.0154683
0.0513889 0.08167 0.0156802
0.0520833 0.0826753 0.0158921
0.0527778 0.0836723 0.016104
0.0534722 0.0846637 0.0163159
0.0541667 0.0856491 0.0165278
0.0548611 0.0866257 0.0167397
0.0555556 0.0875964 0.0169516
0.05625 0.0885598 0.0171635
0.0569444 0.0895158 0.0173754
0.0576389 0.0904644 0.0175873
0.0583333 0.0914052 0.0177992
0.0590278 0.092339 0.0180111
0.0597222 0.0932631 0.018223
0.0604167 0.0941802 0.0184349
0.0611111 0.0950897 0.0186467
0.0618056 0.0959891 0.0188586
0.0625 0.0968811 0.0190705
0.0631944 0.0977652 0.0192824
0.0638889 0.0986387 0.0194943
0.0645833 0.0995043 0.0197062
0.0652778 0.100361 0.0199181
0.0659722 0.101208 0.02013
0.0666667 0.102046 0.0203419
0.0673611 0.102875 0.0205538
0.0680556 0.103695 0.0207657
0.06875 0.104504 0.0209776
0.0694444 0.105303 0.0211895
0.0701389 0.106093 0.0214014
0.0708333 0.106871 0.0216133
0.0715278 0.10764 0.0218252
0.0722222 0.1084 0.0220371
0.0729167 0.109147 0.022249
0.0736111 0.109885 0.0224609
0.0743056 0.110612 0.0226728
0.075 0.111327 0.0228846
0.0756944 0.112032 0.0230965
0.0763889 0.112726 0.0233084
0.0770833 0.113409 0.0235203
0.0777778 0.114081 0.0237322
0.0784722 0.11474 0.0239441
0.0791667 0.115389 0.024156
0.0798611 0.116026 0.0243679
