time error errTLE
0 0 0
0.000694444 0.00105871 0.000211895
0.00138889 0.00211512 0.00042379
0.00208333 0.00316924 0.000635685
0.00277778 0.00422111 0.00084758
0.00347222 0.00527074 0.00105947
0.00416667 0.00631816 0.00127137
0.00486111 0.0073634 0.00148326
0.00555556 0.0084071 0.00169516
0.00625 0.0094479 0.00190705
0.00694444 0.0104866 0.00211895
0.00763889 0.0115233 0.00233084
0.00833333 0.0125572 0.00254274
0.00902778 0.01359 0.00275463
0.00972222 0.0146214 0.00296653
0.0104167 0.0156495 0.00317842
0.0111111 0.0166766 0.00339032
0.0118056 0.0177023 0.00360221
0.0125 0.018725 0.00381411
0.0131944 0.0197467 0.004026
0.0138889 0.0207667 0.0042379
0.0145833 0.021785 0.00444979
0.0152778 0.0228018 0.00466169
0.0159722 0.0238169 0.00487358
0.0166667 0.024831 0.00508548
0.0173611 0.0258431 0.00529737
0.0180556 0.0268538 0.00550927
0.01875 0.0278632 0.00572116
0.0194444 0.0288707 0.00593306
0.0201389 0.0298777 0.00614495
0.0208333 0.0308839 0.00635685
0.0215278 0.031888 0.00656874
0.0222222 0.0328916 0.00678064
0.0229167 0.0338946 0.00699253
0.0236111 0.0348958 0.00720443
0.0243056 0.0358967 0.00741632
0.025 0.0368969 0.00762822
0.0256944 0.0378963 0.00784011
0.0263889 0.0388951 0.00805201
0.0270833 0.0398934 0.0082639
0.0277778 0.0408914 0.0084758
0.0284722 0.0418884 0.00868769
0.0291667 0.0428854 0.00889959
0.0298611 0.0438825 0.00911148
0.0305556 0.0448788 0.00932337
0.03125 0.0458755 0.00953527
0.0319444 0.0468723 0.00974716
0.0326389 0.0478687 0.00995906
0.0333333 0.0488657 0.010171
0.0340278 0.049863 0.0103828
0.0347222 0.0508607 0.0105947
0.0354167 0.0518588 0.0108066
0.0361111 0.0528576 0.0110185
0.0368056 0.0538573 0.0112304
0.0375 0.0548575 0.0114423
0.0381944 0.0558586 0.0116542
0.0388889 0.0568607 0.0118661
0.0395833 0.0578638 0.012078
0.0402778 0.0588684 0.0122899
0.0409722 0.0598745 0.0125018
0.0416667 0.0608816 0.0127137
0.0423611 0.0618906 0.0129256
0.0430556 0.0629015 0.0131375
0.04375 0.0639138 0.0133494
0.0444444 0.0649284 0.0135613
0.0451389 0.065945 0.0137732
0.0458333 0.0669639 0.0139851
0.0465278 0.0679851 0.014197
0.0472222 0.0690089 0.0144089
0.0479167 0.0700354 0.0146207
0.0486111 0.0710645 0.0148326
0.0493056 0.0720966 0.0150445
0.05 0.0731317 0.0152564
0.0506944 0.0741699 0.0154683
0.0513889 0.0752117 0.0156802
0.0520833 0.0762571 0.0158921
0.0527778 0.0773059 0.016104
0.0534722 0.0783587 0.0163159
0.0541667 0.0794157 0.0165278
0.0548611 0.0804765 0.0167397
0.0555556 0.0815419 0.0169516
0.05625 0.0826118 0.0171635
0.0569444 0.0836863 0.0173754
0.0576389 0.0847657 0.0175873
0.0583333 0.0858502 0.0177992
0.0590278 0.08694 0.0180111
0.0597222 0.0880348 0.018223
0.0604167 0.0891354 0.0184349
0.0611111 0.090242 0.0186467
0.0618056 0.0913541 0.0188586
0.0625 0.0924726 0.0190705
0.0631944 0.0935976 0.0192824
0.0638889 0.0947286 0.0194943
0.0645833 0.0958667 0.0197062
0.0652778 0.0970117 0.0199181
0.0659722 0.0981639 0.02013
0.0666667 0.0993233 0.0203419
0.0673611 0.10049 0.0205538
0.0680556 0.101665 0.0207657
0.06875 0.102848 0.0209776
0.0694444 0.104039 0.0211895
0.0701389 0.105238 0.0214014
0.0708333 0.106445 0.0216133
0.0715278 0.107662 0.0218252
0.0722222 0.108888 0.0220371
0.0729167 0.110123 0.022249
0.0736111 0.111367 0.0224609
0.0743056 0.112621 0.0226728
0.075 0.113885 0.0228846
0.0756944 0.115159 0.0230965
0.0763889 0.116443 0.0233084
0.0770833 0.117738 0.0235203
0.0777778 0.119044 0.0237322
0.0784722 0.120361 0.0239441
0.0791667 0.121689 0.024156
0.0798611 0.123029 0.0243679
0.0805556 0.12438 0.0245798
0.08125 0.125743 0.0247917
0.0819444 0.127118 0.0250036
0.0826389 0.128505 0.0252155
0.0833333 0.129906 0.0254274
0.0840278 0.131318 0.0256393
