time error errTLE
0 0 0
0.000694444 0.000766478 0.0052799
0.00138889 0.00227752 0.0105598
0.00208333 0.00480435 0.0158397
0.00277778 0.00840596 0.0211196
0.00347222 0.0130815 0.0263995
0.00416667 0.0187991 0.0316794
0.00486111 0.0255088 0.0369593
0.00555556 0.0331526 0.0422392
0.00625 0.0416883 0.0475191
0.00694444 0.0510723 0.052799
0.00763889 0.0612887 0.0580789
0.00833333 0.0723463 0.0633588
0.00902778 0.084242 0.0686387
0.00972222 0.0969801 0.0739186
0.0104167 0.110558 0.0791985
0.0111111 0.124928 0.0844784
0.0118056 0.140032 0.0897583
0.0125 0.155789 0.0950382
0.0131944 0.17211 0.100318
0.0138889 0.188918 0.105598
0.0145833 0.206162 0.110878
0.0152778 0.223832 0.116158
0.0159722 0.241961 0.121438
0.0166667 0.26062 0.126718
0.0173611 0.279928 0.131997
0.0180556 0.299978 0.137277
0.01875 0.320868 0.142557
0.0194444 0.34268 0.147837
0.0201389 0.365417 0.153117
0.0208333 0.389064 0.158397
0.0215278 0.413563 0.163677
0.0222222 0.438834 0.168957
0.0229167 0.464789 0.174237
0.0236111 0.491348 0.179517
0.0243056 0.518447 0.184796
0.025 0.546039 0.190076
0.0256944 0.574088 0.195356
0.0263889 0.602562 0.200636
0.0270833 0.631423 0.205916
0.0277778 0.660608 0.211196
0.0284722 0.69006 0.216476
0.0291667 0.719659 0.221756
0.0298611 0.749291 0.227036
0.0305556 0.778853 0.232316
0.03125 0.8082 0.237595
0.0319444 0.837227 0.242875
0.0326389 0.865839 0.248155
0.0333333 0.893954 0.253435
0.0340278 0.92151 0.258715
0.0347222 0.948453 0.263995
0.0354167 0.974736 0.269275
0.0361111 1.00031 0.274555
0.0368056 1.02511 0.279835
0.0375 1.0491 0.285114
0.0381944 1.07219 0.290394
0.0388889 1.0943 0.295674
0.0395833 1.11539 0.300954
0.0402778 1.13537 0.306234
0.0409722 1.15417 0.311514
0.0416667 1.17175 0.316794
0.0423611 1.18806 0.322074
0.0430556 1.20306 0.327354
0.04375 1.21672 0.332634
0.0444444 1.22903 0.337913
0.0451389 1.23996 0.343193
0.0458333 1.24951 0.348473
0.0465278 1.25769 0.353753
0.0472222 1.2645 0.359033
0.0479167 1.26997 0.364313
0.0486111 1.27413 0.369593
0.0493056 1.27697 0.374873
0.05 1.27854 0.380153
0.0506944 1.27886 0.385433
0.0513889 1.27794 0.390712
0.0520833 1.27579 0.395992
0.0527778 1.27244 0.401272
0.0534722 1.2679 0.406552
0.0541667 1.26223 0.411832
0.0548611 1.25548 0.417112
0.0555556 1.24772 0.422392
0.05625 1.23904 0.427672
0.0569444 1.22955 0.432952
0.0576389 1.21936 0.438232
0.0583333 1.20859 0.443511
0.0590278 1.19736 0.448791
0.0597222 1.1858 0.454071
0.0604167 1.17401 0.459351
0.0611111 1.16209 0.464631
0.0618056 1.15018 0.469911
0.0625 1.13836 0.475191
0.0631944 1.12677 0.480471
0.0638889 1.11551 0.485751
0.0645833 1.10471 0.49103
0.0652778 1.09448 0.49631
0.0659722 1.08495 0.50159
0.0666667 1.07621 0.50687
0.0673611 1.06835 0.51215
0.0680556 1.06145 0.51743
0.06875 1.05558 0.52271
0.0694444 1.05081 0.52799
0.0701389 1.0472 0.53327
0.0708333 1.04485 0.53855
0.0715278 1.04383 0.543829
0.0722222 1.04423 0.549109
0.0729167 1.04618 0.554389
0.0736111 1.04975 0.559669
0.0743056 1.05503 0.564949
0.075 1.06206 0.570229
0.0756944 1.07088 0.575509
0.0763889 1.08148 0.580789
0.0770833 1.09381 0.586069
0.0777778 1.10783 0.591349
0.0784722 1.12345 0.596628
0.0791667 1.1406 0.601908
0.0798611 1.15923 0.607188
0.0805556 1.17926 0.612468
0.08125 1.2007 0.617748
0.0819444 1.22355 0.623028
0.0826389 1.24782 0.628308
0.0833333 1.27356 0.633588
0.0840278 1.30078 0.638868
0.0847222 1.3295 0.644148
0.0854167 1.3597 0.649427
0.0861111 1.39132 0.654707
0.0868056 1.42429 0.659987
0.0875 1.45849 0.665267
0.0881944 1.4938 0.670547
0.0888889 1.53008 0.675827
0.0895833 1.56721 0.681107
0.0902778 1.60507 0.686387
0.0909722 1.64359 0.691667
0.0916667 1.68265 0.696947
0.0923611 1.72218 0.702226
0.0930556 1.76211 0.707506
0.09375 1.80233 0.712786
0.0944444 1.84272 0.718066
0.0951389 1.88316 0.723346
0.0958333 1.92349 0.728626
0.0965278 1.96358 0.733906
0.0972222 2.00326 0.739186
0.0979167 2.04239 0.744466
0.0986111 2.08084 0.749745
0.0993056 2.11848 0.755025
0.1 2.15524 0.760305
0.100694 2.19101 0.765585
0.101389 2.22569 0.770865
0.102083 2.25925 0.776145
0.102778 2.29156 0.781425
0.103472 2.32255 0.786705
0.104167 2.35213 0.791985
0.104861 2.38019 0.797265
0.105556 2.40665 0.802544
0.10625 2.43141 0.807824
0.106944 2.45439 0.813104
0.107639 2.47551 0.818384
0.108333 2.49471 0.823664
0.109028 2.51195 0.828944
0.109722 2.52718 0.834224
0.110417 2.54037 0.839504
0.111111 2.55152 0.844784
0.111806 2.5606 0.850064
0.1125 2.56762 0.855343
0.113194 2.57261 0.860623
0.113889 2.57558 0.865903
0.114583 2.57658 0.871183
0.115278 2.57563 0.876463
0.115972 2.57279 0.881743
0.116667 2.5681 0.887023
0.117361 2.5616 0.892303
0.118056 2.55334 0.897583
0.11875 2.54337 0.902863
0.119444 2.53173 0.908142
0.120139 2.51851 0.913422
0.120833 2.50378 0.918702
0.121528 2.48763 0.923982
0.122222 2.47022 0.929262
0.122917 2.45166 0.934542
0.123611 2.43211 0.939822
0.124306 2.41175 0.945102
0.125 2.39072 0.950382
0.125694 2.36921 0.955661
0.126389 2.34736 0.960941
0.127083 2.32535 0.966221
0.127778 2.30332 0.971501
0.128472 2.28145 0.976781
0.129167 2.25988 0.982061
0.129861 2.23879 0.987341
0.130556 2.21834 0.992621
0.13125 2.1987 0.997901
0.131944 2.18003 1.00318
0.132639 2.16246 1.00846
0.133333 2.14616 1.01374
0.134028 2.13122 1.01902
0.134722 2.11774 1.0243
0.135417 2.10586 1.02958
