time error errTLE
0 0 0
0.000694444 0.000766334 0.0052799
0.00138889 0.00227732 0.0105598
0.00208333 0.00480428 0.0158397
0.00277778 0.00840609 0.0211196
0.00347222 0.0130818 0.0263995
0.00416667 0.0187996 0.0316794
0.00486111 0.0255092 0.0369593
0.00555556 0.0331529 0.0422392
0.00625 0.0416882 0.0475191
0.00694444 0.0510716 0.052799
0.00763889 0.0612872 0.0580789
0.00833333 0.0723436 0.0633588
0.00902778 0.0842378 0.0686387
0.00972222 0.0969737 0.0739186
0.0104167 0.110549 0.0791985
0.0111111 0.124916 0.0844784
0.0118056 0.140016 0.0897583
0.0125 0.155768 0.0950382
0.0131944 0.172083 0.100318
0.0138889 0.188884 0.105598
0.0145833 0.206121 0.110878
0.0152778 0.223782 0.116158
0.0159722 0.241902 0.121438
0.0166667 0.260551 0.126718
0.0173611 0.279847 0.131997
0.0180556 0.299884 0.137277
0.01875 0.320761 0.142557
0.0194444 0.342558 0.147837
0.0201389 0.365279 0.153117
0.0208333 0.388908 0.158397
0.0215278 0.413389 0.163677
0.0222222 0.438639 0.168957
0.0229167 0.464572 0.174237
0.0236111 0.491108 0.179517
0.0243056 0.518182 0.184796
0.025 0.545747 0.190076
0.0256944 0.573768 0.195356
0.0263889 0.602213 0.200636
0.0270833 0.631042 0.205916
0.0277778 0.660195 0.211196
0.0284722 0.689612 0.216476
0.0291667 0.719175 0.221756
0.0298611 0.74877 0.227036
0.0305556 0.778293 0.232316
0.03125 0.807599 0.237595
0.0319444 0.836585 0.242875
0.0326389 0.865153 0.248155
0.0333333 0.893224 0.253435
0.0340278 0.920734 0.258715
0.0347222 0.94763 0.263995
0.0354167 0.973865 0.269275
0.0361111 0.999388 0.274555
0.0368056 1.02414 0.279835
0.0375 1.04808 0.285114
0.0381944 1.07111 0.290394
0.0388889 1.09318 0.295674
0.0395833 1.11421 0.300954
0.0402778 1.13413 0.306234
0.0409722 1.15287 0.311514
0.0416667 1.17041 0.316794
0.0423611 1.18666 0.322074
0.0430556 1.2016 0.327354
0.04375 1.2152 0.332634
0.0444444 1.22745 0.337913
0.0451389 1.23832 0.343193
0.0458333 1.24781 0.348473
0.0465278 1.25593 0.353753
0.0472222 1.26269 0.359033
0.0479167 1.2681 0.364313
0.0486111 1.2722 0.369593
0.0493056 1.27499 0.374873
0.05 1.27649 0.380153
0.0506944 1.27676 0.385433
0.0513889 1.27578 0.390712
0.0520833 1.27357 0.395992
0.0527778 1.27016 0.401272
0.0534722 1.26557 0.406552
0.0541667 1.25984 0.411832
0.0548611 1.25303 0.417112
0.0555556 1.24521 0.422392
0.05625 1.23647 0.427672
0.0569444 1.22692 0.432952
0.0576389 1.21667 0.438232
0.0583333 1.20585 0.443511
0.0590278 1.19456 0.448791
0.0597222 1.18294 0.454071
0.0604167 1.17109 0.459351
0.0611111 1.15911 0.464631
0.0618056 1.14713 0.469911
0.0625 1.13525 0.475191
0.0631944 1.12358 0.480471
0.0638889 1.11225 0.485751
0.0645833 1.10138 0.49103
0.0652778 1.09108 0.49631
0.0659722 1.08146 0.50159
0.0666667 1.07264 0.50687
0.0673611 1.06469 0.51215
0.0680556 1.05769 0.51743
0.06875 1.05173 0.52271
0.0694444 1.04685 0.52799
0.0701389 1.04313 0.53327
0.0708333 1.04067 0.53855
0.0715278 1.03953 0.543829
0.0722222 1.03981 0.549109
0.0729167 1.04163 0.554389
0.0736111 1.04507 0.559669
0.0743056 1.0502 0.564949
0.075 1.05709 0.570229
0.0756944 1.06575 0.575509
0.0763889 1.07619 0.580789
0.0770833 1.08837 0.586069
0.0777778 1.10222 0.591349
0.0784722 1.11767 0.596628
0.0791667 1.13464 0.601908
0.0798611 1.15309 0.607188
0.0805556 1.17294 0.612468
0.08125 1.19418 0.617748
0.0819444 1.21684 0.623028
0.0826389 1.24091 0.628308
0.0833333 1.26644 0.633588
0.0840278 1.29346 0.638868
0.0847222 1.32197 0.644148
0.0854167 1.35196 0.649427
0.0861111 1.38337 0.654707
0.0868056 1.41612 0.659987
0.0875 1.4501 0.665267
0.0881944 1.48519 0.670547
0.0888889 1.52125 0.675827
0.0895833 1.55815 0.681107
0.0902778 1.59579 0.686387
0.0909722 1.63408 0.691667
0.0916667 1.67292 0.696947
0.0923611 1.71223 0.702226
0.0930556 1.75193 0.707506
0.09375 1.79192 0.712786
0.0944444 1.83209 0.718066
0.0951389 1.8723 0.723346
0.0958333 1.91242 0.728626
0.0965278 1.95228 0.733906
0.0972222 1.99175 0.739186
0.0979167 2.03066 0.744466
0.0986111 2.0689 0.749745
0.0993056 2.10633 0.755025
0.1 2.14288 0.760305
0.100694 2.17844 0.765585
0.101389 2.21293 0.770865
0.102083 2.24628 0.776145
0.102778 2.2784 0.781425
0.103472 2.30919 0.786705
0.104167 2.33859 0.791985
0.104861 2.36647 0.797265
0.105556 2.39274 0.802544
0.10625 2.41733 0.807824
0.106944 2.44013 0.813104
0.107639 2.46108 0.818384
0.108333 2.48012 0.823664
0.109028 2.49719 0.828944
0.109722 2.51227 0.834224
0.110417 2.5253 0.839504
0.111111 2.5363 0.844784
0.111806 2.54523 0.850064
0.1125 2.55211 0.855343
0.113194 2.55696 0.860623
0.113889 2.55979 0.865903
0.114583 2.56065 0.871183
0.115278 2.55958 0.876463
0.115972 2.55661 0.881743
0.116667 2.55179 0.887023
0.117361 2.54517 0.892303
0.118056 2.53678 0.897583
0.11875 2.52669 0.902863
0.119444 2.51494 0.908142
0.120139 2.5016 0.913422
0.120833 2.48675 0.918702
0.121528 2.47049 0.923982
0.122222 2.45297 0.929262
0.122917 2.43429 0.934542
0.123611 2.41463 0.939822
0.124306 2.39415 0.945102
0.125 2.37301 0.950382
0.125694 2.35137 0.955661
0.126389 2.3294 0.960941
0.127083 2.30726 0.966221
0.127778 2.28511 0.971501
0.128472 2.26311 0.976781
0.129167 2.24141 0.982061
0.129861 2.22018 0.987341
0.130556 2.19958 0.992621
0.13125 2.17979 0.997901
0.131944 2.16096 1.00318
0.132639 2.14323 1.00846
0.133333 2.12675 1.01374
0.134028 2.11163 1.01902
0.134722 2.09797 1.0243
0.135417 2.08589 1.02958
0.136111 2.07545 1.03486
0.136806 2.06677 1.04014
0.1375 2.05994 1.04542
0.138194 2.05506 1.0507
0.138889 2.05225 1.05598
0.139583 2.0516 1.06126
0.140278 2.05322 1.06654
0.140972 2.05717 1.07182
0.141667 2.0635 1.0771
0.142361 2.07224 1.08238
0.143056 2.08334 1.08766
0.14375 2.09675 1.09294
0.144444 2.11241 1.09822
0.145139 2.13024 1.1035
0.145833 2.15015 1.10878
0.146528 2.17209 1.11406
0.147222 2.19601 1.11934
0.147917 2.2219 1.12462
0.148611 2.24976 1.1299
0.149306 2.2796 1.13518
0.15 2.31144 1.14046
0.150694 2.34527 1.14574
0.151389 2.38107 1.15102
0.152083 2.41876 1.1563
0.152778 2.45825 1.16158
0.153472 2.49943 1.16686
0.154167 2.54211 1.17214
0.154861 2.58615 1.17742
0.155556 2.63139 1.1827
0.15625 2.67766 1.18798
0.156944 2.72483 1.19326
0.157639 2.77275 1.19854
0.158333 2.82132 1.20382
0.159028 2.8704 1.2091
0.159722 2.91987 1.21438
0.160417 2.96958 1.21966
0.161111 3.01936 1.22494
0.161806 3.06903 1.23022
0.1625 3.11843 1.2355
0.163194 3.16734 1.24078
0.163889 3.21557 1.24606
0.164583 3.26296 1.25134
0.165278 3.30934 1.25662
0.165972 3.35456 1.2619
0.166667 3.3985 1.26718
0.167361 3.44104 1.27246
0.168056 3.48206 1.27774
0.16875 3.52145 1.28302
0.169444 3.5591 1.2883
0.170139 3.59487 1.29357
0.170833 3.62866 1.29885
0.171528 3.66033 1.30413
0.172222 3.68978 1.30941
0.172917 3.71689 1.31469
0.173611 3.74158 1.31997
0.174306 3.76374 1.32525
0.175 3.78332 1.33053
0.175694 3.80028 1.33581
0.176389 3.81454 1.34109
0.177083 3.82611 1.34637
0.177778 3.83495 1.35165
0.178472 3.84108 1.35693
0.179167 3.84451 1.36221
0.179861 3.84527 1.36749
0.180556 3.8434 1.37277
0.18125 3.83895 1.37805
0.181944 3.83199 1.38333
0.182639 3.82257 1.38861
0.183333 3.81077 1.39389
0.184028 3.79665 1.39917
0.184722 3.7803 1.40445
0.185417 3.76179 1.40973
0.186111 3.7412 1.41501
0.186806 3.71867 1.42029
0.1875 3.69431 1.42557
0.188194 3.66827 1.43085
0.188889 3.64072 1.43613
0.189583 3.61186 1.44141
0.190278 3.58188 1.44669
0.190972 3.551 1.45197
0.191667 3.51943 1.45725
0.192361 3.48739 1.46253
0.193056 3.45507 1.46781
0.19375 3.4227 1.47309
0.194444 3.39047 1.47837
0.195139 3.35858 1.48365
0.195833 3.32727 1.48893
0.196528 3.29671 1.49421
0.197222 3.26713 1.49949
