time error errTLE
0 0 0
0.000694444 0.00418177 0.000385908
0.00138889 0.00836369 0.000771815
0.00208333 0.0125463 0.00115772
0.00277778 0.0167294 0.00154363
0.00347222 0.020913 0.00192954
0.00416667 0.0250971 0.00231545
0.00486111 0.0292814 0.00270135
0.00555556 0.0334667 0.00308726
0.00625 0.0376515 0.00347317
0.00694444 0.0418364 0.00385908
0.00763889 0.0460218 0.00424498
0.00833333 0.0502067 0.00463089
0.00902778 0.0543913 0.0050168
0.00972222 0.0585758 0.00540271
0.0104167 0.0627599 0.00578861
0.0111111 0.0669437 0.00617452
0.0118056 0.0711269 0.00656043
0.0125 0.0753096 0.00694634
0.0131944 0.0794917 0.00733224
0.0138889 0.0836731 0.00771815
0.0145833 0.0878536 0.00810406
0.0152778 0.0920333 0.00848997
0.0159722 0.096212 0.00887587
0.0166667 0.10039 0.00926178
0.0173611 0.104567 0.00964769
0.0180556 0.108742 0.0100336
0.01875 0.112917 0.0104195
0.0194444 0.11709 0.0108054
0.0201389 0.121261 0.0111913
0.0208333 0.125431 0.0115772
0.0215278 0.129599 0.0119631
0.0222222 0.133766 0.012349
0.0229167 0.137931 0.012735
0.0236111 0.142094 0.0131209
0.0243056 0.146255 0.0135068
0.025 0.150414 0.0138927
0.0256944 0.154571 0.0142786
0.0263889 0.158726 0.0146645
0.0270833 0.162879 0.0150504
0.0277778 0.16703 0.0154363
0.0284722 0.171179 0.0158222
0.0291667 0.175324 0.0162081
0.0298611 0.179468 0.016594
0.0305556 0.183609 0.0169799
0.03125 0.187747 0.0173658
0.0319444 0.191883 0.0177517
0.0326389 0.196015 0.0181377
0.0333333 0.200145 0.0185236
0.0340278 0.204272 0.0189095
0.0347222 0.208396 0.0192954
0.0354167 0.212517 0.0196813
0.0361111 0.216635 0.0200672
0.0368056 0.22075 0.0204531
0.0375 0.224861 0.020839
0.0381944 0.228969 0.0212249
0.0388889 0.233074 0.0216108
0.0395833 0.237175 0.0219967
0.0402778 0.241273 0.0223826
0.0409722 0.245367 0.0227685
0.0416667 0.249458 0.0231545
0.0423611 0.253544 0.0235404
0.0430556 0.257627 0.0239263
0.04375 0.261707 0.0243122
0.0444444 0.265782 0.0246981
0.0451389 0.269853 0.025084
0.0458333 0.273921 0.0254699
0.0465278 0.277984 0.0258558
0.0472222 0.282043 0.0262417
0.0479167 0.286099 0.0266276
0.0486111 0.29015 0.0270135
0.0493056 0.294196 0.0273994
0.05 0.298239 0.0277853
0.0506944 0.302277 0.0281713
0.0513889 0.30631 0.0285572
0.0520833 0.310339 0.0289431
0.0527778 0.314364 0.029329
0.0534722 0.318384 0.0297149
0.0541667 0.322399 0.0301008
0.0548611 0.32641 0.0304867
0.0555556 0.330416 0.0308726
0.05625 0.334417 0.0312585
0.0569444 0.338414 0.0316444
0.0576389 0.342406 0.0320303
0.0583333 0.346393 0.0324162
0.0590278 0.350375 0.0328021
0.0597222 0.354352 0.0331881
0.0604167 0.358324 0.033574
0.0611111 0.362292 0.0339599
0.0618056 0.366254 0.0343458
0.0625 0.370211 0.0347317
0.0631944 0.374163 0.0351176
0.0638889 0.37811 0.0355035
0.0645833 0.382052 0.0358894
0.0652778 0.385988 0.0362753
0.0659722 0.38992 0.0366612
0.0666667 0.393846 0.0370471
0.0673611 0.397767 0.037433
0.0680556 0.401683 0.0378189
0.06875 0.405594 0.0382049
0.0694444 0.409499 0.0385908
0.0701389 0.413399 0.0389767
0.0708333 0.417294 0.0393626
0.0715278 0.421183 0.0397485
0.0722222 0.425067 0.0401344
0.0729167 0.428945 0.0405203
0.0736111 0.432819 0.0409062
0.0743056 0.436686 0.0412921
0.075 0.440549 0.041678
0.0756944 0.444406 0.0420639
0.0763889 0.448258 0.0424498
0.0770833 0.452104 0.0428357
0.0777778 0.455945 0.0432216
0.0784722 0.459781 0.0436076
0.0791667 0.463612 0.0439935
0.0798611 0.467437 0.0443794
0.0805556 0.471256 0.0447653
0.08125 0.475071 0.0451512
0.0819444 0.47888 0.0455371
0.0826389 0.482684 0.045923
0.0833333 0.486483 0.0463089
0.0840278 0.490276 0.0466948
0.0847222 0.494064 0.0470807
0.0854167 0.497847 0.0474666
0.0861111 0.501624 0.0478525
0.0868056 0.505397 0.0482384
0.0875 0.509164 0.0486244
0.0881944 0.512926 0.0490103
0.0888889 0.516683 0.0493962
0.0895833 0.520435 0.0497821
0.0902778 0.524183 0.050168
0.0909722 0.527925 0.0505539
0.0916667 0.531663 0.0509398
0.0923611 0.535395 0.0513257
0.0930556 0.539123 0.0517116
0.09375 0.542846 0.0520975
0.0944444 0.546564 0.0524834
0.0951389 0.550277 0.0528693
0.0958333 0.553986 0.0532552
0.0965278 0.55769 0.0536412
0.0972222 0.56139 0.0540271
0.0979167 0.565085 0.054413
0.0986111 0.568776 0.0547989
0.0993056 0.572463 0.0551848
0.1 0.576145 0.0555707
0.100694 0.579823 0.0559566
0.101389 0.583497 0.0563425
0.102083 0.587167 0.0567284
0.102778 0.590833 0.0571143
0.103472 0.594495 0.0575002
0.104167 0.598153 0.0578861
0.104861 0.601808 0.058272
0.105556 0.605459 0.058658
0.10625 0.609106 0.0590439
0.106944 0.61275 0.0594298
0.107639 0.61639 0.0598157
0.108333 0.620028 0.0602016
0.109028 0.623662 0.0605875
