time error errTLE
0 0 0
0.000694444 0.00418039 0.000385908
0.00138889 0.0083582 0.000771815
0.00208333 0.012534 0.00115772
0.00277778 0.0167078 0.00154363
0.00347222 0.0208796 0.00192954
0.00416667 0.0250494 0.00231545
0.00486111 0.0292171 0.00270135
0.00555556 0.0333834 0.00308726
0.00625 0.0375471 0.00347317
0.00694444 0.0417086 0.00385908
0.00763889 0.0458688 0.00424498
0.00833333 0.0500262 0.00463089
0.00902778 0.0541816 0.0050168
0.00972222 0.0583348 0.00540271
0.0104167 0.062486 0.00578861
0.0111111 0.0666351 0.00617452
0.0118056 0.070782 0.00656043
0.0125 0.0749269 0.00694634
0.0131944 0.0790696 0.00733224
0.0138889 0.0832101 0.00771815
0.0145833 0.0873486 0.00810406
0.0152778 0.0914848 0.00848997
0.0159722 0.0956189 0.00887587
0.0166667 0.0997515 0.00926178
0.0173611 0.103881 0.00964769
0.0180556 0.108009 0.0100336
0.01875 0.112135 0.0104195
0.0194444 0.116258 0.0108054
0.0201389 0.120379 0.0111913
0.0208333 0.124498 0.0115772
0.0215278 0.128615 0.0119631
0.0222222 0.132729 0.012349
0.0229167 0.136841 0.012735
0.0236111 0.140951 0.0131209
0.0243056 0.145059 0.0135068
0.025 0.149165 0.0138927
0.0256944 0.153268 0.0142786
0.0263889 0.157369 0.0146645
0.0270833 0.161468 0.0150504
0.0277778 0.165565 0.0154363
0.0284722 0.16966 0.0158222
0.0291667 0.173752 0.0162081
0.0298611 0.177842 0.016594
0.0305556 0.18193 0.0169799
0.03125 0.186015 0.0173658
0.0319444 0.190099 0.0177517
0.0326389 0.194179 0.0181377
0.0333333 0.198258 0.0185236
0.0340278 0.202335 0.0189095
0.0347222 0.206409 0.0192954
0.0354167 0.210481 0.0196813
0.0361111 0.21455 0.0200672
0.0368056 0.218618 0.0204531
0.0375 0.222683 0.020839
0.0381944 0.226746 0.0212249
0.0388889 0.230807 0.0216108
0.0395833 0.234866 0.0219967
0.0402778 0.238922 0.0223826
0.0409722 0.242976 0.0227685
0.0416667 0.247027 0.0231545
0.0423611 0.251077 0.0235404
0.0430556 0.255124 0.0239263
0.04375 0.259169 0.0243122
0.0444444 0.263212 0.0246981
0.0451389 0.267252 0.025084
0.0458333 0.27129 0.0254699
0.0465278 0.275326 0.0258558
0.0472222 0.27936 0.0262417
0.0479167 0.283392 0.0266276
0.0486111 0.287422 0.0270135
0.0493056 0.291449 0.0273994
0.05 0.295475 0.0277853
0.0506944 0.299498 0.0281713
0.0513889 0.303518 0.0285572
0.0520833 0.307537 0.0289431
0.0527778 0.311553 0.029329
0.0534722 0.315568 0.0297149
0.0541667 0.31958 0.0301008
0.0548611 0.32359 0.0304867
0.0555556 0.327598 0.0308726
0.05625 0.331603 0.0312585
0.0569444 0.335607 0.0316444
0.0576389 0.339609 0.0320303
0.0583333 0.343608 0.0324162
0.0590278 0.347606 0.0328021
0.0597222 0.351602 0.0331881
0.0604167 0.355595 0.033574
0.0611111 0.359587 0.0339599
0.0618056 0.363576 0.0343458
0.0625 0.367564 0.0347317
0.0631944 0.371549 0.0351176
0.0638889 0.375533 0.0355035
0.0645833 0.379514 0.0358894
0.0652778 0.383494 0.0362753
0.0659722 0.387472 0.0366612
0.0666667 0.391447 0.0370471
0.0673611 0.395421 0.037433
0.0680556 0.399394 0.0378189
0.06875 0.403364 0.0382049
0.0694444 0.407333 0.0385908
0.0701389 0.4113 0.0389767
0.0708333 0.415265 0.0393626
0.0715278 0.419228 0.0397485
0.0722222 0.42319 0.0401344
0.0729167 0.427149 0.0405203
0.0736111 0.431108 0.0409062
0.0743056 0.435064 0.0412921
0.075 0.439019 0.041678
0.0756944 0.442972 0.0420639
0.0763889 0.446924 0.0424498
0.0770833 0.450874 0.0428357
0.0777778 0.454823 0.0432216
0.0784722 0.45877 0.0436076
0.0791667 0.462716 0.0439935
0.0798611 0.46666 0.0443794
0.0805556 0.470603 0.0447653
0.08125 0.474545 0.0451512
0.0819444 0.478486 0.0455371
0.0826389 0.482424 0.045923
0.0833333 0.486362 0.0463089
0.0840278 0.490299 0.0466948
0.0847222 0.494234 0.0470807
0.0854167 0.498168 0.0474666
0.0861111 0.502101 0.0478525
0.0868056 0.506033 0.0482384
0.0875 0.509964 0.0486244
0.0881944 0.513894 0.0490103
0.0888889 0.517823 0.0493962
0.0895833 0.521751 0.0497821
0.0902778 0.525679 0.050168
0.0909722 0.529605 0.0505539
0.0916667 0.533531 0.0509398
0.0923611 0.537457 0.0513257
0.0930556 0.541381 0.0517116
0.09375 0.545305 0.0520975
0.0944444 0.549228 0.0524834
0.0951389 0.55315 0.0528693
0.0958333 0.557072 0.0532552
0.0965278 0.560994 0.0536412
0.0972222 0.564916 0.0540271
0.0979167 0.568837 0.054413
0.0986111 0.572757 0.0547989
0.0993056 0.576679 0.0551848
0.1 0.580599 0.0555707
0.100694 0.58452 0.0559566
0.101389 0.588441 0.0563425
0.102083 0.592361 0.0567284
0.102778 0.596282 0.0571143
0.103472 0.600202 0.0575002
0.104167 0.604123 0.0578861
0.104861 0.608045 0.058272
0.105556 0.611967 0.058658
0.10625 0.615889 0.0590439
0.106944 0.619812 0.0594298
0.107639 0.623735 0.0598157
0.108333 0.627659 0.0602016
