time error errTLE
0 0 0
0.000694444 0.00418795 0.000385908
0.00138889 0.0083884 0.000771815
0.00208333 0.0126019 0.00115772
0.00277778 0.0168285 0.00154363
0.00347222 0.021068 0.00192954
0.00416667 0.0253205 0.00231545
0.00486111 0.0295859 0.00270135
0.00555556 0.0338647 0.00308726
0.00625 0.0381558 0.00347317
0.00694444 0.0424597 0.00385908
0.00763889 0.0467769 0.00424498
0.00833333 0.0511062 0.00463089
0.00902778 0.0554482 0.0050168
0.00972222 0.0598028 0.00540271
0.0104167 0.06417 0.00578861
0.0111111 0.0685497 0.00617452
0.0118056 0.0729419 0.00656043
0.0125 0.0773465 0.00694634
0.0131944 0.0817636 0.00733224
0.0138889 0.086193 0.00771815
0.0145833 0.0906348 0.00810406
0.0152778 0.0950888 0.00848997
0.0159722 0.0995551 0.00887587
0.0166667 0.104034 0.00926178
0.0173611 0.108525 0.00964769
0.0180556 0.113028 0.0100336
0.01875 0.117543 0.0104195
0.0194444 0.12207 0.0108054
0.0201389 0.126609 0.0111913
0.0208333 0.131159 0.0115772
0.0215278 0.135722 0.0119631
0.0222222 0.140297 0.012349
0.0229167 0.144883 0.012735
0.0236111 0.149481 0.0131209
0.0243056 0.154091 0.0135068
0.025 0.158713 0.0138927
0.0256944 0.163346 0.0142786
0.0263889 0.167991 0.0146645
0.0270833 0.172647 0.0150504
0.0277778 0.177316 0.0154363
0.0284722 0.181995 0.0158222
0.0291667 0.186686 0.0162081
0.0298611 0.191389 0.016594
0.0305556 0.196103 0.0169799
0.03125 0.200828 0.0173658
0.0319444 0.205565 0.0177517
0.0326389 0.210313 0.0181377
0.0333333 0.215072 0.0185236
0.0340278 0.219842 0.0189095
0.0347222 0.224624 0.0192954
0.0354167 0.229416 0.0196813
0.0361111 0.23422 0.0200672
0.0368056 0.239036 0.0204531
0.0375 0.243862 0.020839
0.0381944 0.248699 0.0212249
0.0388889 0.253548 0.0216108
0.0395833 0.258408 0.0219967
0.0402778 0.263278 0.0223826
0.0409722 0.268159 0.0227685
0.0416667 0.273052 0.0231545
0.0423611 0.277955 0.0235404
0.0430556 0.282869 0.0239263
0.04375 0.287794 0.0243122
0.0444444 0.29273 0.0246981
0.0451389 0.297677 0.025084
0.0458333 0.302635 0.0254699
0.0465278 0.307604 0.0258558
0.0472222 0.312583 0.0262417
0.0479167 0.317574 0.0266276
0.0486111 0.322576 0.0270135
0.0493056 0.327588 0.0273994
0.05 0.332611 0.0277853
0.0506944 0.337645 0.0281713
0.0513889 0.34269 0.0285572
0.0520833 0.347746 0.0289431
0.0527778 0.352812 0.029329
0.0534722 0.35789 0.0297149
0.0541667 0.362978 0.0301008
0.0548611 0.368077 0.0304867
0.0555556 0.373187 0.0308726
0.05625 0.378308 0.0312585
0.0569444 0.383441 0.0316444
0.0576389 0.388584 0.0320303
0.0583333 0.393738 0.0324162
0.0590278 0.398903 0.0328021
0.0597222 0.40408 0.0331881
0.0604167 0.409267 0.033574
0.0611111 0.414466 0.0339599
0.0618056 0.419676 0.0343458
0.0625 0.424896 0.0347317
0.0631944 0.430128 0.0351176
0.0638889 0.435372 0.0355035
0.0645833 0.440627 0.0358894
0.0652778 0.445893 0.0362753
0.0659722 0.45117 0.0366612
0.0666667 0.456459 0.0370471
0.0673611 0.46176 0.037433
0.0680556 0.467073 0.0378189
0.06875 0.472397 0.0382049
0.0694444 0.477732 0.0385908
0.0701389 0.48308 0.0389767
0.0708333 0.48844 0.0393626
0.0715278 0.493811 0.0397485
0.0722222 0.499194 0.0401344
0.0729167 0.50459 0.0405203
0.0736111 0.509998 0.0409062
0.0743056 0.515418 0.0412921
0.075 0.52085 0.041678
0.0756944 0.526295 0.0420639
0.0763889 0.531752 0.0424498
