time error errTLE
0 0 0
0.000694444 0.00418148 0.000385908
0.00138889 0.00836254 0.000771815
0.00208333 0.0125438 0.00115772
0.00277778 0.0167252 0.00154363
0.00347222 0.0209067 0.00192954
0.00416667 0.0250884 0.00231545
0.00486111 0.0292702 0.00270135
0.00555556 0.0334527 0.00308726
0.00625 0.0376347 0.00347317
0.00694444 0.0418168 0.00385908
0.00763889 0.0459996 0.00424498
0.00833333 0.0501819 0.00463089
0.00902778 0.0543642 0.0050168
0.00972222 0.0585465 0.00540271
0.0104167 0.0627289 0.00578861
0.0111111 0.0669113 0.00617452
0.0118056 0.0710937 0.00656043
0.0125 0.0752761 0.00694634
0.0131944 0.0794584 0.00733224
0.0138889 0.0836408 0.00771815
0.0145833 0.0878231 0.00810406
0.0152778 0.0920054 0.00848997
0.0159722 0.0961876 0.00887587
0.0166667 0.10037 0.00926178
0.0173611 0.104552 0.00964769
0.0180556 0.108734 0.0100336
0.01875 0.112917 0.0104195
0.0194444 0.117099 0.0108054
0.0201389 0.12128 0.0111913
0.0208333 0.125462 0.0115772
0.0215278 0.129643 0.0119631
0.0222222 0.133824 0.012349
0.0229167 0.138005 0.012735
0.0236111 0.142186 0.0131209
0.0243056 0.146367 0.0135068
0.025 0.150547 0.0138927
0.0256944 0.154727 0.0142786
0.0263889 0.158908 0.0146645
0.0270833 0.163087 0.0150504
0.0277778 0.167267 0.0154363
0.0284722 0.171447 0.0158222
0.0291667 0.175626 0.0162081
0.0298611 0.179805 0.016594
0.0305556 0.183984 0.0169799
0.03125 0.188162 0.0173658
0.0319444 0.19234 0.0177517
0.0326389 0.196517 0.0181377
0.0333333 0.200695 0.0185236
0.0340278 0.204872 0.0189095
0.0347222 0.209048 0.0192954
0.0354167 0.213224 0.0196813
0.0361111 0.2174 0.0200672
0.0368056 0.221576 0.0204531
0.0375 0.225752 0.020839
0.0381944 0.229926 0.0212249
0.0388889 0.234101 0.0216108
0.0395833 0.238275 0.0219967
0.0402778 0.242449 0.0223826
0.0409722 0.246622 0.0227685
0.0416667 0.250795 0.0231545
0.0423611 0.254967 0.0235404
0.0430556 0.259139 0.0239263
0.04375 0.26331 0.0243122
0.0444444 0.267481 0.0246981
0.0451389 0.271651 0.025084
0.0458333 0.275821 0.0254699
0.0465278 0.279991 0.0258558
