time error errTLE
0 0 0
0.000694444 0.00418902 0.000385908
0.00138889 0.00839261 0.000771815
0.00208333 0.0126112 0.00115772
0.00277778 0.0168448 0.00154363
0.00347222 0.021093 0.00192954
0.00416667 0.0253559 0.00231545
0.00486111 0.0296332 0.00270135
0.00555556 0.0339254 0.00308726
0.00625 0.0382312 0.00347317
0.00694444 0.042551 0.00385908
0.00763889 0.0468852 0.00424498
0.00833333 0.0512326 0.00463089
0.00902778 0.0555934 0.0050168
0.00972222 0.0599677 0.00540271
0.0104167 0.0643551 0.00578861
0.0111111 0.0687556 0.00617452
0.0118056 0.0731691 0.00656043
0.0125 0.0775952 0.00694634
0.0131944 0.0820339 0.00733224
0.0138889 0.086485 0.00771815
0.0145833 0.0909484 0.00810406
0.0152778 0.0954238 0.00848997
0.0159722 0.0999111 0.00887587
0.0166667 0.104411 0.00926178
0.0173611 0.108921 0.00964769
0.0180556 0.113443 0.0100336
0.01875 0.117977 0.0104195
0.0194444 0.122521 0.0108054
0.0201389 0.127076 0.0111913
0.0208333 0.131642 0.0115772
0.0215278 0.136218 0.0119631
0.0222222 0.140804 0.012349
0.0229167 0.145401 0.012735
0.0236111 0.150007 0.0131209
0.0243056 0.154623 0.0135068
0.025 0.159249 0.0138927
0.0256944 0.163884 0.0142786
0.0263889 0.168529 0.0146645
0.0270833 0.173182 0.0150504
0.0277778 0.177845 0.0154363
0.0284722 0.182516 0.0158222
0.0291667 0.187195 0.0162081
0.0298611 0.191883 0.016594
0.0305556 0.196578 0.0169799
0.03125 0.201281 0.0173658
0.0319444 0.205992 0.0177517
0.0326389 0.210711 0.0181377
0.0333333 0.215436 0.0185236
0.0340278 0.220169 0.0189095
0.0347222 0.224908 0.0192954
0.0354167 0.229655 0.0196813
0.0361111 0.234407 0.0200672
0.0368056 0.239167 0.0204531
0.0375 0.243932 0.020839
0.0381944 0.248703 0.0212249
0.0388889 0.25348 0.0216108
0.0395833 0.258261 0.0219967
0.0402778 0.263049 0.0223826
0.0409722 0.267841 0.0227685
0.0416667 0.272638 0.0231545
0.0423611 0.277439 0.0235404
0.0430556 0.282245 0.0239263
0.04375 0.287056 0.0243122
0.0444444 0.29187 0.0246981
0.0451389 0.296688 0.025084
0.0458333 0.301509 0.0254699
0.0465278 0.306334 0.0258558
0.0472222 0.311163 0.0262417
0.0479167 0.315994 0.0266276
0.0486111 0.320828 0.0270135
0.0493056 0.325665 0.0273994
0.05 0.330504 0.0277853
0.0506944 0.335345 0.0281713
0.0513889 0.340188 0.0285572
0.0520833 0.345032 0.0289431
0.0527778 0.349878 0.029329
0.0534722 0.354725 0.0297149
0.0541667 0.359573 0.0301008
0.0548611 0.364423 0.0304867
0.0555556 0.369272 0.0308726
0.05625 0.374122 0.0312585
0.0569444 0.378973 0.0316444
0.0576389 0.383823 0.0320303
0.0583333 0.388673 0.0324162
0.0590278 0.393524 0.0328021
0.0597222 0.398373 0.0331881
0.0604167 0.403221 0.033574
0.0611111 0.408069 0.0339599
0.0618056 0.412915 0.0343458
0.0625 0.417759 0.0347317
0.0631944 0.422602 0.0351176
0.0638889 0.427443 0.0355035
0.0645833 0.432282 0.0358894
0.0652778 0.437118 0.0362753
0.0659722 0.441952 0.0366612
0.0666667 0.446783 0.0370471
0.0673611 0.451611 0.037433
0.0680556 0.456437 0.0378189
0.06875 0.461258 0.0382049
0.0694444 0.466076 0.0385908
0.0701389 0.470891 0.0389767
0.0708333 0.475701 0.0393626
0.0715278 0.480507 0.0397485
0.0722222 0.485309 0.0401344
0.0729167 0.490106 0.0405203
0.0736111 0.494898 0.0409062
0.0743056 0.499685 0.0412921
0.075 0.504466 0.041678
0.0756944 0.509243 0.0420639
0.0763889 0.514013 0.0424498
0.0770833 0.518778 0.0428357
0.0777778 0.523537 0.0432216
0.0784722 0.528289 0.0436076
0.0791667 0.533036 0.0439935
0.0798611 0.537775 0.0443794
0.0805556 0.542508 0.0447653
0.08125 0.547234 0.0451512
0.0819444 0.551952 0.0455371
0.0826389 0.556662 0.045923
0.0833333 0.561365 0.0463089
0.0840278 0.56606 0.0466948
0.0847222 0.570747 0.0470807
0.0854167 0.575426 0.0474666
0.0861111 0.580097 0.0478525
0.0868056 0.584758 0.0482384
0.0875 0.589411 0.0486244
0.0881944 0.594055 0.0490103
0.0888889 0.59869 0.0493962
0.0895833 0.603315 0.0497821
0.0902778 0.607931 0.050168
0.0909722 0.612537 0.0505539
0.0916667 0.617133 0.0509398
0.0923611 0.62172 0.0513257
0.0930556 0.626295 0.0517116
0.09375 0.630861 0.0520975
0.0944444 0.635415 0.0524834
0.0951389 0.639959 0.0528693
0.0958333 0.644491 0.0532552
0.0965278 0.649012 0.0536412
0.0972222 0.653522 0.0540271
0.0979167 0.658021 0.054413
0.0986111 0.662508 0.0547989
0.0993056 0.666983 0.0551848
0.1 0.671446 0.0555707
0.100694 0.675897 0.0559566
0.101389 0.680335 0.0563425
0.102083 0.684761 0.0567284
0.102778 0.689174 0.0571143
0.103472 0.693574 0.0575002
0.104167 0.697961 0.0578861
0.104861 0.702335 0.058272
0.105556 0.706696 0.058658
0.10625 0.711043 0.0590439
0.106944 0.715376 0.0594298
0.107639 0.719696 0.0598157
0.108333 0.724002 0.0602016
0.109028 0.728294 0.0605875
0.109722 0.732571 0.0609734
0.110417 0.736835 0.0613593
0.111111 0.741084 0.0617452
0.111806 0.745318 0.0621311
0.1125 0.749538 0.062517
0.113194 0.753742 0.0629029
0.113889 0.757932 0.0632888
0.114583 0.762106 0.0636748
0.115278 0.766265 0.0640607
0.115972 0.770409 0.0644466
0.116667 0.774537 0.0648325
0.117361 0.778649 0.0652184
0.118056 0.782746 0.0656043
0.11875 0.786827 0.0659902
0.119444 0.790892 0.0663761
0.120139 0.79494 0.066762
0.120833 0.798973 0.0671479
0.121528 0.80299 0.0675338
0.122222 0.80699 0.0679197
0.122917 0.810973 0.0683056
0.123611 0.81494 0.0686916
0.124306 0.818891 0.0690775
0.125 0.822824 0.0694634
0.125694 0.82674 0.0698493
0.126389 0.83064 0.0702352
0.127083 0.834522 0.0706211
0.127778 0.838388 0.071007
0.128472 0.842236 0.0713929
0.129167 0.846067 0.0717788
0.129861 0.84988 0.0721647
0.130556 0.853677 0.0725506
0.13125 0.857456 0.0729365
0.131944 0.861217 0.0733224
0.132639 0.864961 0.0737083
0.133333 0.868687 0.0740943
0.134028 0.872395 0.0744802
0.134722 0.876085 0.0748661
0.135417 0.879758 0.075252
0.136111 0.883412 0.0756379
0.136806 0.887049 0.0760238
0.1375 0.890668 0.0764097
0.138194 0.894269 0.0767956
0.138889 0.897851 0.0771815
0.139583 0.901416 0.0775674
0.140278 0.904963 0.0779533
0.140972 0.908491 0.0783392
0.141667 0.912002 0.0787251
0.142361 0.915495 0.0791111
0.143056 0.918969 0.079497
0.14375 0.922426 0.0798829
0.144444 0.925863 0.0802688
0.145139 0.929283 0.0806547
0.145833 0.932685 0.0810406
0.146528 0.936068 0.0814265
0.147222 0.939433 0.0818124
0.147917 0.94278 0.0821983
0.148611 0.946109 0.0825842
0.149306 0.94942 0.0829701
0.15 0.952713 0.083356
0.150694 0.955987 0.0837419
0.151389 0.959244 0.0841279
0.152083 0.962483 0.0845138
0.152778 0.965704 0.0848997
0.153472 0.968907 0.0852856
0.154167 0.972091 0.0856715
