time error errTLE
0 0 0
0.000694444 0.0041801 0.000385908
0.00138889 0.00835714 0.000771815
0.00208333 0.0125318 0.00115772
0.00277778 0.0167043 0.00154363
0.00347222 0.0208746 0.00192954
0.00416667 0.025043 0.00231545
0.00486111 0.0292095 0.00270135
0.00555556 0.0333749 0.00308726
0.00625 0.0375381 0.00347317
0.00694444 0.0416998 0.00385908
0.00763889 0.0458607 0.00424498
0.00833333 0.0500198 0.00463089
0.00902778 0.0541779 0.0050168
0.00972222 0.0583349 0.00540271
0.0104167 0.0624912 0.00578861
0.0111111 0.0666467 0.00617452
0.0118056 0.0708017 0.00656043
0.0125 0.0749562 0.00694634
0.0131944 0.0791104 0.00733224
0.0138889 0.0832644 0.00771815
0.0145833 0.0874184 0.00810406
0.0152778 0.0915724 0.00848997
0.0159722 0.0957267 0.00887587
0.0166667 0.0998819 0.00926178
0.0173611 0.104037 0.00964769
0.0180556 0.108193 0.0100336
0.01875 0.11235 0.0104195
0.0194444 0.116507 0.0108054
0.0201389 0.120666 0.0111913
0.0208333 0.124825 0.0115772
0.0215278 0.128986 0.0119631
0.0222222 0.133148 0.012349
0.0229167 0.137312 0.012735
0.0236111 0.141477 0.0131209
0.0243056 0.145645 0.0135068
0.025 0.149814 0.0138927
0.0256944 0.153985 0.0142786
0.0263889 0.158159 0.0146645
0.0270833 0.162335 0.0150504
0.0277778 0.166514 0.0154363
0.0284722 0.170695 0.0158222
0.0291667 0.174879 0.0162081
0.0298611 0.179066 0.016594
0.0305556 0.183256 0.0169799
0.03125 0.187448 0.0173658
0.0319444 0.191645 0.0177517
0.0326389 0.195844 0.0181377
0.0333333 0.200047 0.0185236
0.0340278 0.204254 0.0189095
0.0347222 0.208465 0.0192954
0.0354167 0.21268 0.0196813
0.0361111 0.216898 0.0200672
0.0368056 0.221122 0.0204531
0.0375 0.225349 0.020839
0.0381944 0.229581 0.0212249
0.0388889 0.233818 0.0216108
0.0395833 0.238059 0.0219967
0.0402778 0.242305 0.0223826
0.0409722 0.246556 0.0227685
0.0416667 0.250812 0.0231545
0.0423611 0.255073 0.0235404
0.0430556 0.25934 0.0239263
0.04375 0.263612 0.0243122
0.0444444 0.26789 0.0246981
0.0451389 0.272173 0.025084
0.0458333 0.276463 0.0254699
0.0465278 0.280758 0.0258558
0.0472222 0.28506 0.0262417
0.0479167 0.289368 0.0266276
0.0486111 0.293682 0.0270135
0.0493056 0.298002 0.0273994
0.05 0.30233 0.0277853
0.0506944 0.306664 0.0281713
0.0513889 0.311005 0.0285572
0.0520833 0.315352 0.0289431
0.0527778 0.319707 0.029329
0.0534722 0.324068 0.0297149
0.0541667 0.328437 0.0301008
0.0548611 0.332814 0.0304867
0.0555556 0.337198 0.0308726
