time error errTLE
0 0 0
0.000694444 0.00418764 0.000385908
0.00138889 0.00838717 0.000771815
0.00208333 0.0125992 0.00115772
0.00277778 0.0168236 0.00154363
0.00347222 0.0210604 0.00192954
0.00416667 0.0253096 0.00231545
0.00486111 0.029571 0.00270135
0.00555556 0.0338454 0.00308726
0.00625 0.0381313 0.00347317
0.00694444 0.0424295 0.00385908
0.00763889 0.0467404 0.00424498
0.00833333 0.0510628 0.00463089
0.00902778 0.0553972 0.0050168
0.00972222 0.0597436 0.00540271
0.0104167 0.064102 0.00578861
0.0111111 0.0684722 0.00617452
0.0118056 0.0728542 0.00656043
0.0125 0.0772481 0.00694634
0.0131944 0.0816536 0.00733224
0.0138889 0.0860707 0.00771815
0.0145833 0.0904995 0.00810406
0.0152778 0.0949397 0.00848997
0.0159722 0.0993915 0.00887587
0.0166667 0.103855 0.00926178
0.0173611 0.10833 0.00964769
0.0180556 0.112815 0.0100336
0.01875 0.117313 0.0104195
0.0194444 0.121821 0.0108054
0.0201389 0.126339 0.0111913
0.0208333 0.130869 0.0115772
0.0215278 0.13541 0.0119631
0.0222222 0.139962 0.012349
0.0229167 0.144524 0.012735
0.0236111 0.149097 0.0131209
0.0243056 0.15368 0.0135068
0.025 0.158274 0.0138927
0.0256944 0.162878 0.0142786
0.0263889 0.167492 0.0146645
0.0270833 0.172117 0.0150504
0.0277778 0.176752 0.0154363
0.0284722 0.181397 0.0158222
0.0291667 0.186052 0.0162081
0.0298611 0.190717 0.016594
0.0305556 0.195391 0.0169799
0.03125 0.200074 0.0173658
0.0319444 0.204768 0.0177517
0.0326389 0.20947 0.0181377
0.0333333 0.214182 0.0185236
0.0340278 0.218903 0.0189095
0.0347222 0.223633 0.0192954
0.0354167 0.228372 0.0196813
0.0361111 0.23312 0.0200672
0.0368056 0.237878 0.0204531
0.0375 0.242643 0.020839
0.0381944 0.247417 0.0212249
0.0388889 0.2522 0.0216108
0.0395833 0.256991 0.0219967
0.0402778 0.26179 0.0223826
0.0409722 0.266597 0.0227685
0.0416667 0.271412 0.0231545
0.0423611 0.276234 0.0235404
0.0430556 0.281065 0.0239263
0.04375 0.285903 0.0243122
0.0444444 0.290748 0.0246981
0.0451389 0.295601 0.025084
0.0458333 0.300461 0.0254699
0.0465278 0.305329 0.0258558
0.0472222 0.310203 0.0262417
0.0479167 0.315084 0.0266276
0.0486111 0.319972 0.0270135
0.0493056 0.324866 0.0273994
0.05 0.329768 0.0277853
0.0506944 0.334675 0.0281713
0.0513889 0.339588 0.0285572
0.0520833 0.344507 0.0289431
0.0527778 0.349432 0.029329
0.0534722 0.354363 0.0297149
0.0541667 0.3593 0.0301008
0.0548611 0.364242 0.0304867
0.0555556 0.369189 0.0308726
0.05625 0.374142 0.0312585
0.0569444 0.379099 0.0316444
0.0576389 0.384062 0.0320303
0.0583333 0.389029 0.0324162
0.0590278 0.394002 0.0328021
0.0597222 0.398979 0.0331881
0.0604167 0.40396 0.033574
0.0611111 0.408945 0.0339599
0.0618056 0.413934 0.0343458
0.0625 0.418927 0.0347317
0.0631944 0.423924 0.0351176
0.0638889 0.428925 0.0355035
0.0645833 0.433928 0.0358894
0.0652778 0.438936 0.0362753
0.0659722 0.443946 0.0366612
0.0666667 0.448959 0.0370471
0.0673611 0.453976 0.037433
0.0680556 0.458995 0.0378189
0.06875 0.464016 0.0382049
0.0694444 0.46904 0.0385908
0.0701389 0.474067 0.0389767
0.0708333 0.479095 0.0393626
0.0715278 0.484125 0.0397485
0.0722222 0.489157 0.0401344
0.0729167 0.49419 0.0405203
0.0736111 0.499225 0.0409062
0.0743056 0.504261 0.0412921
0.075 0.509299 0.041678
0.0756944 0.514337 0.0420639
0.0763889 0.519376 0.0424498
0.0770833 0.524416 0.0428357
0.0777778 0.529456 0.0432216
0.0784722 0.534496 0.0436076
0.0791667 0.539538 0.0439935
0.0798611 0.544578 0.0443794
0.0805556 0.549619 0.0447653
0.08125 0.55466 0.0451512
0.0819444 0.5597 0.0455371
0.0826389 0.564739 0.045923
0.0833333 0.569777 0.0463089
0.0840278 0.574814 0.0466948
0.0847222 0.579851 0.0470807
0.0854167 0.584885 0.0474666
0.0861111 0.589919 0.0478525
0.0868056 0.594951 0.0482384
0.0875 0.599981 0.0486244
0.0881944 0.605009 0.0490103
0.0888889 0.610035 0.0493962
0.0895833 0.615059 0.0497821
0.0902778 0.620081 0.050168
0.0909722 0.625099 0.0505539
0.0916667 0.630115 0.0509398
0.0923611 0.635129 0.0513257
0.0930556 0.640139 0.0517116
0.09375 0.645145 0.0520975
0.0944444 0.650149 0.0524834
0.0951389 0.655148 0.0528693
0.0958333 0.660144 0.0532552
0.0965278 0.665136 0.0536412
0.0972222 0.670124 0.0540271
0.0979167 0.675108 0.054413
0.0986111 0.680088 0.0547989
0.0993056 0.685063 0.0551848
0.1 0.690033 0.0555707
0.100694 0.694998 0.0559566
0.101389 0.699959 0.0563425
0.102083 0.704914 0.0567284
0.102778 0.709864 0.0571143
0.103472 0.714808 0.0575002
0.104167 0.719747 0.0578861
0.104861 0.724679 0.058272
0.105556 0.729606 0.058658
0.10625 0.734527 0.0590439
0.106944 0.739441 0.0594298
0.107639 0.744349 0.0598157
0.108333 0.74925 0.0602016
0.109028 0.754145 0.0605875
0.109722 0.759033 0.0609734
0.110417 0.763914 0.0613593
0.111111 0.768787 0.0617452
0.111806 0.773653 0.0621311
0.1125 0.778512 0.062517
0.113194 0.783363 0.0629029
0.113889 0.788207 0.0632888
0.114583 0.793042 0.0636748
0.115278 0.797869 0.0640607
0.115972 0.802688 0.0644466
0.116667 0.807498 0.0648325
0.117361 0.8123 0.0652184
0.118056 0.817094 0.0656043
0.11875 0.821878 0.0659902
0.119444 0.826654 0.0663761
0.120139 0.831421 0.066762
0.120833 0.836178 0.0671479
0.121528 0.840927 0.0675338
0.122222 0.845665 0.0679197
0.122917 0.850394 0.0683056
0.123611 0.855114 0.0686916
0.124306 0.859823 0.0690775
0.125 0.864523 0.0694634
0.125694 0.869212 0.0698493
0.126389 0.873891 0.0702352
0.127083 0.87856 0.0706211
0.127778 0.883218 0.071007
0.128472 0.887866 0.0713929
0.129167 0.892502 0.0717788
0.129861 0.897129 0.0721647
0.130556 0.901744 0.0725506
0.13125 0.906348 0.0729365
0.131944 0.910941 0.0733224
0.132639 0.915523 0.0737083
0.133333 0.920093 0.0740943
0.134028 0.924652 0.0744802
0.134722 0.929199 0.0748661
0.135417 0.933734 0.075252
0.136111 0.938258 0.0756379
0.136806 0.94277 0.0760238
0.1375 0.947269 0.0764097
0.138194 0.951757 0.0767956
0.138889 0.956232 0.0771815
0.139583 0.960695 0.0775674
0.140278 0.965146 0.0779533
0.140972 0.969585 0.0783392
0.141667 0.974011 0.0787251
0.142361 0.978424 0.0791111
0.143056 0.982825 0.079497
0.14375 0.987213 0.0798829
0.144444 0.991588 0.0802688
0.145139 0.99595 0.0806547
0.145833 1.0003 0.0810406
0.146528 1.00464 0.0814265
0.147222 1.00896 0.0818124
0.147917 1.01327 0.0821983
0.148611 1.01756 0.0825842
0.149306 1.02185 0.0829701
0.15 1.02612 0.083356
0.150694 1.03037 0.0837419
0.151389 1.03462 0.0841279
0.152083 1.03885 0.0845138
0.152778 1.04306 0.0848997
0.153472 1.04727 0.0852856
0.154167 1.05146 0.0856715
0.154861 1.05563 0.0860574
0.155556 1.0598 0.0864433
0.15625 1.06394 0.0868292
0.156944 1.06808 0.0872151
0.157639 1.0722 0.087601
0.158333 1.07631 0.0879869
0.159028 1.0804 0.0883728
0.159722 1.08448 0.0887587
0.160417 1.08855 0.0891447
0.161111 1.0926 0.0895306
0.161806 1.09664 0.0899165
0.1625 1.10066 0.0903024
0.163194 1.10468 0.0906883
0.163889 1.10867 0.0910742
0.164583 1.11266 0.0914601
0.165278 1.11663 0.091846
0.165972 1.12059 0.0922319
0.166667 1.12453 0.0926178
0.167361 1.12846 0.0930037
0.168056 1.13237 0.0933896
0.16875 1.13628 0.0937755
0.169444 1.14017 0.0941615
0.170139 1.14404 0.0945474
0.170833 1.1479 0.0949333
0.171528 1.15175 0.0953192
0.172222 1.15559 0.0957051
0.172917 1.15941 0.096091
0.173611 1.16322 0.0964769
0.174306 1.16702 0.0968628
0.175 1.1708 0.0972487
0.175694 1.17457 0.0976346
0.176389 1.17833 0.0980205
0.177083 1.18208 0.0984064
0.177778 1.18581 0.0987923
0.178472 1.18953 0.0991783
0.179167 1.19324 0.0995642
0.179861 1.19693 0.0999501
0.180556 1.20062 0.100336
0.18125 1.20429 0.100722
0.181944 1.20795 0.101108
0.182639 1.21159 0.101494
0.183333 1.21523 0.10188
0.184028 1.21885 0.102266
0.184722 1.22247 0.102651
0.185417 1.22607 0.103037
0.186111 1.22966 0.103423
0.186806 1.23324 0.103809
0.1875 1.2368 0.104195
0.188194 1.24036 0.104581
0.188889 1.24391 0.104967
0.189583 1.24745 0.105353
0.190278 1.25097 0.105739
0.190972 1.25449 0.106125
0.191667 1.258 0.10651
0.192361 1.26149 0.106896
0.193056 1.26498 0.107282
0.19375 1.26846 0.107668
0.194444 1.27193 0.108054
0.195139 1.27539 0.10844
0.195833 1.27884 0.108826
0.196528 1.28229 0.109212
0.197222 1.28572 0.109598
0.197917 1.28915 0.109984
0.198611 1.29257 0.11037
0.199306 1.29598 0.110755
0.2 1.29939 0.111141
0.200694 1.30278 0.111527
0.201389 1.30618 0.111913
0.202083 1.30956 0.112299
0.202778 1.31294 0.112685
0.203472 1.31631 0.113071
0.204167 1.31968 0.113457
0.204861 1.32304 0.113843
0.205556 1.3264 0.114229
0.20625 1.32975 0.114615
0.206944 1.3331 0.115
0.207639 1.33644 0.115386
0.208333 1.33978 0.115772
0.209028 1.34312 0.116158
0.209722 1.34645 0.116544
0.210417 1.34978 0.11693
0.211111 1.35311 0.117316
0.211806 1.35644 0.117702
0.2125 1.35976 0.118088
0.213194 1.36308 0.118474
0.213889 1.3664 0.11886
0.214583 1.36972 0.119245
0.215278 1.37304 0.119631
0.215972 1.37636 0.120017
0.216667 1.37968 0.120403
0.217361 1.383 0.120789
0.218056 1.38632 0.121175
0.21875 1.38964 0.121561
0.219444 1.39297 0.121947
0.220139 1.39629 0.122333
0.220833 1.39962 0.122719
0.221528 1.40295 0.123105
0.222222 1.40629 0.12349
0.222917 1.40963 0.123876
0.223611 1.41297 0.124262
0.224306 1.41632 0.124648
0.225 1.41967 0.125034
0.225694 1.42303 0.12542
0.226389 1.42639 0.125806
0.227083 1.42976 0.126192
0.227778 1.43314 0.126578
0.228472 1.43652 0.126964
0.229167 1.43991 0.12735
0.229861 1.44331 0.127735
0.230556 1.44672 0.128121
0.23125 1.45013 0.128507
0.231944 1.45356 0.128893
0.232639 1.45699 0.129279
0.233333 1.46044 0.129665
0.234028 1.4639 0.130051
0.234722 1.46736 0.130437
0.235417 1.47084 0.130823
0.236111 1.47434 0.131209
0.236806 1.47784 0.131594
0.2375 1.48136 0.13198
0.238194 1.48489 0.132366
0.238889 1.48844 0.132752
0.239583 1.492 0.133138
0.240278 1.49557 0.133524
0.240972 1.49916 0.13391
0.241667 1.50277 0.134296
0.242361 1.50639 0.134682
0.243056 1.51003 0.135068
0.24375 1.51369 0.135454
0.244444 1.51737 0.135839
0.245139 1.52106 0.136225
0.245833 1.52478 0.136611
0.246528 1.52851 0.136997
0.247222 1.53226 0.137383
0.247917 1.53604 0.137769
0.248611 1.53983 0.138155
0.249306 1.54365 0.138541
0.25 1.54749 0.138927
0.250694 1.55135 0.139313
0.251389 1.55524 0.139699
0.252083 1.55915 0.140084
0.252778 1.56308 0.14047
0.253472 1.56704 0.140856
0.254167 1.57102 0.141242
0.254861 1.57503 0.141628
0.255556 1.57907 0.142014
0.25625 1.58313 0.1424
0.256944 1.58722 0.142786
0.257639 1.59134 0.143172
0.258333 1.59548 0.143558
0.259028 1.59966 0.143944
0.259722 1.60386 0.144329
0.260417 1.60809 0.144715
0.261111 1.61236 0.145101
0.261806 1.61665 0.145487
0.2625 1.62098 0.145873
0.263194 1.62534 0.146259
0.263889 1.62973 0.146645
0.264583 1.63415 0.147031
0.265278 1.63861 0.147417
0.265972 1.6431 0.147803
0.266667 1.64762 0.148189
0.267361 1.65218 0.148574
0.268056 1.65677 0.14896
0.26875 1.6614 0.149346
0.269444 1.66607 0.149732
0.270139 1.67077 0.150118
0.270833 1.67551 0.150504
