time error errTLE
0 0 0
0.000694444 0.00418751 0.000385908
0.00138889 0.00838667 0.000771815
0.00208333 0.012598 0.00115772
0.00277778 0.0168216 0.00154363
0.00347222 0.0210572 0.00192954
0.00416667 0.025305 0.00231545
0.00486111 0.0295648 0.00270135
0.00555556 0.0338373 0.00308726
0.00625 0.0381211 0.00347317
0.00694444 0.0424168 0.00385908
0.00763889 0.0467251 0.00424498
0.00833333 0.0510445 0.00463089
0.00902778 0.0553758 0.0050168
0.00972222 0.0597188 0.00540271
0.0104167 0.0640734 0.00578861
0.0111111 0.0684397 0.00617452
0.0118056 0.0728176 0.00656043
0.0125 0.0772069 0.00694634
0.0131944 0.0816078 0.00733224
0.0138889 0.08602 0.00771815
0.0145833 0.0904435 0.00810406
0.0152778 0.0948783 0.00848997
0.0159722 0.0993243 0.00887587
0.0166667 0.103782 0.00926178
0.0173611 0.10825 0.00964769
0.0180556 0.112729 0.0100336
0.01875 0.11722 0.0104195
0.0194444 0.121721 0.0108054
0.0201389 0.126233 0.0111913
0.0208333 0.130755 0.0115772
0.0215278 0.135288 0.0119631
0.0222222 0.139831 0.012349
0.0229167 0.144385 0.012735
0.0236111 0.14895 0.0131209
0.0243056 0.153524 0.0135068
0.025 0.158109 0.0138927
0.0256944 0.162704 0.0142786
0.0263889 0.167309 0.0146645
0.0270833 0.171924 0.0150504
0.0277778 0.176549 0.0154363
0.0284722 0.181183 0.0158222
0.0291667 0.185828 0.0162081
0.0298611 0.190482 0.016594
0.0305556 0.195145 0.0169799
0.03125 0.199817 0.0173658
0.0319444 0.204499 0.0177517
0.0326389 0.20919 0.0181377
0.0333333 0.21389 0.0185236
0.0340278 0.218598 0.0189095
0.0347222 0.223316 0.0192954
0.0354167 0.228043 0.0196813
0.0361111 0.232778 0.0200672
0.0368056 0.237522 0.0204531
0.0375 0.242274 0.020839
0.0381944 0.247034 0.0212249
0.0388889 0.251803 0.0216108
0.0395833 0.256579 0.0219967
0.0402778 0.261364 0.0223826
0.0409722 0.266156 0.0227685
0.0416667 0.270956 0.0231545
0.0423611 0.275764 0.0235404
0.0430556 0.280579 0.0239263
0.04375 0.285401 0.0243122
0.0444444 0.290231 0.0246981
0.0451389 0.295068 0.025084
0.0458333 0.299912 0.0254699
0.0465278 0.304762 0.0258558
0.0472222 0.30962 0.0262417
0.0479167 0.314484 0.0266276
0.0486111 0.319355 0.0270135
0.0493056 0.324231 0.0273994
0.05 0.329115 0.0277853
0.0506944 0.334004 0.0281713
0.0513889 0.338899 0.0285572
0.0520833 0.3438 0.0289431
0.0527778 0.348706 0.029329
0.0534722 0.353618 0.0297149
