time error errTLE
0 0 0
0.0347222 0.154626 0.0117686
0.0694444 0.571642 0.0235372
0.104167 1.19734 0.0353059
0.138889 1.99505 0.0470745
0.173611 2.98267 0.0588431
0.208333 4.19902 0.0706117
0.243056 5.63208 0.0823803
0.277778 7.18581 0.094149
0.3125 8.71125 0.105918
0.347222 10.0691 0.117686
0.381944 11.1877 0.129455
0.416667 12.0898 0.141223
0.451389 12.8675 0.152992
0.486111 13.6015 0.164761
0.520833 14.2737 0.176529
0.555556 14.7536 0.188298
0.590278 14.8826 0.200067
0.625 14.6059 0.211835
0.659722 14.0861 0.223604
0.694444 13.7399 0.235372
0.729167 14.0942 0.247141
0.763889 15.4152 0.25891
0.798611 17.4768 0.270678
0.833333 19.7671 0.282447
0.868056 21.8044 0.294215
0.902778 23.2991 0.305984
0.9375 24.2094 0.317753
0.972222 24.7367 0.329521
1.00694 25.2384 0.34129
1.04167 26.0359 0.353059
1.07639 27.1924 0.364827
1.11111 28.4418 0.376596
1.14583 29.3411 0.388364
1.18056 29.522 0.400133
1.21528 28.9022 0.411902
1.25 27.8068 0.42367
1.28472 26.9505 0.435439
1.31944 27.1515 0.447208
1.35417 28.7744 0.458976
1.38889 31.4199 0.470745
1.42361 34.2533 0.482513
1.45833 36.5152 0.494282
1.49306 37.8088 0.506051
1.52778 38.1886 0.517819
1.5625 38.1198 0.529588
1.59722 38.2799 0.541356
1.63194 39.1814 0.553125
1.66667 40.8122 0.564894
1.70139 42.6197 0.576662
1.73611 43.8557 0.588431
1.77083 43.9808 0.6002
1.80556 42.9364 0.611968
1.84028 41.2583 0.623737
1.875 39.9821 0.635505
1.90972 40.1827 0.647274
1.94444 42.2323 0.659043
1.97917 45.4879 0.670811
2.01389 48.7944 0.68258
2.04861 51.1654 0.694349
2.08333 52.1546 0.706117
2.11806 51.9591 0.717886
2.15278 51.3322 0.729654
2.1875 51.257 0.741423
2.22222 52.3794 0.753192
2.25694 54.5432 0.76496
2.29167 56.8816 0.776729
2.32639 58.3629 0.788497
2.36111 58.3244 0.800266
2.39583 56.7845 0.812035
2.43056 54.5323 0.823803
2.46528 52.933 0.835572
2.5 53.2718 0.847341
2.53472 55.8469 0.859109
2.56944 59.7203 0.870878
2.60417 63.4256 0.882646
2.63889 65.795 0.894415
2.67361 66.3873 0.906184
2.70833 65.5878 0.917952
2.74306 64.4596 0.929721
2.77778 64.2686 0.94149
2.8125 65.7267 0.953258
2.84722 68.4682 0.965027
2.88194 71.2953 0.976795
2.91667 72.923 0.988564
2.95139 72.6169 0.974586
2.98611 70.5238 0.937861
3.02083 67.7234 0.901137
3.05556 65.9084 0.864412
3.09028 66.5174 0.827688
3.125 69.6967 0.790963
3.15972 74.1766 0.754239
3.19444 78.1972 0.717514
3.22917 80.4562 0.68079
3.26389 80.5694 0.644065
3.29861 79.1533 0.607341
3.33333 77.596 0.570616
3.36806 77.4137 0.533892
3.40278 79.3121 0.497168
3.4375 82.6577 0.460443
3.47222 85.9172 0.423719
3.50694 87.5888 0.386994
3.54167 86.9176 0.374469
3.57639 84.2286 0.375722
3.61111 80.9221 0.376976
3.64583 79.0063 0.378229
3.68056 80.008 0.379483
3.71528 83.8502 0.380736
3.75 88.9083 0.38199
3.78472 93.1539 0.383243
3.81944 95.1973 0.384497
3.85417 94.7611 0.38575
3.88889 92.7319 0.387003
3.92361 90.8298 0.388257
3.95833 90.7797 0.38951
3.99306 93.2084 0.390764
4.02778 97.1666 0.392017
4.0625 100.791 0.393271
4.09722 102.403 0.394524
4.13194 101.278 0.395778
4.16667 97.9658 0.397031
4.20139 94.2099 0.398285
4.23611 92.3112 0.399538
4.27083 93.8159 0.400792
4.30556 98.3605 0.402045
4.34028 103.954 0.403298
4.375 108.33 0.404552
4.40972 110.059 0.405805
4.44444 109.016 0.407059
4.47917 106.392 0.408312
4.51389 104.237 0.409566
4.54861 104.438 0.410819
4.58333 107.47 0.412073
4.61806 112.033 0.413326
4.65278 115.946 0.41458
4.6875 117.398 0.415833
4.72222 115.742 0.417087
4.75694 111.793 0.41834
4.79167 107.656 0.419593
4.82639 105.891 0.420847
4.86111 107.995 0.4221
4.89583 113.263 0.423354
4.93056 119.337 0.424607
4.96528 123.749 0.425861
5 125.07 0.427114
5.03472 123.377 0.428368
5.06944 120.189 0.429621
5.10417 117.88 0.430875
5.13889 118.441 0.432128
5.17361 122.133 0.433382
5.20833 127.277 0.434635
5.24306 131.399 0.435888
5.27778 132.593 0.437142
5.3125 130.34 0.440701
5.34722 125.756 0.444367
5.38194 121.314 0.448033
5.41667 119.797 0.451699
5.45139 122.579 0.455364
5.48611 128.575 0.45903
5.52083 135.068 0.462696
5.55556 139.42 0.466362
5.59028 140.252 0.470027
5.625 137.877 0.473693
5.65972 134.167 0.477359
5.69444 131.803 0.481024
5.72917 132.824 0.48469
5.76389 137.215 0.488356
5.79861 142.906 0.492022
5.83333 147.151 0.495687
5.86806 147.998 0.499353
5.90278 145.093 0.503019
5.9375 139.887 0.506685
5.97222 135.223 0.51035
6.00694 134.059 0.514016
6.04167 137.584 0.517682
6.07639 144.3 0.521348
6.11111 151.143 0.525013
6.14583 155.343 0.528679
6.18056 155.612 0.532345
6.21528 152.536 0.536011
6.25 148.354 0.539676
6.28472 146.034 0.543342
6.31944 147.6 0.547008
6.35417 152.716 0.550674
6.38889 158.909 0.554339
6.42361 163.195 0.558005
6.45833 163.61 0.561671
