time error errTLE
0 0 0
0.0347222 0.0437087 0.0117686
0.0694444 0.0859773 0.0235372
0.104167 0.122179 0.0353059
0.138889 0.150066 0.0470745
0.173611 0.171432 0.0588431
0.208333 0.191745 0.0706117
0.243056 0.216195 0.0823803
0.277778 0.244625 0.094149
0.3125 0.271219 0.105918
0.347222 0.289172 0.117686
0.381944 0.295924 0.129455
0.416667 0.296884 0.141223
0.451389 0.305953 0.152992
0.486111 0.337884 0.164761
0.520833 0.394893 0.176529
0.555556 0.465128 0.188298
0.590278 0.533127 0.200067
0.625 0.587793 0.211835
0.659722 0.625372 0.223604
0.694444 0.649892 0.235372
0.729167 0.671165 0.247141
0.763889 0.69987 0.25891
0.798611 0.740967 0.270678
0.833333 0.790211 0.282447
0.868056 0.837087 0.294215
0.902778 0.87154 0.305984
0.9375 0.890036 0.317753
0.972222 0.898534 0.329521
1.00694 0.910944 0.34129
1.04167 0.942099 0.353059
1.07639 0.997992 0.364827
1.11111 1.07147 0.376596
1.14583 1.14753 0.388364
1.18056 1.21249 0.400133
1.21528 1.26046 0.411902
1.25 1.29494 0.42367
1.28472 1.3259 0.435439
1.31944 1.36373 0.447208
1.35417 1.41277 0.458976
1.38889 1.46875 0.470745
1.42361 1.52191 0.482513
1.45833 1.5632 0.494282
1.49306 1.58987 0.506051
1.52778 1.60788 0.517819
1.5625 1.62965 0.529588
1.59722 1.6674 0.541356
1.63194 1.72557 0.553125
1.66667 1.79777 0.564894
1.70139 1.87106 0.576662
1.73611 1.93377 0.588431
1.77083 1.98175 0.6002
1.80556 2.01999 0.611968
1.84028 2.05905 0.623737
1.875 2.10783 0.635505
1.90972 2.16744 0.647274
1.94444 2.23028 0.659043
1.97917 2.28505 0.670811
2.01389 2.32384 0.68258
2.04861 2.3473 0.694349
2.08333 2.36523 0.706117
2.11806 2.39209 0.717886
2.15278 2.43881 0.729654
2.1875 2.50571 0.741423
2.22222 2.58191 0.753192
2.25694 2.65191 0.76496
2.29167 2.70474 0.776729
2.32639 2.74025 0.788497
2.36111 2.76937 0.800266
2.39583 2.80782 0.812035
2.43056 2.8658 0.823803
2.46528 2.94024 0.835572
2.5 3.01573 0.847341
2.53472 3.07375 0.859109
2.56944 3.10376 0.870878
2.60417 3.11014 0.882646
2.63889 3.1115 0.894415
2.67361 3.13172 0.906184
2.70833 3.18613 0.917952
2.74306 3.27087 0.929721
2.77778 3.36434 0.94149
2.8125 3.43975 0.953258
2.84722 3.48023 0.965027
2.88194 3.48839 0.976795
2.91667 3.48638 0.988564
2.95139 3.50508 0.974586
2.98611 3.56539 0.937861
3.02083 3.66297 0.901137
3.05556 3.76892 0.864412
3.09028 3.84649 0.827688
3.125 3.87161 0.790963
3.15972 3.84653 0.754239
3.19444 3.80186 0.717514
3.22917 3.78394 0.68079
3.26389 3.82917 0.644065
3.29861 3.93894 0.607341
3.33333 4.07654 0.570616
3.36806 4.18914 0.533892
3.40278 4.23673 0.497168
3.4375 4.2122 0.460443
3.47222 4.14716 0.423719
3.50694 4.10057 0.386994
3.54167 4.12791 0.374469
3.57639 4.24355 0.375722
3.61111 4.40733 0.376976
3.64583 4.54911 0.378229
3.68056 4.60847 0.379483
3.71528 4.56411 0.380736
3.75 4.44646 0.38199
3.78472 4.3309 0.383243
3.81944 4.30441 0.384497
3.85417 4.41015 0.38575
3.88889 4.61218 0.387003
3.92361 4.81896 0.388257
3.95833 4.93905 0.38951
3.99306 4.92446 0.390764
4.02778 4.79108 0.392017
4.0625 4.61897 0.393271
4.09722 4.52406 0.394524
4.13194 4.59156 0.395778
4.16667 4.80865 0.397031
4.20139 5.07045 0.398285
4.23611 5.25072 0.399538
4.27083 5.26591 0.400792
4.30556 5.1074 0.402045
4.34028 4.8513 0.403298
4.375 4.64261 0.404552
4.40972 4.62771 0.405805
4.44444 4.84459 0.407059
4.47917 5.18462 0.408312
4.51389 5.47759 0.409566
4.54861 5.58981 0.410819
4.58333 5.47218 0.412073
4.61806 5.17713 0.413326
4.65278 4.85648 0.41458
4.6875 4.71303 0.415833
4.72222 4.86816 0.417087
4.75694 5.24672 0.41834
4.79167 5.64242 0.419593
4.82639 5.86189 0.420847
4.86111 5.80244 0.4221
4.89583 5.47738 0.423354
4.93056 5.02612 0.424607
4.96528 4.69718 0.425861
5 4.72692 0.427114
5.03472 5.12426 0.428368
5.06944 5.65575 0.429621
5.10417 6.05119 0.430875
5.13889 6.13716 0.432128
5.17361 5.87073 0.433382
5.20833 5.35121 0.434635
5.24306 4.82856 0.435888
5.27778 4.64016 0.437142
5.3125 4.95274 0.440701
5.34722 5.56718 0.444367
5.38194 6.13387 0.448033
5.41667 6.39091 0.451699
5.45139 6.22394 0.455364
5.48611 5.67386 0.45903
5.52083 4.95629 0.462696
5.55556 4.4699 0.466362
5.59028 4.59688 0.470027
5.625 5.26725 0.473693
5.65972 6.04753 0.477359
5.69444 6.55865 0.481024
5.72917 6.5986 0.48469
5.76389 6.1362 0.488356
5.79861 5.31993 0.492022
5.83333 4.5219 0.495687
5.86806 4.29643 0.499353
5.90278 4.86962 0.503019
5.9375 5.80593 0.506685
5.97222 6.57665 0.51035
6.00694 6.86697 0.514016
6.04167 6.56117 0.517682
6.07639 5.72646 0.521348
6.11111 4.65326 0.525013
6.14583 3.95105 0.528679
6.18056 4.2619 0.532345
6.21528 5.32315 0.536011
6.25 6.4043 0.539676
6.28472 7.03795 0.543342
6.31944 7.01349 0.547008
6.35417 6.31362 0.550674
6.38889 5.124 0.554339
6.42361 3.94411 0.558005
6.45833 3.69541 0.561671
6.49306 4.68254 0.565337
6.52778 6.02537 0.569002
6.5625 7.02042 0.572668
6.59722 7.33718 0.576334
6.63194 6.86944 0.58
6.66667 5.7012 0.583665
6.70139 4.1674 0.587331
6.73611 3.14521 0.590997
6.77083 3.79278 0.594663
6.80556 5.37625 0.598328
6.84028 6.78816 0.601994
6.875 7.54117 0.60566
