time error errTLE
0 0 0
0.00694444 0.00800092 0.00235372
0.0138889 0.0148778 0.00470745
0.0208333 0.0205943 0.00706117
0.0277778 0.0251648 0.0094149
0.0347222 0.0286811 0.0117686
0.0416667 0.0313401 0.0141223
0.0486111 0.0334931 0.0164761
0.0555556 0.0356979 0.0188298
0.0625 0.0387244 0.0211835
0.0694444 0.0434513 0.0235372
0.0763889 0.0506515 0.025891
0.0833333 0.0608148 0.0282447
0.0902778 0.0741506 0.0305984
0.0972222 0.0907079 0.0329521
0.104167 0.110476 0.0353059
0.111111 0.133433 0.0376596
0.118056 0.15956 0.0400133
0.125 0.188832 0.042367
0.131944 0.221208 0.0447208
0.138889 0.25662 0.0470745
0.145833 0.294961 0.0494282
0.152778 0.336081 0.0517819
0.159722 0.37978 0.0541356
0.166667 0.425804 0.0564894
0.173611 0.473844 0.0588431
0.180556 0.523536 0.0611968
0.1875 0.574463 0.0635505
0.194444 0.626161 0.0659043
0.201389 0.678122 0.068258
0.208333 0.729805 0.0706117
0.215278 0.780637 0.0729654
0.222222 0.830034 0.0753192
0.229167 0.877402 0.0776729
0.236111 0.922153 0.0800266
0.243056 0.963714 0.0823803
0.25 1.00154 0.0847341
0.256944 1.03512 0.0870878
0.263889 1.064 0.0894415
0.270833 1.08779 0.0917952
0.277778 1.10614 0.094149
0.284722 1.11881 0.0965027
0.291667 1.12561 0.0988564
0.298611 1.12646 0.10121
0.305556 1.12136 0.103564
0.3125 1.11039 0.105918
0.319444 1.09373 0.108271
0.326389 1.07164 0.110625
0.333333 1.04448 0.112979
0.340278 1.01264 0.115332
0.347222 0.976645 0.117686
0.354167 0.937034 0.12004
0.361111 0.894421 0.122394
0.368056 0.84946 0.124747
0.375 0.802839 0.127101
0.381944 0.755271 0.129455
0.388889 0.707479 0.131809
0.395833 0.660179 0.134162
0.402778 0.614074 0.136516
0.409722 0.569826 0.13887
0.416667 0.528041 0.141223
0.423611 0.489237 0.143577
0.430556 0.45382 0.145931
0.4375 0.422046 0.148285
0.444444 0.393998 0.150638
0.451389 0.369567 0.152992
0.458333 0.348452 0.155346
0.465278 0.330184 0.157699
0.472222 0.314175 0.160053
0.479167 0.299775 0.162407
0.486111 0.286338 0.164761
0.493056 0.27327 0.167114
0.5 0.260071 0.169468
0.506944 0.246351 0.171822
0.513889 0.231837 0.174176
0.520833 0.216372 0.176529
0.527778 0.199903 0.178883
0.534722 0.182468 0.181237
0.541667 0.16419 0.18359
0.548611 0.145274 0.185944
0.555556 0.126015 0.188298
0.5625 0.10683 0.190652
0.569444 0.0883516 0.193005
0.576389 0.0716305 0.195359
0.583333 0.0585277 0.197713
0.590278 0.0519213 0.200067
0.597222 0.0540327 0.20242
0.604167 0.0636544 0.204774
0.611111 0.077695 0.207128
0.618056 0.0937976 0.209481
0.625 0.110768 0.211835
0.631944 0.128021 0.214189
0.638889 0.145293 0.216543
0.645833 0.162502 0.218896
0.652778 0.179675 0.22125
0.659722 0.196923 0.223604
0.666667 0.214418 0.225957
0.673611 0.232381 0.228311
0.680556 0.251078 0.230665
0.6875 0.270803 0.233019
0.694444 0.291869 0.235372
0.701389 0.314588 0.237726
0.708333 0.339262 0.24008
0.715278 0.366155 0.242434
0.722222 0.395489 0.244787
0.729167 0.427421 0.247141
0.736111 0.462032 0.249495
0.743056 0.499328 0.251848
0.75 0.539227 0.254202
0.756944 0.581564 0.256556
0.763889 0.626095 0.25891
0.770833 0.672495 0.261263
0.777778 0.720371 0.263617
0.784722 0.769267 0.265971
0.791667 0.818676 0.268325
0.798611 0.868041 0.270678
0.805556 0.916779 0.273032
0.8125 0.964281 0.275386
0.819444 1.00993 0.277739
0.826389 1.05312 0.280093
0.833333 1.09324 0.282447
0.840278 1.12973 0.284801
0.847222 1.16205 0.287154
0.854167 1.18974 0.289508
0.861111 1.21237 0.291862
0.868056 1.22961 0.294215
0.875 1.24118 0.296569
0.881944 1.24693 0.298923
0.888889 1.24677 0.301277
0.895833 1.24071 0.30363
0.902778 1.22888 0.305984
0.909722 1.21147 0.308338
0.916667 1.18881 0.310692
0.923611 1.1613 0.313045
0.930556 1.12941 0.315399
0.9375 1.09373 0.317753
0.944444 1.05488 0.320106
0.951389 1.01357 0.32246
0.958333 0.970534 0.324814
0.965278 0.926541 0.327168
0.972222 0.882371 0.329521
0.979167 0.838792 0.331875
0.986111 0.796526 0.334229
0.993056 0.75623 0.336583
1 0.718454 0.338936
1.00694 0.683609 0.34129
1.01389 0.65194 0.343644
1.02083 0.6235 0.345997
1.02778 0.598145 0.348351
1.03472 0.575549 0.350705
1.04167 0.555226 0.353059
1.04861 0.536579 0.355412
1.05556 0.518951 0.357766
1.0625 0.501678 0.36012
1.06944 0.484131 0.362473
1.07639 0.465754 0.364827
1.08333 0.446085 0.367181
1.09028 0.424771 0.369535
1.09722 0.401571 0.371888
1.10417 0.376353 0.374242
1.11111 0.349099 0.376596
1.11806 0.319894 0.37895
1.125 0.288933 0.381303
1.13194 0.256533 0.383657
1.13889 0.223174 0.386011
1.14583 0.18959 0.388364
1.15278 0.156991 0.390718
1.15972 0.12754 0.393072
1.16667 0.105274 0.395426
1.17361 0.0963502 0.397779
1.18056 0.104724 0.400133
1.1875 0.12706 0.402487
1.19444 0.157303 0.404841
1.20139 0.191374 0.407194
1.20833 0.227118 0.409548
1.21528 0.263388 0.411902
1.22222 0.299535 0.414255
1.22917 0.335169 0.416609
1.23611 0.370054 0.418963
1.24306 0.404057 0.421317
1.25 0.437118 0.42367
1.25694 0.469245 0.426024
1.26389 0.500496 0.428378
1.27083 0.530982 0.430731
1.27778 0.560856 0.433085
