time error errTLE
0 0 0
0.00694444 0.00806476 0.00235372
0.0138889 0.015118 0.00470745
0.0208333 0.0210973 0.00706117
0.0277778 0.0259865 0.0094149
0.0347222 0.0298356 0.0117686
0.0416667 0.0327813 0.0141223
0.0486111 0.0350833 0.0164761
0.0555556 0.0371721 0.0188298
0.0625 0.0396799 0.0211835
0.0694444 0.0434137 0.0235372
0.0763889 0.0492206 0.025891
0.0833333 0.0577959 0.0282447
0.0902778 0.0695811 0.0305984
0.0972222 0.0848119 0.0329521
0.104167 0.103624 0.0353059
0.111111 0.126129 0.0376596
0.118056 0.152445 0.0400133
0.125 0.182698 0.042367
0.131944 0.217006 0.0447208
0.138889 0.255467 0.0470745
0.145833 0.298138 0.0494282
0.152778 0.34503 0.0517819
0.159722 0.39609 0.0541356
0.166667 0.451198 0.0564894
0.173611 0.510155 0.0588431
0.180556 0.572684 0.0611968
0.1875 0.638429 0.0635505
0.194444 0.706956 0.0659043
0.201389 0.777759 0.068258
0.208333 0.850259 0.0706117
0.215278 0.923821 0.0729654
0.222222 0.99776 0.0753192
0.229167 1.07135 0.0776729
0.236111 1.14384 0.0800266
0.243056 1.21447 0.0823803
0.25 1.28247 0.0847341
0.256944 1.3471 0.0870878
0.263889 1.40763 0.0894415
0.270833 1.46339 0.0917952
0.277778 1.51374 0.094149
0.284722 1.55814 0.0965027
0.291667 1.5961 0.0988564
0.298611 1.62721 0.10121
0.305556 1.65118 0.103564
0.3125 1.66779 0.105918
0.319444 1.67692 0.108271
0.326389 1.67857 0.110625
0.333333 1.67281 0.112979
0.340278 1.65984 0.115332
0.347222 1.63992 0.117686
0.354167 1.61341 0.12004
0.361111 1.58076 0.122394
0.368056 1.54246 0.124747
0.375 1.49907 0.127101
0.381944 1.45122 0.129455
0.388889 1.39956 0.131809
0.395833 1.34475 0.134162
0.402778 1.28751 0.136516
0.409722 1.22853 0.13887
0.416667 1.16853 0.141223
0.423611 1.10819 0.143577
0.430556 1.04821 0.145931
0.4375 0.989252 0.148285
0.444444 0.93197 0.150638
0.451389 0.876995 0.152992
0.458333 0.824941 0.155346
0.465278 0.7764 0.157699
0.472222 0.731946 0.160053
0.479167 0.69212 0.162407
0.486111 0.657413 0.164761
0.493056 0.628244 0.167114
0.5 0.604925 0.169468
0.506944 0.587615 0.171822
0.513889 0.576295 0.174176
0.520833 0.57074 0.176529
0.527778 0.57053 0.178883
0.534722 0.575083 0.181237
0.541667 0.583698 0.18359
0.548611 0.595611 0.185944
0.555556 0.610048 0.188298
0.5625 0.626267 0.190652
0.569444 0.643578 0.193005
0.576389 0.661366 0.195359
0.583333 0.679097 0.197713
0.590278 0.696319 0.200067
0.597222 0.712671 0.20242
0.604167 0.727878 0.204774
0.611111 0.741772 0.207128
0.618056 0.754203 0.209481
0.625 0.76518 0.211835
0.631944 0.774779 0.214189
0.638889 0.783161 0.216543
0.645833 0.79058 0.218896
0.652778 0.797375 0.22125
0.659722 0.803978 0.223604
0.666667 0.810899 0.225957
0.673611 0.81872 0.228311
0.680556 0.828088 0.230665
0.6875 0.839687 0.233019
0.694444 0.854221 0.235372
0.701389 0.87238 0.237726
0.708333 0.894803 0.24008
0.715278 0.92205 0.242434
0.722222 0.954572 0.244787
0.729167 0.992685 0.247141
0.736111 1.03656 0.249495
0.743056 1.0862 0.251848
0.75 1.14149 0.254202
0.756944 1.20216 0.256556
0.763889 1.26782 0.25891
0.770833 1.33799 0.261263
0.777778 1.41207 0.263617
