time error errTLE
0 0 0
0.0347222 0.0297726 0.0117686
0.0694444 0.0432591 0.0235372
0.104167 0.104294 0.0353059
0.138889 0.257557 0.0470745
0.173611 0.513496 0.0588431
0.208333 0.853742 0.0706117
0.243056 1.21599 0.0823803
0.277778 1.51038 0.094149
0.3125 1.65629 0.105918
0.347222 1.61729 0.117686
0.381944 1.41529 0.129455
0.416667 1.11785 0.141223
0.451389 0.808792 0.152992
0.486111 0.563628 0.164761
0.520833 0.444933 0.176529
0.555556 0.466726 0.188298
0.590278 0.552852 0.200067
0.625 0.632427 0.211835
0.659722 0.691556 0.223604
0.694444 0.771092 0.235372
0.729167 0.942494 0.247141
0.763889 1.24458 0.25891
0.798611 1.64446 0.270678
0.833333 2.05628 0.282447
0.868056 2.37465 0.294215
0.902778 2.512 0.305984
0.9375 2.43213 0.317753
0.972222 2.16344 0.329521
1.00694 1.78565 0.34129
1.04167 1.40083 0.353059
1.07639 1.10821 0.364827
1.11111 0.982718 0.376596
1.14583 1.02624 0.388364
1.18056 1.159 0.400133
1.21528 1.30347 0.411902
1.25 1.43486 0.42367
1.28472 1.58318 0.435439
1.31944 1.80884 0.447208
1.35417 2.15118 0.458976
1.38889 2.58397 0.470745
1.42361 3.01803 0.482513
1.45833 3.33864 0.494282
1.49306 3.45151 0.506051
1.52778 3.31982 0.517819
1.5625 2.97779 0.529588
1.59722 2.51673 0.541356
1.63194 2.05538 0.553125
1.66667 1.71117 0.564894
1.70139 1.56886 0.576662
1.73611 1.62946 0.588431
1.77083 1.80992 0.6002
1.80556 2.02356 0.611968
1.84028 2.23411 0.623737
1.875 2.46038 0.635505
1.90972 2.75196 0.647274
1.94444 3.14213 0.659043
1.97917 3.60483 0.670811
2.01389 4.05059 0.68258
2.04861 4.36145 0.694349
2.08333 4.44034 0.706117
2.11806 4.25129 0.717886
2.15278 3.83421 0.729654
2.1875 3.29105 0.741423
2.22222 2.75524 0.753192
2.25694 2.35962 0.76496
2.29167 2.19783 0.776729
2.32639 2.27254 0.788497
2.36111 2.4984 0.800266
2.39583 2.78051 0.812035
2.43056 3.07121 0.823803
2.46528 3.37738 0.835572
2.5 3.73691 0.847341
2.53472 4.17488 0.859109
2.56944 4.66295 0.870878
2.60417 5.11232 0.882646
2.63889 5.40542 0.894415
2.67361 5.44559 0.906184
