time error errTLE
0 0 0
0.00694444 0.011432 0.00107463
0.0138889 0.0230631 0.00214927
0.0208333 0.0349321 0.0032239
0.0277778 0.0470591 0.00429854
0.0347222 0.0594447 0.00537317
0.0416667 0.072074 0.00644781
0.0486111 0.0849147 0.00752244
0.0555556 0.0979199 0.00859707
0.0625 0.11103 0.00967171
0.0694444 0.124178 0.0107463
0.0763889 0.137287 0.011821
0.0833333 0.150281 0.0128956
0.0902778 0.163084 0.0139702
0.0972222 0.17562 0.0150449
0.104167 0.187824 0.0161195
0.111111 0.199641 0.0171941
0.118056 0.21103 0.0182688
0.125 0.221964 0.0193434
0.131944 0.23244 0.020418
0.138889 0.242471 0.0214927
0.145833 0.2521 0.0225673
0.152778 0.26139 0.023642
0.159722 0.270426 0.0247166
0.166667 0.279316 0.0257912
0.173611 0.288188 0.0268659
0.180556 0.29718 0.0279405
0.1875 0.306439 0.0290151
0.194444 0.316109 0.0300898
0.201389 0.326326 0.0311644
0.208333 0.337207 0.032239
0.215278 0.348846 0.0333137
0.222222 0.361298 0.0343883
0.229167 0.374586 0.0354629
0.236111 0.388694 0.0365376
0.243056 0.403568 0.0376122
0.25 0.419115 0.0386868
0.256944 0.435215 0.0397615
0.263889 0.45172 0.0408361
0.270833 0.468464 0.0419107
0.277778 0.485268 0.0429854
0.284722 0.501945 0.04406
0.291667 0.518311 0.0451346
0.298611 0.534185 0.0462093
0.305556 0.549401 0.0472839
0.3125 0.563805 0.0483585
0.319444 0.577267 0.0494332
0.326389 0.589679 0.0505078
0.333333 0.600963 0.0515824
0.340278 0.611071 0.0526571
0.347222 0.619986 0.0537317
0.354167 0.627731 0.0548063
0.361111 0.634363 0.055881
0.368056 0.639977 0.0569556
0.375 0.644708 0.0580302
0.381944 0.648727 0.0591049
0.388889 0.652239 0.0601795
0.395833 0.655482 0.0612541
0.402778 0.65872 0.0623288
0.409722 0.66223 0.0634034
0.416667 0.666302 0.0644781
0.423611 0.671217 0.0655527
0.430556 0.677239 0.0666273
0.4375 0.684601 0.067702
0.444444 0.693485 0.0687766
0.451389 0.704051 0.0698512
0.458333 0.71629 0.0709259
0.465278 0.73022 0.0720005
0.472222 0.745754 0.0730751
0.479167 0.762735 0.0741498
0.486111 0.78095 0.0752244
0.493056 0.800131 0.076299
0.5 0.819975 0.0773737
0.506944 0.840156 0.0784483
0.513889 0.86033 0.0795229
0.520833 0.880159 0.0805976
0.527778 0.89931 0.0816722
0.534722 0.917469 0.0827468
0.541667 0.934352 0.0838215
0.548611 0.949709 0.0848961
0.555556 0.963329 0.0859707
0.5625 0.97505 0.0870454
0.569444 0.984762 0.08812
0.576389 0.99241 0.0891946
0.583333 0.998 0.0902693
0.590278 1.0016 0.0913439
0.597222 1.00335 0.0924185
0.604167 1.00345 0.0934932
0.611111 1.00218 0.0945678
0.618056 0.999861 0.0956424
0.625 0.996901 0.0967171
0.631944 0.99375 0.0977917
