time error errTLE
0 0 0
0.00694444 0.0112788 0.00107463
0.0138889 0.0224848 0.00214927
0.0208333 0.0337243 0.0032239
0.0277778 0.0450993 0.00429854
0.0347222 0.0566986 0.00537317
0.0416667 0.068592 0.00644781
0.0486111 0.0808198 0.00752244
0.0555556 0.0933879 0.00859707
0.0625 0.106264 0.00967171
0.0694444 0.119378 0.0107463
0.0763889 0.132618 0.011821
0.0833333 0.145843 0.0128956
0.0902778 0.158878 0.0139702
0.0972222 0.171526 0.0150449
0.104167 0.18358 0.0161195
0.111111 0.194826 0.0171941
0.118056 0.205065 0.0182688
0.125 0.214119 0.0193434
0.131944 0.221853 0.020418
0.138889 0.228187 0.0214927
0.145833 0.233122 0.0225673
0.152778 0.236757 0.023642
0.159722 0.239304 0.0247166
0.166667 0.241114 0.0257912
0.173611 0.242681 0.0268659
0.180556 0.244638 0.0279405
0.1875 0.247721 0.0290151
0.194444 0.252712 0.0300898
0.201389 0.260336 0.0311644
0.208333 0.271157 0.032239
0.215278 0.285486 0.0333137
0.222222 0.303338 0.0343883
0.229167 0.324453 0.0354629
0.236111 0.348354 0.0365376
0.243056 0.374417 0.0376122
0.25 0.40195 0.0386868
0.256944 0.430234 0.0397615
0.263889 0.45857 0.0408361
0.270833 0.486293 0.0419107
0.277778 0.512795 0.0429854
0.284722 0.537535 0.04406
0.291667 0.560041 0.0451346
0.298611 0.579921 0.0462093
0.305556 0.596861 0.0472839
0.3125 0.610633 0.0483585
0.319444 0.621092 0.0494332
0.326389 0.628177 0.0505078
0.333333 0.631908 0.0515824
0.340278 0.632384 0.0526571
0.347222 0.629779 0.0537317
0.354167 0.624329 0.0548063
0.361111 0.616332 0.055881
0.368056 0.606134 0.0569556
0.375 0.594116 0.0580302
0.381944 0.580689 0.0591049
0.388889 0.566275 0.0601795
0.395833 0.551293 0.0612541
0.402778 0.536152 0.0623288
0.409722 0.521233 0.0634034
0.416667 0.506871 0.0644781
0.423611 0.493352 0.0655527
0.430556 0.480898 0.0666273
