time error errTLE
0 0 0
0.00694444 0.0113014 0.00107463
0.0138889 0.0225755 0.00214927
0.0208333 0.0339258 0.0032239
0.0277778 0.0454478 0.00429854
0.0347222 0.0572196 0.00537317
0.0416667 0.069298 0.00644781
0.0486111 0.0817084 0.00752244
0.0555556 0.0944411 0.00859707
0.0625 0.107449 0.00967171
0.0694444 0.120646 0.0107463
0.0763889 0.133911 0.011821
0.0833333 0.147091 0.0128956
0.0902778 0.160009 0.0139702
0.0972222 0.172462 0.0150449
0.104167 0.184245 0.0161195
0.111111 0.19515 0.0171941
0.118056 0.204983 0.0182688
0.125 0.213576 0.0193434
0.131944 0.220805 0.020418
0.138889 0.226602 0.0214927
0.145833 0.230979 0.0225673
0.152778 0.234039 0.023642
0.159722 0.235998 0.0247166
0.166667 0.2372 0.0257912
0.173611 0.238123 0.0268659
0.180556 0.239371 0.0279405
0.1875 0.241643 0.0290151
0.194444 0.245671 0.0300898
0.201389 0.252132 0.0311644
0.208333 0.261547 0.032239
0.215278 0.274193 0.0333137
0.222222 0.290069 0.0343883
0.229167 0.30891 0.0354629
0.236111 0.330239 0.0365376
0.243056 0.353427 0.0376122
0.25 0.377804 0.0386868
0.256944 0.402687 0.0397615
0.263889 0.427413 0.0408361
0.270833 0.451367 0.0419107
0.277778 0.47399 0.0429854
0.284722 0.494797 0.04406
0.291667 0.513376 0.0451346
0.298611 0.529395 0.0462093
0.305556 0.542602 0.0472839
0.3125 0.552832 0.0483585
0.319444 0.559997 0.0494332
0.326389 0.564094 0.0505078
0.333333 0.56519 0.0515824
0.340278 0.563428 0.0526571
0.347222 0.559018 0.0537317
0.354167 0.552225 0.0548063
0.361111 0.543362 0.055881
0.368056 0.532783 0.0569556
0.375 0.520869 0.0580302
0.381944 0.508015 0.0591049
0.388889 0.494622 0.0601795
0.395833 0.481077 0.0612541
0.402778 0.467745 0.0623288
0.409722 0.454957 0.0634034
0.416667 0.442995 0.0644781
0.423611 0.432079 0.0655527
0.430556 0.422366 0.0666273
0.4375 0.413938 0.067702
0.444444 0.406805 0.0687766
0.451389 0.400875 0.0698512
