time error errTLE
0 0 0
0.00694444 0.0294452 0.00102703
0.0138889 0.127619 0.00205406
0.0208333 0.254318 0.00308108
0.0277778 0.366249 0.00410811
0.0347222 0.447794 0.00513514
0.0416667 0.465958 0.00616217
0.0486111 0.435763 0.0071892
0.0555556 0.367967 0.00821622
0.0625 0.298892 0.00924325
0.0694444 0.273637 0.0102703
0.0763889 0.342605 0.0112973
0.0833333 0.541959 0.0123243
0.0902778 0.752238 0.0133514
0.0972222 0.884074 0.0143784
0.104167 0.899907 0.0154054
0.111111 0.820714 0.0164324
0.118056 0.70734 0.0174595
0.125 0.609433 0.0184865
0.131944 0.548144 0.0195135
0.138889 0.555435 0.0205406
0.145833 0.739887 0.0215676
0.152778 1.0479 0.0225946
0.159722 1.28966 0.0236216
0.166667 1.36703 0.0246487
0.173611 1.265 0.0256757
0.180556 1.08686 0.0267027
0.1875 0.932624 0.0277298
0.194444 0.83824 0.0287568
0.201389 0.790538 0.0297838
0.208333 0.887088 0.0308108
0.215278 1.22913 0.0318379
0.222222 1.60759 0.0328649
0.229167 1.81053 0.0338919
0.236111 1.7613 0.0349189
0.243056 1.53139 0.035946
0.25 1.28812 0.036973
0.256944 1.14024 0.038
0.263889 1.05615 0.0390271
0.270833 1.0487 0.0400561
0.277778 1.31629 0.0411803
0.284722 1.79922 0.0423044
0.291667 2.17661 0.0434286
0.298611 2.26225 0.0445527
0.305556 2.04386 0.0456769
0.3125 1.70938 0.046801
0.319444 1.46223 0.0479252
0.326389 1.3401 0.0490493
0.333333 1.26419 0.0501735
0.340278 1.37766 0.0512977
0.347222 1.86039 0.0524218
0.354167 2.4141 0.053546
0.361111 2.70072 0.0546701
0.368056 2.59719 0.0557943
0.375 2.21698 0.0569184
0.381944 1.83661 0.0580426
0.388889 1.6348 0.0591667
0.395833 1.52582 0.0602909
0.402778 1.49324 0.061415
0.409722 1.83424 0.0625392
0.416667 2.49499 0.0636634
0.423611 3.01904 0.0647875
0.430556 3.12577 0.0659117
0.4375 2.79808 0.0670358
0.444444 2.30383 0.06816
0.451389 1.95726 0.0692841
0.458333 1.8058 0.0704083
0.465278 1.69662 0.0715324
0.472222 1.81322 0.0726566
0.479167 2.43227 0.0737807
0.486111 3.16896 0.0749049
0.493056 3.55217 0.0760291
0.5 3.40554 0.0771532
0.506944 2.87754 0.0782774
0.513889 2.35387 0.0794015
0.520833 2.09414 0.0805257
0.527778 1.95911 0.0816498
0.534722 1.89074 0.082774
0.541667 2.29286 0.0838981
0.548611 3.13355 0.0850223
0.555556 3.81537 0.0861465
0.5625 3.95629 0.0872706
0.569444 3.52735 0.0883948
0.576389 2.87118 0.0895189
0.583333 2.41874 0.0906431
0.590278 2.23688 0.0917672
0.597222 2.09013 0.0928914
0.604167 2.19461 0.0940155
0.611111 2.94386 0.0951397
0.618056 3.87092 0.0962638
0.625 4.36372 0.097388
0.631944 4.18574 0.0985122
0.638889 3.5136 0.0996363
0.645833 2.84101 0.10076
0.652778 2.51943 0.101885
0.659722 2.3581 0.103009
0.666667 2.24335 0.104133
0.673611 2.6921 0.105257
0.680556 3.71392 0.106381
0.6875 4.56446 0.107505
0.694444 4.75293 0.10863
0.701389 4.23167 0.109754
0.708333 3.41239 0.110878
0.715278 2.84772 0.112002
0.722222 2.63492 0.113126
0.729167 2.4473 0.11425
0.736111 2.5231 0.115374
0.743056 3.39463 0.116499
0.75 4.51895 0.117623
0.756944 5.13435 0.118747
0.763889 4.93731 0.119871
0.770833 4.12568 0.120995
0.777778 3.2991 0.122119
0.784722 2.91184 0.123244
0.791667 2.72501 0.124368
0.798611 2.55364 0.125492
0.805556 3.03227 0.126616
0.8125 4.2353 0.12774
0.819444 5.26525 0.128864
0.826389 5.51489 0.129988
0.833333 4.91103 0.131113
0.840278 3.92835 0.132237
0.847222 3.24525 0.133361
0.854167 3.00157 0.134485
0.861111 2.77101 0.135609
0.868056 2.8004 0.136733
0.875 3.78421 0.137858
0.881944 5.11207 0.138982
0.888889 5.86305 0.140106
0.895833 5.65973 0.14123
0.902778 4.71425 0.142354
0.909722 3.72914 0.143478
0.916667 3.27258 0.144603
0.923611 3.06222 0.145727
0.930556 2.82466 0.146851
0.9375 3.3139 0.147975
0.944444 4.69698 0.149099
0.951389 5.91667 0.150223
0.958333 6.24131 0.151347
0.965278 5.56536 0.152472
0.972222 4.41987 0.153596
0.979167 3.61235 0.15472
0.986111 3.33852 0.155844
0.993056 3.0645 0.156968
1 3.02869 0.158092
1.00694 4.1124 0.159217
1.01389 5.64937 0.160341
1.02083 6.54878 0.161465
1.02778 6.35245 0.162589
1.03472 5.27968 0.163713
1.04167 4.13213 0.164837
1.04861 3.60283 0.165961
1.05556 3.37227 0.167086
1.0625 3.06001 0.16821
1.06944 3.53781 0.169334
1.07639 5.09834 0.170458
1.08333 6.51771 0.171582
1.09028 6.93131 0.172706
1.09722 6.19447 0.173831
1.10417 4.88771 0.174955
1.11111 3.95001 0.176079
1.11806 3.64752 0.177203
1.125 3.33131 0.178327
1.13194 3.21071 0.179451
1.13889 4.37913 0.180575
1.14583 6.13 0.1817
1.15278 7.1905 0.182824
1.15972 7.01482 0.183948
1.16667 5.82223 0.185072
1.17361 4.50901 0.186196
1.18056 3.9038 0.18732
1.1875 3.65785 0.188445
1.19444 3.26394 0.189569
1.20139 3.70516 0.190693
1.20833 5.43886 0.191817
1.21528 7.06734 0.192941
1.22222 7.58393 0.194065
1.22917 6.79808 0.195189
1.23611 5.33253 0.196314
1.24306 4.25923 0.197438
1.25 3.93037 0.198562
1.25694 3.5754 0.199686
1.26389 3.34997 0.201953
1.27083 4.5845 0.205892
