time error errTLE
0 0 0
0.00694444 0.0294451 0.00102703
0.0138889 0.127623 0.00205406
0.0208333 0.254343 0.00308108
0.0277778 0.366329 0.00410811
0.0347222 0.447972 0.00513514
0.0416667 0.466277 0.00616217
0.0486111 0.436265 0.0071892
0.0555556 0.36874 0.00821622
0.0625 0.300071 0.00924325
0.0694444 0.275629 0.0102703
0.0763889 0.345843 0.0112973
0.0833333 0.545914 0.0123243
0.0902778 0.756825 0.0133514
0.0972222 0.889324 0.0143784
0.104167 0.905769 0.0154054
0.111111 0.827026 0.0164324
0.118056 0.713857 0.0174595
0.125 0.615994 0.0184865
0.131944 0.555467 0.0195135
0.138889 0.565715 0.0205406
0.145833 0.752557 0.0215676
0.152778 1.06164 0.0225946
0.159722 1.30456 0.0236216
0.166667 1.3832 0.0246487
0.173611 1.28233 0.0256757
0.180556 1.1047 0.0267027
0.1875 0.949798 0.0277298
0.194444 0.854752 0.0287568
0.201389 0.810211 0.0297838
0.208333 0.912639 0.0308108
0.215278 1.25702 0.0318379
0.222222 1.63675 0.0328649
0.229167 1.84145 0.0338919
0.236111 1.79428 0.0349189
0.243056 1.56593 0.035946
0.25 1.32213 0.036973
0.256944 1.1714 0.038
0.263889 1.08769 0.0390271
0.270833 1.08889 0.0400561
0.277778 1.36323 0.0411803
0.284722 1.84768 0.0423044
0.291667 2.22679 0.0434286
0.298611 2.31513 0.0445527
0.305556 2.0997 0.0456769
0.3125 1.76627 0.046801
0.319444 1.51522 0.0479252
0.326389 1.38846 0.0490493
0.333333 1.31895 0.0501735
0.340278 1.44642 0.0512977
0.347222 1.93361 0.0524218
0.354167 2.48844 0.053546
0.361111 2.77773 0.0546701
0.368056 2.67826 0.0557943
0.375 2.30149 0.0569184
0.381944 1.91901 0.0580426
0.388889 1.70805 0.0591667
0.395833 1.59736 0.0602909
0.402778 1.58212 0.061415
0.409722 1.9369 0.0625392
0.416667 2.59909 0.0636634
0.423611 3.12484 0.0647875
0.430556 3.23588 0.0659117
0.4375 2.91373 0.0670358
0.444444 2.42142 0.06816
0.451389 2.06534 0.0692841
0.458333 1.90167 0.0704083
0.465278 1.80259 0.0715324
0.472222 1.94555 0.0726566
0.479167 2.57212 0.0737807
0.486111 3.30895 0.0749049
0.493056 3.69552 0.0760291
0.5 3.55545 0.0771532
0.506944 3.0336 0.0782774
0.513889 2.50555 0.0794015
0.520833 2.22648 0.0805257
0.527778 2.08519 0.0816498
0.534722 2.04597 0.082774
0.541667 2.47246 0.0838981
0.548611 3.31408 0.0850223
0.555556 3.99696 0.0861465
0.5625 4.14393 0.0872706
0.569444 3.72389 0.0883948
0.576389 3.07105 0.0895189
0.583333 2.60104 0.0906431
0.590278 2.395 0.0917672
0.597222 2.26197 0.0928914
0.604167 2.41018 0.0940155
0.611111 3.17148 0.0951397
0.618056 4.09686 0.0962638
0.625 4.59345 0.097388
0.631944 4.42503 0.0985122
0.638889 3.76259 0.0996363
0.645833 3.08283 0.10076
0.652778 2.7274 0.101885
0.659722 2.55189 0.103009
0.666667 2.48122 0.104133
0.673611 2.96956 0.105257
0.680556 3.99152 0.106381
0.6875 4.84182 0.107505
0.694444 5.03822 0.10863
0.701389 4.52998 0.109754
0.708333 3.71601 0.110878
0.715278 3.12325 0.112002
0.722222 2.86908 0.113126
0.729167 2.69794 0.11425
0.736111 2.84072 0.115374
0.743056 3.73102 0.116499
0.75 4.85097 0.117623
0.756944 5.47031 0.118747
0.763889 5.2863 0.119871
0.770833 4.48885 0.120995
0.777778 3.65189 0.122119
0.784722 3.21153 0.123244
0.791667 2.99813 0.124368
0.798611 2.88875 0.125492
0.805556 3.42811 0.126616
0.8125 4.63046 0.12774
0.819444 5.65816 0.128864
0.826389 5.91773 0.129988
0.833333 5.33177 0.131113
0.840278 4.35708 0.132237
