time error errTLE
0 0 0
0.00694444 0.0298799 0.000768757
0.0138889 0.0881479 0.00153751
0.0208333 0.196586 0.00230627
0.0277778 0.403395 0.00307503
0.0347222 0.678602 0.00384378
0.0416667 0.965959 0.00461254
0.0486111 1.20285 0.0053813
0.0555556 1.32618 0.00615005
0.0625 1.31365 0.00691881
0.0694444 1.22282 0.00768757
0.0763889 1.09894 0.00845632
0.0833333 1.03621 0.00922508
0.0902778 1.12593 0.00999384
0.0972222 1.39934 0.0107626
0.104167 1.79486 0.0115314
0.111111 2.21076 0.0123001
0.118056 2.5391 0.0130689
0.125 2.68866 0.0138376
0.131944 2.63255 0.0146064
0.138889 2.44465 0.0153751
0.145833 2.20618 0.0161439
0.152778 2.05278 0.0169126
0.159722 2.11199 0.0176814
0.166667 2.43037 0.0184502
0.173611 2.92872 0.0192189
0.180556 3.46194 0.0199877
0.1875 3.87626 0.0207564
0.194444 4.05044 0.0215252
0.201389 3.95029 0.0222939
0.208333 3.6655 0.0230627
0.215278 3.31253 0.0238315
0.222222 3.06917 0.0246002
0.229167 3.09917 0.025369
0.236111 3.46289 0.0261377
0.243056 4.06293 0.0269065
0.25 4.71208 0.0276752
0.256944 5.21172 0.028444
0.263889 5.41064 0.0292128
0.270833 5.26676 0.0299815
0.277778 4.88537 0.0307503
0.284722 4.41791 0.031519
0.291667 4.08449 0.0322878
0.298611 4.08519 0.0330565
0.305556 4.49402 0.0338253
0.3125 5.19528 0.0345941
0.319444 5.96 0.0353628
0.326389 6.54501 0.0361316
0.333333 6.7691 0.0369003
0.340278 6.58194 0.0376691
0.347222 6.10426 0.0384378
0.354167 5.5223 0.0397899
0.361111 5.09854 0.0411708
0.368056 5.06955 0.0425516
0.375 5.52305 0.0439324
0.381944 6.32514 0.0453132
0.388889 7.20532 0.046694
0.395833 7.87597 0.0480749
0.402778 8.12575 0.0494557
0.409722 7.89581 0.0508365
0.416667 7.32216 0.0522173
0.423611 6.62569 0.0535981
0.430556 6.11127 0.054979
0.4375 6.05207 0.0563598
0.444444 6.54971 0.0577406
0.451389 7.45227 0.0591214
0.458333 8.4479 0.0605022
0.465278 9.20453 0.061883
0.472222 9.48055 0.0632639
0.479167 9.20838 0.0646447
0.486111 8.53907 0.0660255
0.493056 7.72809 0.0664494
0.5 7.12266 0.066806
0.506944 7.03269 0.0671626
0.513889 7.57387 0.0675193
0.520833 8.57656 0.0678759
0.527778 9.68766 0.0682325
0.534722 10.5307 0.0685892
0.541667 10.8335 0.0689458
0.548611 10.5196 0.0693024
0.555556 9.755 0.069659
0.5625 8.82948 0.0700157
0.569444 8.1327 0.0703723
