time error errTLE
0 0 0
0.00694444 0.02988 0.000768757
0.0138889 0.0881482 0.00153751
0.0208333 0.196587 0.00230627
0.0277778 0.403398 0.00307503
0.0347222 0.678608 0.00384378
0.0416667 0.965971 0.00461254
0.0486111 1.20288 0.0053813
0.0555556 1.32623 0.00615005
0.0625 1.31373 0.00691881
0.0694444 1.22295 0.00768757
0.0763889 1.09914 0.00845632
0.0833333 1.03646 0.00922508
0.0902778 1.12623 0.00999384
0.0972222 1.39967 0.0107626
0.104167 1.7952 0.0115314
0.111111 2.21111 0.0123001
0.118056 2.53948 0.0130689
0.125 2.68909 0.0138376
0.131944 2.63306 0.0146064
0.138889 2.44526 0.0153751
0.145833 2.20691 0.0161439
0.152778 2.05363 0.0169126
0.159722 2.11292 0.0176814
0.166667 2.43135 0.0184502
0.173611 2.92973 0.0192189
0.180556 3.46297 0.0199877
0.1875 3.87733 0.0207564
0.194444 4.05159 0.0215252
0.201389 3.95156 0.0222939
0.208333 3.66692 0.0230627
0.215278 3.31413 0.0238315
0.222222 3.07094 0.0246002
0.229167 3.10108 0.025369
0.236111 3.46487 0.0261377
0.243056 4.06495 0.0269065
0.25 4.71413 0.0276752
0.256944 5.21383 0.028444
0.263889 5.41285 0.0292128
0.270833 5.26912 0.0299815
0.277778 4.88794 0.0307503
0.284722 4.42071 0.031519
0.291667 4.08752 0.0322878
0.298611 4.08841 0.0330565
0.305556 4.49734 0.0338253
0.3125 5.19864 0.0345941
0.319444 5.96341 0.0353628
0.326389 6.54848 0.0361316
0.333333 6.7727 0.0369003
0.340278 6.58573 0.0376691
0.347222 6.1083 0.0384378
0.354167 5.52664 0.0397899
0.361111 5.10317 0.0411708
0.368056 5.07442 0.0425516
0.375 5.52804 0.0439324
0.381944 6.33019 0.0453132
0.388889 7.21042 0.046694
0.395833 7.88115 0.0480749
0.402778 8.13108 0.0494557
0.409722 7.90137 0.0508365
0.416667 7.32802 0.0522173
0.423611 6.6319 0.0535981
0.430556 6.11784 0.054979
0.4375 6.05892 0.0563598
0.444444 6.55671 0.0577406
0.451389 7.45934 0.0591214
0.458333 8.45503 0.0605022
0.465278 9.21176 0.061883
0.472222 9.48796 0.0632639
0.479167 9.21605 0.0646447
0.486111 8.54709 0.0660255
0.493056 7.73651 0.0664494
0.5 7.1315 0.066806
0.506944 7.04186 0.0671626
0.513889 7.58323 0.0675193
0.520833 8.58599 0.0678759
0.527778 9.69715 0.0682325
0.534722 10.5403 0.0685892
0.541667 10.8433 0.0689458
0.548611 10.5298 0.0693024
0.555556 9.7655 0.069659
0.5625 8.84045 0.0700157
0.569444 8.14415 0.0703723
0.576389 8.02319 0.0707289
0.583333 8.60754 0.0710856
0.590278 9.71006 0.0714422
0.597222 10.9368 0.0717988
0.604167 11.8667 0.0721554
0.611111 12.1971 0.0725121
0.618056 11.8425 0.0728687
0.625 10.9833 0.0732253
0.631944 9.94373 0.073582
0.638889 9.15577 0.0739386
0.645833 9.00289 0.0742952
0.652778 9.6296 0.0746518
0.659722 10.8315 0.0750085
0.666667 12.1738 0.0753651
0.673611 13.1909 0.0757217
0.680556 13.5494 0.0760784
0.6875 13.1542 0.076435
0.694444 12.2004 0.0767916
0.701389 11.0463 0.0771482
0.708333 10.1664 0.0775049
0.715278 9.98097 0.0778615
0.722222 10.6494 0.0782181
0.729167 11.9504 0.0785748
0.736111 13.4083 0.0789314
0.743056 14.513 0.079288
0.75 14.9002 0.0796446
0.756944 14.465 0.0800013
0.763889 13.4168 0.0803579
0.770833 12.1483 0.0807145
0.777778 11.1759 0.0810711
0.784722 10.9574 0.0814278
0.791667 11.6669 0.0817844
0.798611 13.0666 0.082141
0.805556 14.6402 0.0824977
0.8125 15.833 0.0828543
0.819444 16.2494 0.0832109
0.826389 15.7747 0.0835675
0.833333 14.6326 0.0839242
0.840278 13.2495 0.0842808
0.847222 12.1845 0.0846374
0.854167 11.9322 0.0849941
0.861111 12.6822 0.0853507
0.868056 14.1802 0.0857073
0.875 15.8695 0.0860639
0.881944 17.1508 0.0864206
0.888889 17.597 0.0867772
0.895833 17.0835 0.0871338
0.902778 15.8477 0.0874905
0.909722 14.3502 0.0878471
0.916667 13.192 0.0882037
0.923611 12.9054 0.0885603
0.930556 13.6951 0.088917
0.9375 15.2911 0.0892736
0.944444 17.0963 0.0896302
0.951389 18.4665 0.0899869
0.958333 18.9431 0.0903435
0.965278 18.3913 0.0907001
0.972222 17.0622 0.0910567
0.979167 15.4501 0.0914134
0.986111 14.1985 0.09177
0.993056 13.8769 0.0921266
1 14.7058 0.0924833
1.00694 16.3994 0.0928399
1.01389 18.3204 0.0931965
1.02083 19.78 0.0935531
1.02778 20.2876 0.0939098
1.03472 19.6981 0.0942664
1.04167 18.276 0.094623
1.04861 16.5494 0.0986941
1.05556 15.204 0.103373
1.0625 14.8468 0.108052
1.06944 15.7143 0.112731
1.07639 17.505 0.117411
1.08333 19.5419 0.12209
1.09028 21.0913 0.126769
1.09722 21.6306 0.131448
1.10417 21.0038 0.136127
1.11111 19.4891 0.140806
1.11806 17.648 0.142362
1.125 16.2085 0.143366
1.13194 15.815 0.144371
1.13889 16.7204 0.145375
1.14583 18.6079 0.146379
1.15278 20.7608 0.147384
1.15972 22.4004 0.148388
1.16667 22.9719 0.149392
1.17361 22.3086 0.150396
1.18056 20.7016 0.151401
1.1875 18.746 0.152405
1.19444 17.2119 0.153409
1.20139 16.7817 0.154414
