time error errTLE
0 0 0
0.00694444 2.2417 0.042455
0.0138889 6.14183 0.08491
0.0208333 7.86425 0.127365
0.0277778 10.6774 0.16982
0.0347222 20.7558 0.212275
0.0416667 32.2363 0.25473
0.0486111 38.599 0.297185
0.0555556 38.4552 0.33964
0.0625 37.6777 0.382095
0.0694444 43.2081 0.42455
0.0763889 50.0364 0.467005
0.0833333 49.8835 0.50946
0.0902778 46.3779 0.551915
0.0972222 55.2733 0.59437
0.104167 73.886 0.636825
0.111111 84.8345 0.67928
0.118056 81.6908 0.721735
0.125 75.0651 0.76419
0.131944 82.0237 0.806645
0.138889 95.5305 0.8491
0.145833 97.2683 0.891555
0.152778 87.0767 0.93401
0.159722 88.6793 0.976465
0.166667 111.971 1.01892
0.173611 130.846 1.06137
0.180556 128.386 1.10383
0.1875 114.515 1.14628
0.194444 117.679 1.18874
0.201389 137.93 1.23119
0.208333 145.983 1.27365
0.215278 132.375 1.3161
0.222222 122.967 1.35856
0.229167 145.837 1.40101
0.236111 174.503 1.44347
0.243056 177.431 1.48592
0.25 157.808 1.52838
0.256944 151.926 1.57083
0.263889 176.071 1.61289
0.270833 193.903 1.65323
0.277778 181.749 1.69357
0.284722 160.777 1.7339
0.291667 176.309 1.77424
0.298611 214.083 1.81457
0.305556 227.025 1.85491
0.3125 205.609 1.89524
0.319444 187.35 1.93558
0.326389 209.773 1.97592
0.333333 238.958 2.01625
0.340278 233.742 2.05659
0.347222 203.997 2.09692
0.354167 205.514 2.13726
0.361111 248.51 2.17759
0.368056 275.02 2.21793
0.375 257.356 2.25827
0.381944 226.63 2.2986
0.388889 240.044 2.33894
0.395833 279.421 2.37927
0.402778 286.263 2.41961
0.409722 253.143 2.45994
0.416667 236.55 2.50028
0.423611 277.682 2.54061
0.430556 319.262 2.58095
0.4375 311.461 2.62129
0.444444 271.663 2.66162
0.451389 269.146 2.70196
0.458333 314.24 2.74229
0.465278 336.925 2.76368
0.472222 307.321 2.78491
0.479167 272.667 2.80614
0.486111 302.758 2.82738
0.493056 357.946 2.84861
0.5 365.66 2.86985
0.506944 322.947 2.89108
0.513889 300.288 2.91231
0.520833 343.37 2.93355
0.527778 383.403 2.95478
0.534722 364.545 2.97602
0.541667 316.184 2.99725
0.548611 326.289 3.01848
0.555556 389.963 3.03972
0.5625 417.392 3.06095
0.569444 379.507 3.08219
0.576389 336.841 3.10342
0.583333 368.06 3.12465
0.590278 423.77 3.14589
0.597222 422.168 3.16712
0.604167 367.71 3.18836
0.611111 351.98 3.20959
0.618056 415.245 3.23082
0.625 464.155 3.25206
0.631944 439.196 3.27329
0.638889 381.264 3.29453
0.645833 390.971 3.31576
0.652778 456.846 3.33699
0.659722 477.293 3.35823
0.666667 426.066 3.37946
0.673611 383.887 3.4007
0.680556 435.08 3.42193
0.6875 503.866 3.44316
0.694444 499.15 3.4644
0.701389 434.281 3.48563
0.708333 415.957 3.50687
0.715278 482.538 3.5281
0.722222 527.149 3.54933
0.729167 488.714 3.57057
0.736111 425.162 3.5918
0.743056 452.302 3.61304
0.75 535.206 3.63427
0.756944 556.232 3.65551
0.763889 494.714 3.67674
0.770833 447.29 3.70284
0.777778 502.149 3.73145
0.784722 569.437 3.76005
0.791667 552.341 3.78866
0.798611 476.965 3.81726
0.805556 471.153 3.84587
0.8125 557.969 3.87448
0.819444 607.428 3.90308
0.826389 559.893 3.93169
0.833333 488.415 3.96029
0.840278 518.571 3.9889
0.847222 602.672 4.0175
0.854167 613.388 4.04611
0.861111 538.15 4.07471
0.868056 496.584 4.10332
0.875 573.394 4.13193
0.881944 650.207 4.16053
0.888889 626.269 4.18914
0.895833 540.78 4.21774
0.902778 536.179 4.24635
0.909722 626.535 4.27495
0.916667 668.465 4.30356
0.923611 605.745 4.33217
0.930556 532.912 4.36077
0.9375 584.412 4.38938
0.944444 682.87 4.41798
0.951389 689.989 4.44659
0.958333 603.402 4.47519
0.965278 560.172 4.5038
0.972222 642.197 4.52608
0.979167 714.729 4.54688
0.986111 675.734 4.56769
0.993056 582.355 4.58849
1 595.642 4.6093
1.00694 704.903 4.6301
1.01389 747.357 4.6509
1.02083 673.264 4.67171
1.02778 595.261 4.69251
1.03472 652.576 4.71331
1.04167 750.224 4.73412
1.04861 743.76 4.75492
1.05556 644.293 4.77572
1.0625 612.849 4.79653
1.06944 717.317 4.81733
1.07639 795.227 4.83814
1.08333 746.13 4.85894
1.09028 644.138 4.87974
1.09722 662.356 4.90055
1.10417 774.228 4.92135
1.11111 805.662 4.94215
1.11806 715.614 4.96296
1.125 641.66 4.98376
1.13194 722.944 5.00456
1.13889 831.356 5.02537
1.14583 817.32 5.04617
1.15278 706.558 5.06698
1.15972 677.516 5.08663
1.16667 787.595 5.10411
1.17361 857.878 5.1216
1.18056 791.662 5.13908
1.1875 685.8 5.15656
1.19444 726.549 5.17405
1.20139 854.748 5.19153
1.20833 882.305 5.20902
1.21528 779.528 5.2265
1.22222 704.108 5.24398
1.22917 793.055 5.26147
1.23611 897.81 5.27895
1.24306 867.212 5.29644
1.25 745.781 5.31392
1.25694 734.501 5.33141
1.26389 866.012 5.34889
1.27083 937.156 5.36637
1.27778 858.25 5.38386
1.28472 746.47 5.40134
1.29167 795.353 5.41883
1.29861 924.164 5.441
1.30556 937.179 5.47497
1.3125 818.831 5.50895
1.31944 753.671 5.54292
1.32639 867.679 5.57689
1.33333 978.911 5.61086
1.34028 937.174 5.64484
1.34722 805.724 5.67881
1.35417 800.984 5.71278
1.36111 937.296 5.74675
1.36806 997.121 5.78073
1.375 899.891 5.8147
1.38194 789.564 5.84867
1.38889 864.418 5.88264
1.39583 1005.93 5.91662
1.40278 1010.8 5.95059
1.40972 879.458 5.98456
1.41667 817.198 6.01853
1.42361 939.544 6.05251
1.43056 1043.63 6.08648
1.4375 982.875 6.12045
1.44444 844.423 6.15442
1.45139 862.91 6.1884
1.45833 1018.25 6.22237
1.46528 1074.26 6.25634
1.47222 962.624 6.29031
1.47917 850.165 6.32429
1.48611 935.456 6.35826
1.49306 1074.66 6.39223
1.5 1061.67 6.4262
1.50694 916.478 6.46018
1.51389 871.027 6.49415
1.52083 1017.9 6.52812
1.52778 1123.71 6.56209
1.53472 1048.86 6.59607
1.54167 902.941 6.63004
1.54861 931.726 6.66401
1.55556 1089.9 6.69798
1.5625 1130.79 6.73196
1.56944 1000.7 6.76593
1.57639 896.069 6.7999
1.58333 1009.22 6.83387
1.59028 1156.69 6.86785
1.59722 1131.63 6.90182
1.60417 974.409 6.93579
1.61111 936.489 6.96976
1.61806 1091.1 7.00374
1.625 1185.83 7.03771
1.63194 1090.29 7.07168
1.63889 942.471 7.10565
1.64583 998.891 7.13963
1.65278 1172.48 7.1736
1.65972 1204.96 7.22012
1.66667 1059.79 7.27134
1.67361 957.67 7.32256
1.68056 1082.37 7.37378
1.6875 1223.86 7.425
1.69444 1178.07 7.47622
1.70139 1010.21 7.52744
1.70833 995.415 7.57866
1.71528 1172.46 7.62988
1.72222 1263.94 7.6811
1.72917 1152.16 7.73232
1.73611 1000.63 7.71684
1.74306 1070.29 7.62253
1.75 1243.72 7.52821
1.75694 1257.37 7.43389
1.76389 1094.93 7.33957
1.77083 1007.66 7.24526
1.77778 1160.39 7.15094
1.78472 1305.14 7.05662
1.79167 1243.9 6.96231
1.79861 1066.29 6.86799
1.80556 1063.46 6.77367
1.8125 1246.37 6.67935
1.81944 1322.65 6.58504
1.82639 1189.5 6.49072
1.83333 1042.46 6.3964
1.84028 1142.65 6.30208
1.84722 1326.93 6.20777
1.85417 1327.84 6.11345
1.86111 1150.89 6.01913
1.86806 1071.25 5.92482
1.875 1235.29 5.8305
1.88194 1369.88 5.73618
1.88889 1285.7 5.64186
1.89583 1102.19 5.54755
1.90278 1127.98 5.45323
1.90972 1329.83 5.35891
1.91667 1397.87 5.26459
1.92361 1247.34 5.17028
1.93056 1101.41 5.20493
1.9375 1216.6 5.25142
1.94444 1396.88 5.2979
1.95139 1375.63 5.34439
