time error errTLE
0 0 0
0.0347222 0.488148 0.212275
0.0694444 0.190057 0.42455
0.104167 1.23549 0.636825
0.138889 0.298298 0.8491
0.173611 2.04137 1.06137
0.208333 0.612644 1.27365
0.243056 2.7155 1.48592
0.277778 1.31695 1.69357
0.3125 3.14655 1.89524
0.347222 2.42001 2.09692
0.381944 3.28293 2.2986
0.416667 3.85943 2.50028
0.451389 3.17655 2.70196
0.486111 5.49302 2.82738
0.520833 3.00269 2.93355
0.555556 7.11753 3.03972
0.590278 3.06142 3.14589
0.625 8.47384 3.25206
0.659722 3.74278 3.35823
0.694444 9.34437 3.4644
0.729167 5.22654 3.57057
0.763889 9.65835 3.67674
0.798611 7.39529 3.81726
0.833333 9.4686 3.96029
0.868056 10.0012 4.10332
0.902778 8.97568 4.24635
0.9375 12.7335 4.38938
0.972222 8.53107 4.52608
1.00694 15.2515 4.6301
1.04167 8.5855 4.73412
1.07639 17.2082 4.83814
1.11111 9.58565 4.94215
1.14583 18.3528 5.04617
1.18056 11.718 5.13908
1.21528 18.6482 5.2265
1.25 14.8108 5.31392
1.28472 18.2423 5.40134
1.31944 18.4776 5.54292
1.35417 17.4727 5.71278
1.38889 22.2496 5.88264
1.42361 16.8421 6.05251
1.45833 25.6501 6.22237
1.49306 16.9187 6.39223
1.52778 28.2428 6.56209
1.5625 18.1982 6.73196
1.59722 29.738 6.90182
1.63194 20.879 7.07168
1.66667 30.1223 7.27134
1.70139 24.7623 7.52744
1.73611 29.6243 7.71684
1.77083 29.3675 7.24526
1.80556 28.6989 6.77367
1.84028 34.0957 6.30208
1.875 27.9732 5.8305
1.90972 38.3464 5.35891
1.94444 28.1079 5.2979
1.97917 41.5962 5.53033
2.01389 29.6416 5.76276
2.04861 43.5125 5.99518
2.08333 32.7879 6.22761
2.11806 44.0945 6.46004
2.15278 37.3384 6.69246
2.1875 43.6344 6.92489
2.22222 42.7545 6.9558
2.25694 42.6813 6.91691
2.29167 48.3406 6.8175
2.32639 41.9596 6.71809
2.36111 53.3921 6.61868
2.39583 42.2009 6.51927
2.43056 57.3058 6.41986
2.46528 43.9786 6.32046
2.5 59.7048 6.22105
2.53472 47.5225 6.12164
2.56944 60.5899 6.02223
2.60417 52.6285 5.92282
2.63889 60.2983 5.76564
2.67361 58.7293 5.55896
2.70833 59.4492 5.35227
2.74306 65.0664 5.14559
2.77778 58.8377 4.9389
2.8125 70.8557 4.73222
2.84722 59.2455 4.52553
2.88194 75.4267 4.31885
2.91667 61.2711 4.11216
2.95139 78.3588 3.90548
2.98611 65.1604 3.69879
3.02083 79.645 3.49211
3.05556 70.7232 3.30413
3.09028 79.6488 3.12627
3.125 77.3883 2.89372
3.15972 79.0353 2.65382
3.19444 84.3658 2.41391
3.22917 78.6443 2.17401
3.26389 90.8197 1.9341
3.29861 79.2877 1.61005
3.33333 96.0284 1.04937
3.36806 81.5786 0.752916
3.40278 99.5316 0.750767
3.4375 85.7765 0.748617
3.47222 101.306 0.746468
3.50694 91.7121 0.744318
3.54167 101.725 0.742169
3.57639 98.8302 0.740019
3.61111 101.475 0.73787
3.64583 106.339 0.735721
3.68056 101.416 0.760692
3.71528 113.377 0.794599
3.75 102.371 0.828506
3.78472 119.192 0.862413
3.81944 104.956 0.89632
3.85417 123.291 0.930227
3.88889 109.441 0.964134
3.92361 125.629 0.998041
3.95833 115.681 1.11614
3.99306 126.571 1.20899
4.02778 123.153 1.30184
