time error errTLE
0 0 0
0.00694444 0.0155297 0.042455
0.0138889 0.0886984 0.08491
0.0208333 0.209348 0.127365
0.0277778 0.349558 0.16982
0.0347222 0.485728 0.212275
0.0416667 0.604465 0.25473
0.0486111 0.60857 0.297185
0.0555556 0.504531 0.33964
0.0625 0.335935 0.382095
0.0694444 0.17385 0.42455
0.0763889 0.120453 0.467005
0.0833333 0.336455 0.50946
0.0902778 0.644738 0.551915
0.0972222 0.956604 0.59437
0.104167 1.1993 0.636825
0.111111 1.26179 0.67928
0.118056 1.09947 0.721735
0.125 0.792755 0.76419
0.131944 0.457904 0.806645
0.138889 0.225833 0.8491
0.145833 0.411516 0.891555
0.152778 0.858561 0.93401
0.159722 1.35292 0.976465
0.166667 1.75721 1.01892
0.173611 1.93698 1.06137
0.180556 1.77571 1.10383
0.1875 1.36559 1.14628
0.194444 0.857783 1.18874
0.201389 0.440851 1.23119
0.208333 0.463384 1.27365
0.215278 0.995824 1.3161
0.222222 1.66475 1.35856
0.229167 2.25984 1.40101
0.236111 2.60251 1.44347
0.243056 2.50975 1.48592
0.25 2.04317 1.52838
0.256944 1.38052 1.57083
0.263889 0.769685 1.61289
0.270833 0.547461 1.65323
0.277778 1.07054 1.69357
0.284722 1.88971 1.7339
0.291667 2.69022 1.77424
0.298611 3.22979 1.81457
0.305556 3.27492 1.85491
0.3125 2.80997 1.89524
0.319444 2.02714 1.93558
0.326389 1.21893 1.97592
0.333333 0.72843 2.01625
0.340278 1.10738 2.05659
0.347222 2.03172 2.09692
0.354167 3.03455 2.13726
0.361111 3.79742 2.17759
0.368056 4.04231 2.21793
0.375 3.6456 2.25827
0.381944 2.79016 2.2986
0.388889 1.79484 2.33894
0.395833 1.04222 2.37927
0.402778 1.14634 2.41961
0.409722 2.10156 2.45994
0.416667 3.28588 2.50028
0.423611 4.29011 2.54061
0.430556 4.78089 2.58095
0.4375 4.52432 2.62129
0.444444 3.65464 2.66162
0.451389 2.50067 2.70196
0.458333 1.49686 2.74229
0.465278 1.24471 2.76368
