time error errTLE
0 0 0
0.00694444 0.0155298 0.042455
0.0138889 0.0886945 0.08491
0.0208333 0.209326 0.127365
0.0277778 0.349486 0.16982
0.0347222 0.48558 0.212275
0.0416667 0.60424 0.25473
0.0486111 0.6083 0.297185
0.0555556 0.504269 0.33964
0.0625 0.335729 0.382095
0.0694444 0.173724 0.42455
0.0763889 0.120435 0.467005
0.0833333 0.336437 0.50946
0.0902778 0.644639 0.551915
0.0972222 0.956363 0.59437
0.104167 1.19889 0.636825
0.111111 1.26127 0.67928
0.118056 1.09893 0.721735
0.125 0.792301 0.76419
0.131944 0.457602 0.806645
0.138889 0.225713 0.8491
0.145833 0.41151 0.891555
0.152778 0.858465 0.93401
0.159722 1.35263 0.976465
0.166667 1.75668 1.01892
0.173611 1.93624 1.06137
0.180556 1.7749 1.10383
0.1875 1.36486 1.14628
0.194444 0.857258 1.18874
0.201389 0.440581 1.23119
0.208333 0.46337 1.27365
0.215278 0.995754 1.3161
0.222222 1.66446 1.35856
0.229167 2.25923 1.40101
0.236111 2.60159 1.44347
0.243056 2.50867 1.48592
0.25 2.04214 1.52838
0.256944 1.37973 1.57083
0.263889 0.76922 1.61289
0.270833 0.547375 1.65323
0.277778 1.07051 1.69357
0.284722 1.88945 1.7339
0.291667 2.68959 1.77424
0.298611 3.22874 1.81457
0.305556 3.27361 1.85491
0.3125 2.80864 1.89524
0.319444 2.02604 1.93558
0.326389 1.21823 1.97592
0.333333 0.728188 2.01625
0.340278 1.10738 2.05659
0.347222 2.03152 2.09692
0.354167 3.03394 2.13726
0.361111 3.79631 2.17759
0.368056 4.04081 2.21793
0.375 3.64398 2.25827
0.381944 2.78874 2.2986
0.388889 1.79385 2.33894
0.395833 1.04177 2.37927
0.402778 1.14632 2.41961
0.409722 2.10143 2.45994
0.416667 3.28533 2.50028
0.423611 4.28899 2.54061
0.430556 4.77924 2.58095
0.4375 4.52243 2.62129
0.444444 3.65287 2.66162
0.451389 2.49935 2.70196
0.458333 1.49614 2.74229
0.465278 1.24461 2.76368
0.472222 2.11846 2.78491
0.479167 3.44462 2.80614
0.486111 4.69385 2.82738
0.493056 5.45921 2.84861
0.5 5.41514 2.86985
0.506944 4.59902 2.89108
0.513889 3.33298 2.91231
0.520833 2.0926 2.93355
0.527778 1.46341 2.95478
0.534722 2.11284 2.97602
0.541667 3.51966 2.99725
0.548611 5.00029 3.01848
0.555556 6.05788 3.03972
0.5625 6.29221 3.06095
0.569444 5.604 3.08219
0.576389 4.28526 3.10342
0.583333 2.83144 3.12465
0.590278 1.84212 3.14589
0.597222 2.12866 3.16712
0.604167 3.52545 3.18836
0.611111 5.20365 3.20959
0.618056 6.56072 3.23082
0.625 7.12265 3.25206
0.631944 6.63994 3.27329
0.638889 5.33844 3.29453
0.645833 3.71084 3.31576
0.652778 2.39216 3.33699
0.659722 2.22344 3.35823
0.666667 3.48568 3.37946
0.673611 5.30753 3.4007
0.680556 6.95807 3.42193
0.6875 7.87596 3.44316
0.694444 7.67564 3.4644
0.701389 6.46941 3.48563
