time error errTLE
0 0 0
0.00694444 0.00753621 0.00162941
0.0138889 0.0153577 0.00325882
0.0208333 0.0234781 0.00488823
0.0277778 0.0318976 0.00651764
0.0347222 0.0405952 0.00814705
0.0416667 0.0495398 0.00977646
0.0486111 0.0586802 0.0114059
0.0555556 0.0679446 0.0130353
0.0625 0.077243 0.0146647
0.0694444 0.0864715 0.0162941
0.0763889 0.0955119 0.0179235
0.0833333 0.104245 0.0195529
0.0902778 0.11256 0.0211823
0.0972222 0.120357 0.0228117
0.104167 0.127592 0.0244412
0.111111 0.13428 0.0260706
0.118056 0.140526 0.0277
0.125 0.146559 0.0293294
0.131944 0.152762 0.0309588
0.138889 0.159683 0.0325882
0.145833 0.168033 0.0342176
0.152778 0.178634 0.035847
0.159722 0.192319 0.0374764
0.166667 0.20984 0.0391058
0.173611 0.231748 0.0407353
0.180556 0.258346 0.0423647
0.1875 0.289699 0.0439941
0.194444 0.325662 0.0456235
0.201389 0.365941 0.0472529
0.208333 0.410127 0.0488823
0.215278 0.457728 0.0505117
0.222222 0.508207 0.0521411
0.229167 0.560969 0.0537705
0.236111 0.615388 0.0553999
0.243056 0.67082 0.0570294
0.25 0.726607 0.0586588
0.256944 0.782081 0.0602882
0.263889 0.836588 0.0619176
0.270833 0.889485 0.063547
0.277778 0.940155 0.0651764
0.284722 0.988039 0.0668058
0.291667 1.03261 0.0684352
0.298611 1.07339 0.0700646
0.305556 1.11 0.071694
0.3125 1.14213 0.0733235
0.319444 1.16953 0.0749529
0.326389 1.19206 0.0765823
0.333333 1.20966 0.0782117
0.340278 1.22234 0.0798411
0.347222 1.23026 0.0814705
0.354167 1.23359 0.0830999
0.361111 1.23261 0.0847293
0.368056 1.22768 0.0863587
0.375 1.21922 0.0879881
0.381944 1.20767 0.0896176
0.388889 1.19356 0.091247
0.395833 1.17741 0.0928764
0.402778 1.15976 0.0945058
0.409722 1.14118 0.0961352
0.416667 1.12218 0.0977646
0.423611 1.10326 0.099394
0.430556 1.08488 0.101023
0.4375 1.06744 0.102653
0.444444 1.05126 0.104282
0.451389 1.0366 0.105912
0.458333 1.02362 0.107541
0.465278 1.01238 0.10917
0.472222 1.00289 0.1108
0.479167 0.995051 0.112429
