time error errTLE
0 0 0
0.0347222 0.133773 0.0105947
0.0694444 0.471137 0.0211895
0.104167 0.966045 0.0317842
0.138889 1.57786 0.042379
0.173611 2.31512 0.0529737
0.208333 3.22293 0.0635685
0.243056 4.32424 0.0741632
0.277778 5.5736 0.084758
0.3125 6.86339 0.0953527
0.347222 8.06591 0.105947
0.381944 9.08218 0.116542
0.416667 9.88037 0.127137
0.451389 10.5105 0.137732
0.486111 11.0787 0.148326
0.520833 11.6767 0.158921
0.555556 12.3026 0.169516
0.590278 12.8409 0.180111
0.625 13.1255 0.190705
0.659722 13.042 0.2013
0.694444 12.6195 0.211895
0.729167 12.0889 0.22249
0.763889 11.8692 0.233084
0.798611 12.3835 0.243679
0.833333 13.7425 0.254274
0.868056 15.6564 0.264869
0.902778 17.6716 0.275463
0.9375 19.3954 0.286058
0.972222 20.5944 0.296653
1.00694 21.2292 0.307248
1.04167 21.4621 0.317842
1.07639 21.6134 0.328437
1.11111 22.0315 0.339032
1.14583 22.893 0.349627
1.18056 24.0704 0.360221
1.21528 25.1955 0.370816
1.25 25.8575 0.381411
1.28472 25.7923 0.392006
1.31944 25.0092 0.4026
1.35417 23.8545 0.413195
1.38889 22.9819 0.42379
1.42361 23.1084 0.434385
1.45833 24.5439 0.444979
1.49306 26.9351 0.455574
1.52778 29.5512 0.466169
1.5625 31.7064 0.476763
1.59722 32.9856 0.487358
1.63194 33.3201 0.497953
1.66667 32.9949 0.508548
1.70139 32.5749 0.519142
1.73611 32.6865 0.529737
1.77083 33.6677 0.540332
1.80556 35.3269 0.550927
1.84028 37.0571 0.561521
1.875 38.1794 0.572116
1.90972 38.2431 0.582711
1.94444 37.199 0.593306
1.97917 35.4749 0.6039
2.01389 33.9357 0.614495
2.04861 33.5913 0.62509
2.08333 34.9887 0.635685
2.11806 37.7767 0.646279
2.15278 40.9882 0.656874
2.1875 43.6402 0.667469
2.22222 45.104 0.678064
2.25694 45.2371 0.688658
2.29167 44.4018 0.699253
2.32639 43.3768 0.709848
2.36111 43.0758 0.720443
2.39583 44.0534 0.731037
2.43056 46.1182 0.741632
2.46528 48.4531 0.752227
2.5 50.1008 0.762822
2.53472 50.3942 0.76563
2.56944 49.1893 0.759538
2.60417 46.9588 0.753446
2.63889 44.7495 0.747355
2.67361 43.8582 0.741263
2.70833 45.1055 0.735171
2.74306 48.2061 0.72908
2.77778 51.998 0.722988
2.8125 55.2 0.716896
2.84722 56.9433 0.710804
2.88194 56.9744 0.704713
2.91667 55.6923 0.698621
2.95139 54.057 0.692529
2.98611 53.2641 0.686437
3.02083 54.1253 0.680346
3.05556 56.5119 0.674254
3.09028 59.4337 0.668162
3.125 61.6542 0.662071
3.15972 62.2662 0.655979
3.19444 60.9984 0.649887
3.22917 58.3332 0.643795
3.26389 55.4679 0.637704
3.29861 53.9721 0.631612
3.33333 54.9654 0.62552
3.36806 58.289 0.619428
3.40278 62.6322 0.613337
3.4375 66.4217 0.607245
3.47222 68.5275 0.601153
3.50694 68.5527 0.595061
3.54167 66.8965 0.58897
3.57639 64.6662 0.582878
3.61111 63.3251 0.576786
3.64583 63.969 0.570695
3.68056 66.589 0.564603
3.71528 70.0653 0.558511
3.75 72.8899 0.552419
3.78472 73.897 0.546328
3.81944 72.6595 0.540236
3.85417 69.6365 0.534144
3.88889 66.1441 0.528052
3.92361 64.0047 0.521961
3.95833 64.6517 0.515869
3.99306 68.1065 0.509777
4.02778 72.9597 0.503686
4.0625 77.359 0.497594
4.09722 79.8982 0.491502
4.13194 80.0084 0.48541
4.16667 78.0555 0.479319
4.20139 75.2606 0.473227
4.23611 73.3352 0.467135
4.27083 73.6735 0.461043
4.30556 76.4374 0.454952
4.34028 80.425 0.44886
4.375 83.8705 0.442768
4.40972 85.3374 0.442878
4.44444 84.2169 0.530208
4.47917 80.9153 0.617538
4.51389 76.8359 0.704868
4.54861 74.0304 0.792198
4.58333 74.2511 0.879528
4.61806 77.7455 0.966858
4.65278 83.0581 1.05419
4.6875 88.0769 1.14152
4.72222 91.1087 1.22885
4.75694 91.3884 1.31618
4.79167 89.2177 1.40351
4.82639 85.8997 1.49084
4.86111 83.37 1.57817
4.89583 83.3272 1.6655
4.93056 86.1473 1.75283
4.96528 90.5948 1.84016
5 94.6665 1.92749
5.03472 96.647 2.01482
5.06944 95.7239 2.00572
5.10417 92.2222 1.98968
5.13889 87.6032 1.97363
5.17361 84.1225 1.95759
5.20833 83.8486 1.94154
5.24306 87.2936 1.9255
5.27778 93.0081 1.90945
5.3125 98.6455 1.89341
5.34722 102.219 1.87736
5.38194 102.747 1.86132
5.41667 100.437 1.84527
5.45139 96.6439 1.82923
5.48611 93.5032 1.81318
5.52083 93.0153 1.79714
5.55556 95.8065 1.78109
5.59028 100.657 1.76505
5.625 105.351 1.749
5.65972 107.89 1.73296
5.69444 107.239 1.71691
5.72917 103.614 1.70087
5.76389 98.5074 1.68482
5.79861 94.3522 1.66878
5.83333 93.5255 1.65273
5.86806 96.835 1.63669
5.90278 102.889 1.62064
5.9375 109.136 1.6046
5.97222 113.293 1.58855
6.00694 114.14 1.57251
6.04167 111.768 1.55646
6.07639 107.553 1.54042
6.11111 103.804 1.52437
6.14583 102.817 1.50833
6.18056 105.497 1.49228
6.21528 110.691 1.47624
6.25 115.996 1.46019
6.28472 119.132 1.44415
6.31944 118.821 1.4281
6.35417 115.149 1.41206
6.38889 109.609 1.39601
6.42361 104.787 1.37997
6.45833 103.357 1.36392
6.49306 106.448 1.34788
6.52778 112.776 1.33183
6.5625 119.617 1.31579
6.59722 124.393 1.29974
6.63194 125.627 1.2837
6.66667 123.268 1.26765
6.70139 118.686 1.25161
6.73611 114.337 1.23556
6.77083 112.803 1.21952
6.80556 115.295 1.20347
6.84028 120.767 1.18743
6.875 126.668 1.17138
6.90972 130.433 1.15534
6.94444 130.528 1.13929
6.97917 126.883 1.12325
7.01389 120.966 1.1072
7.04861 115.49 1.09116
7.08333 113.412 1.07511
7.11806 116.202 1.05907
7.15278 122.735 1.04302
7.1875 130.149 1.02698
7.22222 135.573 1.01093
7.25694 137.26 0.994888
7.29167 134.989 0.978843
7.32639 130.098 0.962798
7.36111 125.162 0.946753
7.39583 123.039 0.930708
7.43056 125.263 0.914663
7.46528 130.948 0.898618
7.5 137.424 0.882573
7.53472 141.849 0.866528
7.56944 142.414 0.864048
7.60417 138.869 0.881989
7.63889 132.632 0.89993
7.67361 126.517 0.917871
7.70833 123.749 0.935812
7.74306 126.157 0.953753
7.77778 132.822 0.971694
7.8125 140.782 0.989635
7.84722 146.884 1.00758
7.88194 149.088 1.02552
7.91667 146.979 1.04346
7.95139 141.836 1.0614
7.98611 136.33 1.07934
8.02083 133.578 1.09728
8.05556 135.455 1.11522
8.09028 141.282 1.13316
8.125 148.308 1.1511
8.15972 153.421 1.16904
8.19444 154.521 1.1907
8.22917 151.153 1.22263
8.26389 144.655 1.25456
8.29861 137.918 1.28648
8.33333 134.42 1.31841
8.36806 136.361 1.35034
8.40278 143.079 1.38226
8.4375 151.556 1.41419
8.47222 158.36 1.44612
8.50694 161.145 1.47805
8.54167 159.276 1.50997
8.57639 153.942 1.5419
8.61111 147.885 1.57383
8.64583 144.463 1.60575
8.68056 145.913 1.63768
8.71528 151.805 1.66961
8.75 159.352 1.70153
8.78472 165.179 1.73346
8.81944 166.88 1.76539
8.85417 163.767 1.79732
8.88889 157.072 1.82924
8.92361 149.732 1.86117
8.95833 145.463 1.8931
8.99306 146.85 1.92502
9.02778 153.535 1.95695
9.0625 162.491 1.98888
9.09722 170.02 2.0208
9.13194 173.453 2.05273
9.16667 171.905 2.08466
9.20139 166.446 2.11659
9.23611 159.857 2.14851
9.27083 155.728 2.18044
9.30556 156.663 2.21237
9.34028 162.535 2.24429
9.375 170.567 2.27622
9.40972 177.133 2.30815
9.44444 179.504 2.34008
9.47917 176.731 2.372
9.51389 169.906 2.40393
9.54861 161.988 2.43586
9.58333 156.908 2.46778
9.61806 157.647 2.49971
9.65278 164.202 2.53164
9.6875 173.592 2.56356
9.72222 181.867 2.59549
9.75694 186.016 2.62742
9.79167 184.875 2.65935
9.82639 179.362 2.69127
9.86111 172.267 2.7232
9.89583 167.39 2.75513
9.93056 167.718 2.78705
9.96528 173.476 2.81898
10 181.947 2.85091
10.0347 189.273 2.88283
10.0694 192.386 2.91476
10.1042 190.043 2.84049
10.1389 183.166 2.74971
10.1736 174.697 2.65894
10.2083 168.766 2.56816
10.2431 168.758 2.47739
10.2778 175.076 2.38661
10.3125 184.844 2.29584
10.3472 193.879 2.20506
10.3819 198.814 2.11429
10.4167 198.174 2.02351
10.4514 192.686 1.93274
10.4861 185.118 1.84196
10.5208 179.455 1.75119
10.5556 179.077 1.66041
10.5903 184.612 1.56964
10.625 193.464 1.47886
10.6597 201.567 1.38809
10.6944 205.495 1.29731
10.7292 203.682 1.27599
10.7639 196.837 1.28002
10.7986 187.857 1.28405
10.8333 181.039 1.28808
10.8681 180.177 1.29211
10.9028 186.137 1.29614
10.9375 196.21 1.30018
10.9722 206.014 1.30421
11.0069 211.808 1.30824
11.0417 211.768 1.31227
11.0764 206.394 1.3163
11.1111 198.394 1.32034
11.1458 191.911 1.32437
11.1806 190.723 1.3284
11.2153 195.912 1.33243
11.25 205.073 1.33646
11.2847 213.958 1.34049
11.3194 218.777 1.34453
11.3542 217.6 1.34856
11.3889 210.886 1.35259
11.4236 201.443 1.35662
11.4583 193.709 1.36065
11.4931 191.885 1.36468
11.5278 197.349 1.36872
11.5625 207.639 1.37275
11.5972 218.207 1.37678
11.6319 224.929 1.38081
