time error errTLE
0 0 0
0.0347222 0.0560026 0.0105947
0.0694444 0.105303 0.0211895
0.104167 0.130101 0.0317842
0.138889 0.11828 0.042379
0.173611 0.074653 0.0529737
0.208333 0.0915987 0.0635685
0.243056 0.210469 0.0741632
0.277778 0.351276 0.084758
0.3125 0.479226 0.0953527
0.347222 0.566787 0.105947
0.381944 0.591485 0.116542
0.416667 0.539536 0.127137
0.451389 0.410773 0.137732
0.486111 0.235231 0.148326
0.520833 0.207659 0.158921
0.555556 0.441976 0.169516
0.590278 0.708752 0.180111
0.625 0.932044 0.190705
0.659722 1.07047 0.2013
0.694444 1.09609 0.211895
0.729167 0.997121 0.22249
0.763889 0.785053 0.233084
0.798611 0.519674 0.243679
0.833333 0.427315 0.254274
0.868056 0.700318 0.264869
0.902778 1.07359 0.275463
0.9375 1.39371 0.286058
0.972222 1.5925 0.296653
1.00694 1.63217 0.307248
1.04167 1.50213 0.317842
1.07639 1.22692 0.328437
1.11111 0.895556 0.339032
1.14583 0.752133 0.349627
1.18056 1.01908 0.360221
1.21528 1.46462 0.370816
1.25 1.86922 0.381411
1.28472 2.12956 0.392006
1.31944 2.19349 0.4026
1.35417 2.04749 0.413195
1.38889 1.7234 0.42379
1.42361 1.32732 0.434385
1.45833 1.11402 0.444979
1.49306 1.34837 0.455574
1.52778 1.84848 0.466169
1.5625 2.33855 0.476763
1.59722 2.67323 0.487358
1.63194 2.78217 0.497953
1.66667 2.64844 0.508548
1.70139 2.31329 0.519142
1.73611 1.90214 0.529737
1.77083 1.66771 0.540332
1.80556 1.85746 0.550927
1.84028 2.358 0.561521
1.875 2.89086 0.572116
1.90972 3.27278 0.582711
1.94444 3.41016 0.593306
1.97917 3.27647 0.6039
2.01389 2.91351 0.614495
2.04861 2.45346 0.62509
2.08333 2.15371 0.635685
2.11806 2.2869 0.646279
2.15278 2.79492 0.656874
2.1875 3.38801 0.667469
2.22222 3.84472 0.678064
2.25694 4.04767 0.688658
2.29167 3.96176 0.699253
2.32639 3.6321 0.709848
2.36111 3.19927 0.720443
2.39583 2.91004 0.731037
2.43056 3.00805 0.741632
2.46528 3.47503 0.752227
2.5 4.06174 0.762822
2.53472 4.53355 0.76563
2.56944 4.75082 0.759538
2.60417 4.66441 0.753446
2.63889 4.31393 0.747355
2.67361 3.83954 0.741263
2.70833 3.48955 0.735171
2.74306 3.52531 0.72908
2.77778 3.97186 0.722988
2.8125 4.59304 0.716896
2.84722 5.13176 0.710804
2.88194 5.42554 0.704713
2.91667 5.4132 0.698621
2.95139 5.13172 0.692529
2.98611 4.72068 0.686437
3.02083 4.4124 0.680346
3.05556 4.43715 0.674254
3.09028 4.83322 0.668162
3.125 5.41097 0.662071
3.15972 5.92711 0.655979
3.19444 6.20849 0.649887
3.22917 6.18093 0.643795
3.26389 5.87277 0.637704
3.29861 5.41892 0.631612
3.33333 5.05111 0.62552
3.36806 5.01271 0.619428
3.40278 5.3744 0.613337
3.4375 5.96711 0.607245
3.47222 6.53966 0.601153
3.50694 6.90172 0.595061
3.54167 6.96633 0.58897
3.57639 6.75496 0.582878
3.61111 6.39525 0.576786
3.64583 6.099 0.570695
3.68056 6.07779 0.564603
3.71528 6.39868 0.558511
3.75 6.92885 0.552419
3.78472 7.4458 0.546328
3.81944 7.76354 0.540236
3.85417 7.78848 0.534144
3.88889 7.53412 0.528052
3.92361 7.12206 0.521961
3.95833 6.76245 0.515869
3.99306 6.67669 0.509777
4.02778 6.9561 0.503686
4.0625 7.48842 0.497594
4.09722 8.05228 0.491502
4.13194 8.45116 0.48541
4.16667 8.58019 0.479319
4.20139 8.44378 0.473227
4.23611 8.15181 0.467135
4.27083 7.89149 0.461043
4.30556 7.85163 0.454952
4.34028 8.10953 0.44886
4.375 8.57567 0.442768
4.40972 9.06073 0.442878
4.44444 9.38461 0.530208
4.47917 9.44474 0.617538
4.51389 9.24167 0.704868
4.54861 8.88062 0.792198
4.58333 8.54742 0.879528
4.61806 8.43867 0.966858
4.65278 8.65013 1.05419
4.6875 9.11015 1.14152
4.72222 9.63479 1.22885
4.75694 10.0388 1.31618
4.79167 10.2108 1.40351
4.82639 10.1417 1.49084
4.86111 9.92227 1.57817
4.89583 9.71339 1.6655
4.93056 9.6782 1.75283
4.96528 9.89172 1.84016
5 10.2929 1.92749
5.03472 10.7265 2.01482
5.06944 11.0304 2.00572
5.10417 11.1042 1.98968
5.13889 10.9408 1.97363
5.17361 10.6302 1.95759
5.20833 10.3336 1.94154
5.24306 10.2211 1.9255
5.27778 10.3825 1.90945
5.3125 10.7714 1.89341
5.34722 11.239 1.87736
5.38194 11.6216 1.86132
5.41667 11.8125 1.84527
