time error errTLE
0 0 0
0.00694444 0.0106234 0.00211895
0.0138889 0.0213156 0.0042379
0.0208333 0.0321193 0.00635685
0.0277778 0.043079 0.0084758
0.0347222 0.0542496 0.0105947
0.0416667 0.0656964 0.0127137
0.0486111 0.0774924 0.0148326
0.0555556 0.0897118 0.0169516
0.0625 0.10244 0.0190705
0.0694444 0.115758 0.0211895
0.0763889 0.129735 0.0233084
0.0833333 0.144441 0.0254274
0.0902778 0.159917 0.0275463
0.0972222 0.176185 0.0296653
0.104167 0.193241 0.0317842
0.111111 0.21105 0.0339032
0.118056 0.229532 0.0360221
0.125 0.248589 0.0381411
0.131944 0.268081 0.04026
0.138889 0.287827 0.042379
0.145833 0.307637 0.0444979
0.152778 0.327279 0.0466169
0.159722 0.346506 0.0487358
0.166667 0.365067 0.0508548
0.173611 0.382701 0.0529737
0.180556 0.399134 0.0550927
0.1875 0.414129 0.0572116
0.194444 0.427451 0.0593306
0.201389 0.438888 0.0614495
0.208333 0.448289 0.0635685
0.215278 0.455532 0.0656874
0.222222 0.460564 0.0678064
0.229167 0.463413 0.0699253
0.236111 0.464192 0.0720443
0.243056 0.463102 0.0741632
0.25 0.460486 0.0762822
0.256944 0.456799 0.0784011
0.263889 0.452629 0.0805201
0.270833 0.448722 0.082639
0.277778 0.445925 0.084758
0.284722 0.445177 0.0868769
0.291667 0.447437 0.0889959
0.298611 0.453589 0.0911148
0.305556 0.464337 0.0932337
0.3125 0.480127 0.0953527
0.319444 0.501092 0.0974716
0.326389 0.527057 0.0995906
0.333333 0.557589 0.10171
0.340278 0.592071 0.103828
0.347222 0.629778 0.105947
0.354167 0.669932 0.108066
0.361111 0.711754 0.110185
0.368056 0.754505 0.112304
0.375 0.797467 0.114423
0.381944 0.839993 0.116542
0.388889 0.881495 0.118661
0.395833 0.921428 0.12078
0.402778 0.959326 0.122899
0.409722 0.994779 0.125018
0.416667 1.02743 0.127137
0.423611 1.05698 0.129256
0.430556 1.08322 0.131375
0.4375 1.10595 0.133494
0.444444 1.12506 0.135613
0.451389 1.1405 0.137732
0.458333 1.15226 0.139851
0.465278 1.16039 0.14197
0.472222 1.16499 0.144089
0.479167 1.16621 0.146207
0.486111 1.16422 0.148326
0.493056 1.15929 0.150445
0.5 1.15166 0.152564
0.506944 1.14165 0.154683
0.513889 1.1296 0.156802
0.520833 1.11585 0.158921
0.527778 1.10081 0.16104
0.534722 1.08486 0.163159
0.541667 1.0684 0.165278
0.548611 1.05183 0.167397
0.555556 1.03557 0.169516
0.5625 1.01998 0.171635
0.569444 1.00543 0.173754
0.576389 0.992261 0.175873
0.583333 0.980732 0.177992
0.590278 0.971088 0.180111
0.597222 0.963501 0.18223
0.604167 0.958071 0.184349
0.611111 0.954827 0.186467
0.618056 0.953746 0.188586
0.625 0.954705 0.190705
0.631944 0.957536 0.192824
0.638889 0.96202 0.194943
0.645833 0.967867 0.197062
0.652778 0.974771 0.199181
