time error errTLE
0 0 0
0.0347222 0.0508607 0.0105947
0.0694444 0.104039 0.0211895
0.104167 0.178831 0.0317842
0.138889 0.298117 0.042379
0.173611 0.462471 0.0529737
0.208333 0.6397 0.0635685
0.243056 0.777784 0.0741632
0.277778 0.828769 0.084758
0.3125 0.775666 0.0953527
0.347222 0.65911 0.105947
0.381944 0.594911 0.116542
0.416667 0.680547 0.127137
0.451389 0.840096 0.137732
0.486111 0.960918 0.148326
0.520833 0.998878 0.158921
0.555556 0.967005 0.169516
0.590278 0.91221 0.180111
0.625 0.886884 0.190705
0.659722 0.912832 0.2013
0.694444 0.963575 0.211895
0.729167 0.986537 0.22249
0.763889 0.936121 0.233084
0.798611 0.794403 0.243679
0.833333 0.577765 0.254274
0.868056 0.331412 0.264869
0.902778 0.168394 0.275463
0.9375 0.331339 0.286058
0.972222 0.627477 0.296653
1.00694 0.968784 0.307248
1.04167 1.31068 0.317842
1.07639 1.59473 0.328437
1.11111 1.77233 0.339032
1.14583 1.82779 0.349627
1.18056 1.78685 0.360221
1.21528 1.70836 0.370816
1.25 1.65965 0.381411
1.28472 1.67962 0.392006
1.31944 1.75276 0.4026
1.35417 1.82117 0.413195
1.38889 1.82066 0.42379
1.42361 1.71231 0.434385
1.45833 1.50072 0.444979
1.49306 1.2404 0.455574
1.52778 1.03579 0.466169
1.5625 1.018 0.476763
1.59722 1.22966 0.487358
1.63194 1.58293 0.497953
1.66667 1.97105 0.508548
1.70139 2.30672 0.519142
1.73611 2.5265 0.529737
1.77083 2.60424 0.540332
1.80556 2.56018 0.550927
1.84028 2.45493 0.561521
1.875 2.36658 0.572116
1.90972 2.35296 0.582711
1.94444 2.41759 0.593306
1.97917 2.50837 0.6039
2.01389 2.55075 0.614495
2.04861 2.48678 0.62509
2.08333 2.30263 0.635685
2.11806 2.04118 0.646279
2.15278 1.79969 0.656874
2.1875 1.70485 0.667469
2.22222 1.83756 0.678064
2.25694 2.16215 0.688658
2.29167 2.5711 0.699253
2.32639 2.9543 0.709848
2.36111 3.22649 0.720443
2.39583 3.34322 0.731037
2.43056 3.31157 0.741632
2.46528 3.18713 0.752227
2.5 3.05338 0.762822
2.53472 2.98553 0.76563
2.56944 3.01104 0.759538
2.60417 3.09409 0.753446
2.63889 3.15921 0.747355
2.67361 3.13369 0.741263
2.70833 2.98355 0.735171
2.74306 2.73393 0.72908
2.77778 2.47124 0.722988
2.8125 2.32168 0.716896
2.84722 2.39028 0.710804
2.88194 2.68291 0.704713
2.91667 3.10773 0.698621
2.95139 3.54246 0.692529
2.98611 3.88081 0.686437
3.02083 4.05657 0.680346
3.05556 4.05838 0.674254
3.09028 3.93062 0.668162
3.125 3.75643 0.662071
3.15972 3.62418 0.655979
3.19444 3.58612 0.649887
3.22917 3.6308 0.643795
3.26389 3.69244 0.637704
3.29861 3.69049 0.631612
3.33333 3.5725 0.62552
3.36806 3.34298 0.619428
3.40278 3.07265 0.613337
3.4375 2.8833 0.607245
3.47222 2.89679 0.601153
3.50694 3.15547 0.595061
3.54167 3.5918 0.58897
3.57639 4.08024 0.582878
3.61111 4.49612 0.576786
3.64583 4.7501 0.570695
3.68056 4.80847 0.564603
3.71528 4.69907 0.558511
3.75 4.49879 0.552419
3.78472 4.30359 0.546328
3.81944 4.18775 0.540236
3.85417 4.16824 0.534144
3.88889 4.19876 0.528052
3.92361 4.19995 0.521961
3.95833 4.10531 0.515869
3.99306 3.89836 0.509777
4.02778 3.63035 0.503686
4.0625 3.41313 0.497594
4.09722 3.37803 0.491502
4.13194 3.59923 0.48541
4.16667 4.03928 0.479319
4.20139 4.57818 0.473227
4.23611 5.07719 0.467135
4.27083 5.42419 0.461043
4.30556 5.56078 0.454952
4.34028 5.49388 0.44886
4.375 5.28862 0.442768
4.40972 5.04251 0.442878
4.44444 4.84674 0.530208
4.47917 4.74652 0.617538
4.51389 4.72168 0.704868
4.54861 4.70367 0.792198
4.58333 4.61877 0.879528
4.61806 4.43167 0.966858
4.65278 4.17211 1.05419
4.6875 3.93685 1.14152
4.72222 3.85893 1.22885
4.75694 4.03804 1.31618
4.79167 4.47006 1.40351
4.82639 5.04927 1.49084
4.86111 5.62905 1.57817
4.89583 6.07668 1.6655
4.93056 6.30836 1.75283
4.96528 6.30709 1.84016
5 6.12137 1.92749
5.03472 5.8443 2.01482
5.06944 5.57783 2.00572
5.10417 5.39175 1.98968
5.13889 5.29481 1.97363
5.17361 5.23734 1.95759
5.20833 5.14656 1.94154
5.24306 4.97288 1.9255
5.27778 4.72465 1.90945
5.3125 4.47961 1.89341
5.34722 4.36503 1.87736
5.38194 4.49798 1.86132
5.41667 4.90752 1.84527
5.45139 5.51042 1.82923
5.48611 6.15974 1.81318
5.52083 6.70647 1.79714
5.55556 7.04262 1.78109
