time error errTLE
0 0 0
0.00694444 0.0104895 0.00211895
0.0138889 0.0207784 0.0042379
0.0208333 0.0309107 0.00635685
0.0277778 0.0409408 0.0084758
0.0347222 0.0509409 0.0105947
0.0416667 0.061003 0.0127137
0.0486111 0.0712394 0.0148326
0.0555556 0.081785 0.0169516
0.0625 0.092801 0.0190705
0.0694444 0.104472 0.0211895
0.0763889 0.117002 0.0233084
0.0833333 0.130611 0.0254274
0.0902778 0.145522 0.0275463
0.0972222 0.161948 0.0296653
0.104167 0.180085 0.0317842
0.111111 0.200094 0.0339032
0.118056 0.222087 0.0360221
0.125 0.246133 0.0381411
0.131944 0.272238 0.04026
0.138889 0.300341 0.042379
0.145833 0.330339 0.0444979
0.152778 0.362052 0.0466169
0.159722 0.395252 0.0487358
0.166667 0.429664 0.0508548
0.173611 0.464965 0.0529737
0.180556 0.500778 0.0550927
0.1875 0.536717 0.0572116
0.194444 0.572353 0.0593306
0.201389 0.607233 0.0614495
0.208333 0.640915 0.0635685
0.215278 0.672935 0.0656874
0.222222 0.702842 0.0678064
0.229167 0.730208 0.0699253
0.236111 0.754632 0.0720443
0.243056 0.775727 0.0741632
0.25 0.793179 0.0762822
0.256944 0.806714 0.0784011
0.263889 0.816112 0.0805201
0.270833 0.821254 0.082639
0.277778 0.822076 0.084758
0.284722 0.818614 0.0868769
0.291667 0.811013 0.0889959
0.298611 0.799527 0.0911148
0.305556 0.784515 0.0932337
0.3125 0.766503 0.0953527
0.319444 0.746145 0.0974716
0.326389 0.724251 0.0995906
0.333333 0.701818 0.10171
0.340278 0.679984 0.103828
0.347222 0.660034 0.105947
0.354167 0.643343 0.108066
0.361111 0.631277 0.110185
0.368056 0.625057 0.112304
0.375 0.625619 0.114423
0.381944 0.633462 0.116542
0.388889 0.648585 0.118661
0.395833 0.6705 0.12078
0.402778 0.698337 0.122899
0.409722 0.730981 0.125018
0.416667 0.767205 0.127137
0.423611 0.805781 0.129256
0.430556 0.845565 0.131375
0.4375 0.885506 0.133494
0.444444 0.924691 0.135613
0.451389 0.962344 0.137732
0.458333 0.997798 0.139851
0.465278 1.03053 0.14197
0.472222 1.06012 0.144089
0.479167 1.08625 0.146207
0.486111 1.1087 0.148326
0.493056 1.12738 0.150445
0.5 1.14224 0.152564
0.506944 1.15332 0.154683
0.513889 1.16076 0.156802
0.520833 1.16474 0.158921
0.527778 1.16551 0.16104
0.534722 1.16338 0.163159
0.541667 1.15869 0.165278
0.548611 1.15183 0.167397
0.555556 1.14322 0.169516
0.5625 1.13329 0.171635
0.569444 1.12249 0.173754
0.576389 1.11126 0.175873
0.583333 1.10004 0.177992
0.590278 1.08925 0.180111
0.597222 1.07925 0.18223
0.604167 1.07037 0.184349
0.611111 1.06288 0.186467
0.618056 1.05699 0.188586
0.625 1.05281 0.190705
0.631944 1.05039 0.192824
0.638889 1.0497 0.194943
0.645833 1.05061 0.197062
0.652778 1.05293 0.199181
0.659722 1.05641 0.2013
0.666667 1.06072 0.203419
0.673611 1.0655 0.205538
0.680556 1.07035 0.207657
0.6875 1.07485 0.209776
0.694444 1.07857 0.211895
0.701389 1.08109 0.214014
0.708333 1.08198 0.216133
0.715278 1.08086 0.218252
0.722222 1.07736 0.220371
0.729167 1.07115 0.22249
0.736111 1.06193 0.224609
0.743056 1.04948 0.226728
0.75 1.03359 0.228846
0.756944 1.01414 0.230965
0.763889 0.991048 0.233084
0.770833 0.964295 0.235203
0.777778 0.933927 0.237322
0.784722 0.900045 0.239441
0.791667 0.862798 0.24156
0.798611 0.822389 0.243679
0.805556 0.779089 0.245798
0.8125 0.733183 0.247917
0.819444 0.685011 0.250036
0.826389 0.634922 0.252155
0.833333 0.583374 0.254274
0.840278 0.530776 0.256393
0.847222 0.477606 0.258512
0.854167 0.424395 0.260631
0.861111 0.37179 0.26275
0.868056 0.320669 0.264869
0.875 0.27231 0.266988
0.881944 0.228839 0.269106
0.888889 0.193867 0.271225
0.895833 0.172884 0.273344
0.902778 0.171463 0.275463
0.909722 0.190502 0.277582
0.916667 0.225449 0.279701
0.923611 0.270904 0.28182
0.930556 0.32324 0.283939
0.9375 0.380433 0.286058
0.944444 0.441422 0.288177
0.951389 0.505641 0.290296
0.958333 0.572744 0.292415
0.965278 0.642495 0.294534
0.972222 0.714679 0.296653
0.979167 0.789056 0.298772
0.986111 0.86535 0.300891
0.993056 0.943248 0.30301
1 1.02237 0.305129
1.00694 1.10228 0.307248
1.01389 1.18254 0.309367
1.02083 1.26263 0.311485
1.02778 1.34203 0.313604
1.03472 1.42021 0.315723
1.04167 1.49662 0.317842
1.04861 1.57072 0.319961
1.05556 1.64199 0.32208
1.0625 1.70994 0.324199
1.06944 1.7741 0.326318
1.07639 1.83408 0.328437
1.08333 1.88949 0.330556
1.09028 1.94004 0.332675
1.09722 1.98548 0.334794
1.10417 2.02564 0.336913
1.11111 2.0604 0.339032
1.11806 2.08974 0.341151
1.125 2.11368 0.34327
1.13194 2.13233 0.345389
1.13889 2.14588 0.347508
1.14583 2.15455 0.349627
1.15278 2.15867 0.351746
1.15972 2.15859 0.353864
1.16667 2.15473 0.355983
1.17361 2.14753 0.358102
1.18056 2.13752 0.360221
1.1875 2.12518 0.36234
1.19444 2.11108 0.364459
1.20139 2.09577 0.366578
1.20833 2.07976 0.368697
1.21528 2.06362 0.370816
1.22222 2.04782 0.372935
1.22917 2.03283 0.375054
1.23611 2.01905 0.377173
1.24306 2.00683 0.379292
1.25 1.99644 0.381411
1.25694 1.98807 0.38353
1.26389 1.98183 0.385649
1.27083 1.97773 0.387768
1.27778 1.97569 0.389887
1.28472 1.97556 0.392006
1.29167 1.9771 0.394124
1.29861 1.97998 0.396243
1.30556 1.98384 0.398362
1.3125 1.98825 0.400481
1.31944 1.99273 0.4026
1.32639 1.99682 0.404719
1.33333 1.99999 0.406838
1.34028 2.00174 0.408957
1.34722 2.00159 0.411076
1.35417 1.99905 0.413195
1.36111 1.99368 0.415314
1.36806 1.9851 0.417433
1.375 1.97295 0.419552
1.38194 1.95692 0.421671
1.38889 1.93682 0.42379
1.39583 1.91246 0.425909
1.40278 1.88376 0.428028
1.40972 1.85071 0.430147
1.41667 1.81339 0.432266
1.42361 1.77193 0.434385
1.43056 1.72658 0.436503
1.4375 1.67763 0.438622
1.44444 1.62549 0.440741
1.45139 1.57065 0.44286
1.45833 1.51366 0.444979
1.46528 1.45516 0.447098
1.47222 1.39592 0.449217
1.47917 1.33675 0.451336
1.48611 1.27858 0.453455
1.49306 1.22247 0.455574
1.5 1.16954 0.457693
1.50694 1.12104 0.459812
1.51389 1.07832 0.461931
1.52083 1.04273 0.46405
1.52778 1.01562 0.466169
1.53472 0.998215 0.468288
1.54167 0.991497 0.470407
1.54861 0.996115 0.472526
1.55556 1.01233 0.474645
1.5625 1.03996 0.476763
1.56944 1.07845 0.478882
1.57639 1.127 0.481001
1.58333 1.18462 0.48312
1.59028 1.25024 0.485239
1.59722 1.32282 0.487358
1.60417 1.40131 0.489477
1.61111 1.48475 0.491596
1.61806 1.57221 0.493715
1.625 1.66282 0.495834
1.63194 1.75574 0.497953
1.63889 1.85018 0.500072
1.64583 1.94536 0.502191
1.65278 2.04054 0.50431
1.65972 2.13496 0.506429
1.66667 2.22794 0.508548
1.67361 2.31876 0.510667
1.68056 2.40678 0.512786
1.6875 2.49137 0.514905
1.69444 2.57195 0.517024
1.70139 2.64798 0.519142
1.70833 2.71898 0.521261
1.71528 2.78453 0.52338
1.72222 2.84428 0.525499
1.72917 2.89793 0.527618
1.73611 2.94528 0.529737
1.74306 2.9862 0.531856
1.75 3.02063 0.533975
1.75694 3.0486 0.536094
1.76389 3.07023 0.538213
1.77083 3.08569 0.540332
1.77778 3.09525 0.542451
1.78472 3.09924 0.54457
1.79167 3.09806 0.546689
1.79861 3.09216 0.548808
1.80556 3.08205 0.550927
1.8125 3.06828 0.553046
1.81944 3.05143 0.555165
1.82639 3.03208 0.557284
1.83333 3.01092 0.559402
1.84028 2.98854 0.561521
1.84722 2.96553 0.56364
1.85417 2.94249 0.565759
1.86111 2.91995 0.567878
1.86806 2.89842 0.569997
1.875 2.87833 0.572116
1.88194 2.86003 0.574235
1.88889 2.84381 0.576354
1.89583 2.82987 0.578473
1.90278 2.8183 0.580592
1.90972 2.8091 0.582711
1.91667 2.8022 0.58483
1.92361 2.79739 0.586949
1.93056 2.79443 0.589068
1.9375 2.79296 0.591187
1.94444 2.79258 0.593306
1.95139 2.79284 0.595425
1.95833 2.79321 0.597544
1.96528 2.79318 0.599663
1.97222 2.7922 0.601781
1.97917 2.78972 0.6039
1.98611 2.78521 0.606019
1.99306 2.77817 0.608138
2 2.76811 0.610257
2.00694 2.75462 0.612376
2.01389 2.73733 0.614495
2.02083 2.71593 0.616614
2.02778 2.6902 0.618733
2.03472 2.65999 0.620852
2.04167 2.62523 0.622971
2.04861 2.58594 0.62509
2.05556 2.54226 0.627209
2.0625 2.49439 0.629328
2.06944 2.44263 0.631447
2.07639 2.38741 0.633566
2.08333 2.32923 0.635685
2.09028 2.26869 0.637804
2.09722 2.2065 0.639923
2.10417 2.14346 0.642041
2.11111 2.08046 0.64416
2.11806 2.0185 0.646279
2.125 1.95863 0.648398
2.13194 1.902 0.650517
2.13889 1.84984 0.652636
2.14583 1.80337 0.654755
2.15278 1.76384 0.656874
2.15972 1.73244 0.658993
2.16667 1.71028 0.661112
2.17361 1.69829 0.663231
2.18056 1.69722 0.66535
2.1875 1.70753 0.667469
2.19444 1.72941 0.669588
2.20139 1.76275 0.671707
2.20833 1.80717 0.673826
2.21528 1.86205 0.675945
2.22222 1.92662 0.678064
2.22917 1.99996 0.680183
2.23611 2.08108 0.682302
2.24306 2.16897 0.68442
2.25 2.26256 0.686539
2.25694 2.36082 0.688658
2.26389 2.46274 0.690777
2.27083 2.5673 0.692896
2.27778 2.67352 0.695015
2.28472 2.78046 0.697134
2.29167 2.88718 0.699253
2.29861 2.9928 0.701372
2.30556 3.09646 0.703491
2.3125 3.19733 0.70561
2.31944 3.29465 0.707729
2.32639 3.3877 0.709848
2.33333 3.47581 0.711967
2.34028 3.5584 0.714086
2.34722 3.63492 0.716205
2.35417 3.70493 0.718324
2.36111 3.76805 0.720443
2.36806 3.824 0.722562
2.375 3.87258 0.72468
2.38194 3.91367 0.726799
2.38889 3.94726 0.728918
2.39583 3.97341 0.731037
2.40278 3.99229 0.733156
2.40972 4.00414 0.735275
2.41667 4.00927 0.737394
2.42361 4.0081 0.739513
2.43056 4.00108 0.741632
2.4375 3.98875 0.743751
2.44444 3.97168 0.74587
2.45139 3.95051 0.747989
2.45833 3.92587 0.750108
2.46528 3.89845 0.752227
2.47222 3.86894 0.754346
2.47917 3.838 0.756465
2.48611 3.8063 0.758584
2.49306 3.77447 0.760703
2.5 3.74309 0.762822
2.50694 3.71269 0.764941
2.51389 3.68374 0.767059
2.52083 3.65663 0.768067
2.52778 3.63164 0.766848
2.53472 3.60901 0.76563
2.54167 3.58882 0.764412
2.54861 3.5711 0.763193
2.55556 3.55577 0.761975
2.5625 3.54263 0.760757
2.56944 3.53143 0.759538
2.57639 3.52182 0.75832
2.58333 3.51339 0.757102
2.59028 3.50567 0.755883
2.59722 3.49816 0.754665
2.60417 3.4903 0.753446
2.61111 3.48153 0.752228
2.61806 3.47133 0.75101
2.625 3.45912 0.749791
2.63194 3.44441 0.748573
2.63889 3.42672 0.747355
2.64583 3.40562 0.746136
2.65278 3.38075 0.744918
2.65972 3.35184 0.7437
2.66667 3.31866 0.742481
2.67361 3.2811 0.741263
