time error errTLE
0 0 0
0.00694444 0.0510723 0.052799
0.0138889 0.188918 0.105598
0.0208333 0.389064 0.158397
0.0277778 0.660608 0.211196
0.0347222 0.948453 0.263995
0.0416667 1.17175 0.316794
0.0486111 1.27413 0.369593
0.0555556 1.24772 0.422392
0.0625 1.13836 0.475191
0.0694444 1.05081 0.52799
0.0763889 1.08148 0.580789
0.0833333 1.27356 0.633588
0.0902778 1.60507 0.686387
0.0972222 2.00326 0.739186
0.104167 2.35213 0.791985
0.111111 2.55152 0.844784
0.118056 2.55334 0.897583
0.125 2.39072 0.950382
0.131944 2.18003 1.00318
0.138889 2.07335 1.05598
0.145833 2.17424 1.10878
0.152778 2.48624 1.16158
0.159722 2.95215 1.21438
0.166667 3.43479 1.26718
0.173611 3.78111 1.31997
0.180556 3.88538 1.37277
0.1875 3.73817 1.42557
0.194444 3.43614 1.47837
0.201389 3.16906 1.53117
0.208333 3.11097 1.58397
0.215278 3.3365 1.63677
0.222222 3.80522 1.68957
0.229167 4.39314 1.74237
0.236111 4.90922 1.79517
0.243056 5.18374 1.84796
0.25 5.13362 1.90076
0.256944 4.81224 1.95356
0.263889 4.40169 2.00636
0.270833 4.14438 2.05916
0.277778 4.20576 2.11196
0.284722 4.59841 2.16476
0.291667 5.23026 2.21756
0.298611 5.90229 2.27036
0.305556 6.38572 2.32316
0.3125 6.51623 2.37595
0.319444 6.26898 2.42875
0.326389 5.78067 2.48155
0.333333 5.32151 2.53435
0.340278 5.15189 2.58715
0.347222 5.38946 2.63995
0.354167 5.97808 2.69275
0.361111 6.74999 2.74555
0.368056 7.4442 2.79835
0.375 7.81772 2.85114
0.381944 7.74236 2.90394
0.388889 7.27899 2.95674
0.395833 6.6671 3.00954
0.402778 6.24008 3.03967
0.409722 6.23667 3.05891
0.416667 6.6889 3.07815
0.423611 7.47379 3.09739
0.430556 8.33726 3.11662
0.4375 8.9759 3.13586
0.444444 9.16001 3.1551
0.451389 8.83692 3.17433
0.458333 8.17235 3.19357
0.465278 7.51137 3.21281
0.472222 7.20682 3.23205
0.479167 7.43119 3.25128
0.486111 8.12114 3.27052
0.493056 9.07029 3.28976
0.5 9.95204 3.309
0.506944 10.4479 3.32823
0.513889 10.3753 3.34747
0.520833 9.78943 3.36671
0.527778 8.97802 3.38594
0.534722 8.36423 3.40518
0.541667 8.2701 3.42442
0.548611 8.75917 3.44366
0.555556 9.68256 3.46289
0.5625 10.7372 3.48213
0.569444 11.5472 3.50137
