time error errTLE
0 0 0
0.00694444 0.0510716 0.052799
0.0138889 0.188884 0.105598
0.0208333 0.388908 0.158397
0.0277778 0.660195 0.211196
0.0347222 0.94763 0.263995
0.0416667 1.17041 0.316794
0.0486111 1.2722 0.369593
0.0555556 1.24521 0.422392
0.0625 1.13525 0.475191
0.0694444 1.04685 0.52799
0.0763889 1.07619 0.580789
0.0833333 1.26644 0.633588
0.0902778 1.59579 0.686387
0.0972222 1.99175 0.739186
0.104167 2.33859 0.791985
0.111111 2.5363 0.844784
0.118056 2.53678 0.897583
0.125 2.37301 0.950382
0.131944 2.16096 1.00318
0.138889 2.05225 1.05598
0.145833 2.15015 1.10878
0.152778 2.45825 1.16158
0.159722 2.91987 1.21438
0.166667 3.3985 1.26718
0.173611 3.74158 1.31997
0.180556 3.8434 1.37277
0.1875 3.69431 1.42557
0.194444 3.39047 1.47837
0.201389 3.12097 1.53117
0.208333 3.05932 1.58397
0.215278 3.27982 1.63677
0.222222 3.74233 1.68957
0.229167 4.32396 1.74237
0.236111 4.83469 1.79517
0.243056 5.10519 1.84796
0.25 5.05215 1.90076
0.256944 4.72836 1.95356
0.263889 4.31511 2.00636
0.270833 4.05399 2.05916
0.277778 4.10991 2.11196
0.284722 4.49509 2.16476
0.291667 5.11838 2.21756
0.298611 5.78251 2.27036
0.305556 6.25978 2.32316
0.3125 6.3859 2.37595
0.319444 6.13536 2.42875
0.326389 5.64393 2.48155
0.333333 5.18085 2.53435
0.340278 5.00575 2.58715
0.347222 5.2355 2.63995
0.354167 5.81389 2.69275
0.361111 6.57516 2.74555
0.368056 7.26044 2.79835
0.375 7.62752 2.85114
0.381944 7.54761 2.90394
0.388889 7.08046 2.95674
0.395833 6.46443 3.00954
0.402778 6.03198 3.03967
0.409722 6.02108 3.05891
0.416667 6.46256 3.07815
0.423611 7.23449 3.09739
0.430556 8.08581 3.11662
0.4375 8.71519 3.13586
0.444444 8.89291 3.1551
0.451389 8.56509 3.17433
0.458333 7.89596 3.19357
0.465278 7.2295 3.21281
0.472222 6.91784 3.23205
0.479167 7.13208 3.25128
0.486111 7.80792 3.27052
0.493056 8.74179 3.28976
0.5 9.61074 3.309
0.506944 10.0976 3.32823
0.513889 10.0188 3.34747
0.520833 9.4277 3.36671
0.527778 8.61057 3.38594
0.534722 7.98979 3.40518
0.541667 7.88654 3.42442
0.548611 8.36203 3.44366
0.555556 9.26796 3.46289
0.5625 10.3059 3.48213
0.569444 11.1032 3.50137
0.576389 11.3594 3.52061
0.583333 10.9802 3.53984
0.590278 10.1464 3.55908
0.597222 9.2698 3.57832
0.604167 8.79934 3.59755
0.611111 8.97239 3.61679
0.618056 9.72619 3.63603
0.625 10.8235 3.65527
0.631944 11.8825 3.6745
0.638889 12.5105 3.69374
0.645833 12.4612 3.71298
0.652778 11.7681 3.73222
0.659722 10.7549 3.75145
0.666667 9.93098 3.77069
0.673611 9.71012 3.78993
0.680556 10.1962 3.80917
0.6875 11.22 3.8284
0.694444 12.4413 3.84764
0.701389 13.4201 3.86688
0.708333 13.7806 3.88611
0.715278 13.3773 3.90535
0.722222 12.3949 3.92459
0.729167 11.3043 3.94383
0.736111 10.6542 3.96306
0.743056 10.7598 3.9823
0.75 11.5712 4.00154
0.756944 12.8206 4.02078
0.763889 14.0732 4.04001
0.770833 14.8619 4.05925
0.777778 14.8704 4.07849
0.784722 14.0991 4.09772
0.791667 12.8983 4.11696
0.798611 11.8591 4.1362
0.805556 11.4959 4.15544
0.8125 11.9682 4.17467
0.819444 13.0924 4.19391
0.826389 14.4916 4.21315
0.833333 15.6623 4.23239
0.840278 16.1515 4.25162
0.847222 15.7525 4.27086
0.854167 14.6403 4.2901
0.861111 13.3354 4.30933
0.868056 12.4863 4.32857
0.875 12.4981 4.34781
0.881944 13.3457 4.36705
0.888889 14.7341 4.38628
0.895833 16.1811 4.40552
0.902778 17.1476 4.42476
0.909722 17.2416 4.444
0.916667 16.4181 4.46323
0.923611 15.0414 4.48247
0.930556 13.7775 4.50171
0.9375 13.2479 4.52095
0.944444 13.6812 4.54018
0.951389 14.8872 4.55942
0.958333 16.4565 4.57866
0.965278 17.827 4.59789
0.972222 18.4675 4.61713
0.979167 18.1017 4.63637
0.986111 16.8812 4.65561
0.993056 15.365 4.67484
1 14.2997 4.69408
1.00694 14.1912 4.71332
1.01389 15.0527 4.73256
1.02083 16.5651 4.75179
1.02778 18.2046 4.77103
1.03472 19.3635 4.79027
1.04167 19.5701 4.8095
1.04861 18.7218 4.82874
1.05556 17.1842 4.84798
1.0625 15.6895 4.88341
1.06944 14.9705 5.02064
1.07639 15.3386 5.15787
1.08333 16.6068 5.2951
1.09028 18.3363 5.43233
1.09722 19.9117 5.56955
1.10417 20.7242 5.70678
1.11111 20.4206 5.84401
1.11806 19.1156 5.98124
1.125 17.3948 6.11847
1.13194 16.0983 6.2557
1.13889 15.8431 6.39293
1.14583 16.6952 6.53015
1.15278 18.3153 6.66738
1.15972 20.1431 6.80461
1.16667 21.5063 6.94184
1.17361 21.8512 7.07907
1.18056 21.0066 7.2163
