time error errTLE
0 0 0
0.00694444 0.0418364 0.00385908
0.0138889 0.0836731 0.00771815
0.0208333 0.125431 0.0115772
0.0277778 0.16703 0.0154363
0.0347222 0.208396 0.0192954
0.0416667 0.249458 0.0231545
0.0486111 0.29015 0.0270135
0.0555556 0.330416 0.0308726
0.0625 0.370211 0.0347317
0.0694444 0.409499 0.0385908
0.0763889 0.448258 0.0424498
0.0833333 0.486483 0.0463089
0.0902778 0.524183 0.050168
0.0972222 0.56139 0.0540271
0.104167 0.598153 0.0578861
0.111111 0.634546 0.0617452
0.118056 0.670666 0.0656043
0.125 0.706636 0.0694634
0.131944 0.742602 0.0733224
0.138889 0.778742 0.0771815
0.145833 0.815258 0.0810406
0.152778 0.852377 0.0848997
0.159722 0.890352 0.0887587
0.166667 0.929459 0.0926178
0.173611 0.969993 0.0964769
0.180556 1.01226 0.100336
0.1875 1.0566 0.104195
0.194444 1.10332 0.108054
0.201389 1.15276 0.111913
0.208333 1.20524 0.115772
0.215278 1.26109 0.119631
0.222222 1.32059 0.12349
0.229167 1.38403 0.12735
0.236111 1.45166 0.131209
0.243056 1.52372 0.135068
0.25 1.6004 0.138927
0.256944 1.68187 0.142786
0.263889 1.76828 0.146645
0.270833 1.85974 0.150504
0.277778 1.95632 0.154363
0.284722 2.05809 0.158222
0.291667 2.16508 0.162081
0.298611 2.27727 0.16594
0.305556 2.39467 0.169799
0.3125 2.51722 0.173658
0.319444 2.64488 0.177517
0.326389 2.77756 0.181377
0.333333 2.91516 0.185236
0.340278 3.0576 0.189095
0.347222 3.20473 0.192954
0.354167 3.35643 0.196813
0.361111 3.51256 0.200672
0.368056 3.67295 0.204531
0.375 3.83745 0.20839
0.381944 4.00587 0.212249
0.388889 4.17802 0.216108
0.395833 4.35373 0.219967
0.402778 4.53279 0.223826
0.409722 4.71498 0.227685
0.416667 4.90011 0.231545
0.423611 5.08795 0.235404
0.430556 5.27828 0.239263
0.4375 5.47087 0.243122
0.444444 5.66549 0.246981
0.451389 5.86191 0.25084
