time error errTLE
0 0 0
0.00694444 0.0417086 0.00385908
0.0138889 0.0832101 0.00771815
0.0208333 0.124498 0.0115772
0.0277778 0.165565 0.0154363
0.0347222 0.206409 0.0192954
0.0416667 0.247027 0.0231545
0.0486111 0.287422 0.0270135
0.0555556 0.327598 0.0308726
0.0625 0.367564 0.0347317
0.0694444 0.407333 0.0385908
0.0763889 0.446924 0.0424498
0.0833333 0.486362 0.0463089
0.0902778 0.525679 0.050168
0.0972222 0.564916 0.0540271
0.104167 0.604123 0.0578861
0.111111 0.643364 0.0617452
0.118056 0.682715 0.0656043
0.125 0.722268 0.0694634
0.131944 0.762133 0.0733224
0.138889 0.80244 0.0771815
0.145833 0.843342 0.0810406
0.152778 0.885016 0.0848997
0.159722 0.927666 0.0887587
0.166667 0.971527 0.0926178
0.173611 1.01686 0.0964769
0.180556 1.06396 0.100336
0.1875 1.11315 0.104195
0.194444 1.16479 0.108054
0.201389 1.21925 0.111913
0.208333 1.27696 0.115772
0.215278 1.33833 0.119631
0.222222 1.40383 0.12349
0.229167 1.4739 0.12735
0.236111 1.54902 0.131209
0.243056 1.62964 0.135068
0.25 1.71624 0.138927
0.256944 1.80926 0.142786
0.263889 1.90912 0.146645
0.270833 2.01623 0.150504
0.277778 2.13096 0.154363
0.284722 2.25367 0.158222
0.291667 2.38465 0.162081
0.298611 2.52419 0.16594
0.305556 2.67251 0.169799
0.3125 2.82982 0.173658
0.319444 2.99628 0.177517
0.326389 3.17199 0.181377
0.333333 3.35704 0.185236
0.340278 3.55148 0.189095
0.347222 3.75529 0.192954
0.354167 3.96845 0.196813
0.361111 4.19089 0.200672
0.368056 4.42248 0.204531
0.375 4.6631 0.20839
0.381944 4.91254 0.212249
0.388889 5.1706 0.216108
0.395833 5.43703 0.219967
0.402778 5.71155 0.223826
0.409722 5.99383 0.227685
0.416667 6.28354 0.231545
0.423611 6.58029 0.235404
0.430556 6.88369 0.239263
0.4375 7.1933 0.243122
0.444444 7.50867 0.246981
0.451389 7.82932 0.25084
0.458333 8.15474 0.254699
0.465278 8.48442 0.258558
0.472222 8.81781 0.262417
0.479167 9.15436 0.266276
0.486111 9.49349 0.270135
0.493056 9.83463 0.273994
0.5 10.1772 0.277853
0.506944 10.5206 0.281569
0.513889 10.8641 0.285216
0.520833 11.2073 0.288863
0.527778 11.5495 0.29251
0.534722 11.8901 0.296156
0.541667 12.2286 0.299803
0.548611 12.5642 0.30345
0.555556 12.8965 0.307097
0.5625 13.2248 0.310744
0.569444 13.5487 0.314391
0.576389 13.8676 0.318038
0.583333 14.1809 0.321685
0.590278 14.4883 0.325332
0.597222 14.7891 0.328979
0.604167 15.083 0.332626
0.611111 15.3696 0.336273
