time error errTLE
0 0 0
0.00694444 0.0424597 0.00385908
0.0138889 0.086193 0.00771815
0.0208333 0.131159 0.0115772
0.0277778 0.177316 0.0154363
0.0347222 0.224624 0.0192954
0.0416667 0.273052 0.0231545
0.0486111 0.322576 0.0270135
0.0555556 0.373187 0.0308726
0.0625 0.424896 0.0347317
0.0694444 0.477732 0.0385908
0.0763889 0.531752 0.0424498
0.0833333 0.587044 0.0463089
0.0902778 0.643728 0.050168
0.0972222 0.701966 0.0540271
0.104167 0.761957 0.0578861
0.111111 0.823948 0.0617452
0.118056 0.888228 0.0656043
0.125 0.955136 0.0694634
0.131944 1.02505 0.0733224
0.138889 1.0984 0.0771815
0.145833 1.17565 0.0810406
0.152778 1.25728 0.0848997
0.159722 1.34384 0.0887587
0.166667 1.43585 0.0926178
0.173611 1.53388 0.0964769
0.180556 1.63846 0.100336
0.1875 1.75016 0.104195
0.194444 1.86949 0.108054
0.201389 1.99695 0.111913
0.208333 2.13302 0.115772
0.215278 2.27812 0.119631
0.222222 2.43264 0.12349
0.229167 2.59691 0.12735
0.236111 2.77122 0.131209
0.243056 2.95579 0.135068
0.25 3.15079 0.138927
0.256944 3.35635 0.142786
0.263889 3.57253 0.146645
0.270833 3.79932 0.150504
0.277778 4.03667 0.154363
0.284722 4.28448 0.158222
0.291667 4.54257 0.162081
0.298611 4.81075 0.16594
0.305556 5.08872 0.169799
0.3125 5.37618 0.173658
0.319444 5.67276 0.177517
0.326389 5.97805 0.181377
0.333333 6.29157 0.185236
0.340278 6.61282 0.189095
0.347222 6.94127 0.192954
0.354167 7.27632 0.196813
0.361111 7.61736 0.200672
0.368056 7.96374 0.204531
0.375 8.31477 0.20839
0.381944 8.66975 0.212249
0.388889 9.02795 0.216108
0.395833 9.38861 0.219967
0.402778 9.75098 0.223826
0.409722 10.1143 0.227685
0.416667 10.4777 0.231545
0.423611 10.8405 0.235404
0.430556 11.2019 0.239263
0.4375 11.5611 0.243122
0.444444 11.9173 0.246981
0.451389 12.2698 0.25084
0.458333 12.6178 0.254699
0.465278 12.9607 0.258558
0.472222 13.2977 0.262417
0.479167 13.6282 0.266276
0.486111 13.9515 0.270135
0.493056 14.2672 0.273994
0.5 14.5745 0.277853
0.506944 14.8731 0.281569
0.513889 15.1625 0.285216
0.520833 15.4423 0.288863
0.527778 15.7121 0.29251
0.534722 15.9717 0.296156
0.541667 16.2208 0.299803
0.548611 16.4591 0.30345
0.555556 16.6867 0.307097
0.5625 16.9033 0.310744
0.569444 17.109 0.314391
0.576389 17.3038 0.318038
0.583333 17.4877 0.321685
0.590278 17.661 0.325332
0.597222 17.8239 0.328979
0.604167 17.9764 0.332626
0.611111 18.1189 0.336273
0.618056 18.2518 0.33992
0.625 18.3754 0.343567
0.631944 18.49 0.347214
0.638889 18.5961 0.350861
0.645833 18.6941 0.354508
0.652778 18.7846 0.358155
0.659722 18.8679 0.361802
0.666667 18.9445 0.365449
0.673611 19.0151 0.369096
0.680556 19.08 0.372742
0.6875 19.1399 0.376389
0.694444 19.1951 0.380036
0.701389 19.2462 0.383683
0.708333 19.2938 0.38733
0.715278 19.3381 0.390977
0.722222 19.3798 0.394624
0.729167 19.4192 0.398271
0.736111 19.4568 0.401918
0.743056 19.4929 0.405565
0.75 19.5278 0.409212
0.756944 19.5618 0.412859
0.763889 19.5954 0.416506
0.770833 19.6286 0.420153
0.777778 19.6617 0.4238
0.784722 19.695 0.427447
0.791667 19.7284 0.431094
0.798611 19.7622 0.434741
0.805556 19.7964 0.438388
0.8125 19.831 0.442035
0.819444 19.866 0.445682
0.826389 19.9015 0.449328
0.833333 19.9373 0.452975
0.840278 19.9735 0.456622
0.847222 20.0098 0.460269
0.854167 20.0462 0.463916
0.861111 20.0824 0.467563
0.868056 20.1185 0.47121
0.875 20.1541 0.474857
0.881944 20.1891 0.478504
0.888889 20.2232 0.482151
0.895833 20.2564 0.485798
0.902778 20.2883 0.489445
0.909722 20.3188 0.493092
0.916667 20.3477 0.496739
0.923611 20.3747 0.500386
0.930556 20.3997 0.504033
0.9375 20.4226 0.50768
0.944444 20.443 0.511327
0.951389 20.461 0.514974
0.958333 20.4763 0.518621
