time error errTLE
0 0 0
0.0347222 0.209048 0.0192954
0.0694444 0.417255 0.0385908
0.104167 0.623636 0.0578861
0.138889 0.827659 0.0771815
0.173611 1.02923 0.0964769
0.208333 1.22862 0.115772
0.243056 1.42624 0.135068
0.277778 1.62249 0.154363
0.3125 1.81754 0.173658
0.347222 2.01124 0.192954
0.381944 2.20315 0.212249
0.416667 2.39272 0.231545
0.451389 2.57952 0.25084
0.486111 2.76362 0.270135
0.520833 2.94581 0.288863
0.555556 3.12773 0.307097
0.590278 3.31188 0.325332
0.625 3.50127 0.343567
0.659722 3.69897 0.361802
0.694444 3.90749 0.380036
0.729167 4.12825 0.398271
0.763889 4.36124 0.416506
0.798611 4.60488 0.434741
0.833333 4.85627 0.452975
0.868056 5.11161 0.47121
0.902778 5.36686 0.489445
0.9375 5.61834 0.50768
0.972222 5.86332 0.525914
1.00694 6.10042 0.544261
1.04167 6.32983 0.567487
1.07639 6.55321 0.590713
1.11111 6.77337 0.613939
1.14583 6.99366 0.637165
1.18056 7.2173 0.660391
1.21528 7.44657 0.683617
1.25 7.68227 0.706843
1.28472 7.92342 0.730069
1.31944 8.16737 0.753295
1.35417 8.41035 0.776521
1.38889 8.64819 0.799747
1.42361 8.8774 0.822973
1.45833 9.096 0.844745
1.49306 9.30429 0.86583
1.52778 9.50513 0.886915
1.5625 9.70382 0.908
1.59722 9.90739 0.929085
1.63194 10.1235 0.95017
1.66667 10.3588 0.971256
1.70139 10.6179 0.992341
1.73611 10.9022 1.01343
1.77083 11.2092 1.03451
1.80556 11.533 1.0556
1.84028 11.8655 1.07668
1.875 12.1972 1.09777
1.90972 12.5192 1.11885
1.94444 12.8245 1.13059
1.97917 13.1089 1.1362
2.01389 13.3718 1.1418
2.04861 13.6162 1.1474
2.08333 13.8479 1.15301
2.11806 14.0751 1.15861
2.15278 14.3061 1.16421
2.1875 14.548 1.16982
2.22222 14.8053 1.17542
2.25694 15.0784 1.18102
2.29167 15.3641 1.18663
2.32639 15.6557 1.19223
2.36111 15.9445 1.19784
2.39583 16.2218 1.20344
2.43056 16.4806 1.20904
2.46528 16.7177 1.21465
2.5 16.9342 1.22025
2.53472 17.1365 1.22585
2.56944 17.335 1.23146
2.60417 17.5431 1.23706
2.63889 17.7745 1.24267
2.67361 18.0409 1.24827
2.70833 18.3494 1.25387
2.74306 18.7009 1.25948
2.77778 19.0898 1.26508
2.8125 19.5047 1.27068
2.84722 19.9305 1.27629
2.88194 20.3506 1.28189
2.91667 20.7499 1.28749
2.95139 21.117 1.2931
2.98611 21.4459 1.2987
3.02083 21.7367 1.35662
3.05556 21.9957 1.51136
3.09028 22.2339 1.66611
3.125 22.4652 1.82085
3.15972 22.704 1.97559
3.19444 22.9618 2.13034
3.22917 23.2454 2.28508
3.26389 23.5551 2.43982
3.29861 23.8847 2.59457
3.33333 24.2228 2.74931
3.36806 24.5551 2.90406
3.40278 24.8675 3.0588
3.4375 25.1492 3.21354
3.47222 25.3955 3.36829
3.50694 25.6088 3.52303
3.54167 25.7994 3.54723
3.57639 25.9841 3.45215
3.61111 26.1836 3.35706
3.64583 26.419 3.26197
3.68056 26.708 3.16689
3.71528 27.0608 3.0718
3.75 27.4786 2.97671
3.78472 27.9522 2.88163
3.81944 28.4642 2.78654
3.85417 28.9916 2.69146
3.88889 29.5097 2.59637
3.92361 29.9962 2.50128
3.95833 30.4344 2.4062
3.99306 30.8159 2.38235
4.02778 31.141 2.44133
4.0625 31.4192 2.50031
4.09722 31.6666 2.5593
4.13194 31.9035 2.61828
4.16667 32.1503 2.67726
4.20139 32.4235 2.73624
4.23611 32.7327 2.79523
4.27083 33.0779 2.85421
4.30556 33.4503 2.91319
4.34028 33.8334 2.97218
4.375 34.207 3.03116
4.40972 34.5516 3.09014
4.44444 34.8523 3.14912
4.47917 35.1024 3.20811
4.51389 35.3057 3.26709
4.54861 35.4766 3.32607
4.58333 35.6384 3.38506
4.61806 35.8197 3.44404
4.65278 36.0496 3.50302
4.6875 36.3524 3.562
4.72222 36.7426 3.62099
4.75694 37.2216 3.67997
4.79167 37.7777 3.73895
4.82639 38.3874 3.79794
4.86111 39.0197 3.85692
4.89583 39.6416 3.9159
4.93056 40.2229 3.97488
4.96528 40.7411 4.01485
5 41.1844 4.02881
5.03472 41.553 4.04277
5.06944 41.8586 4.05673
5.10417 42.1223 4.07069
5.13889 42.3702 4.08465
5.17361 42.6286 4.09861
5.20833 42.9193 4.11258
5.24306 43.2543 4.12654
5.27778 43.6341 4.1405
5.3125 44.0473 4.15446
5.34722 44.4731 4.16842
5.38194 44.8857 4.18238
5.41667 45.26 4.19634
5.45139 45.5771 4.2103
5.48611 45.8286 4.27573
5.52083 46.0191 4.34137
5.55556 46.167 4.40701
5.59028 46.3017 4.47264
5.625 46.4595 4.53828
5.65972 46.6777 4.60391
5.69444 46.9873 4.66955
5.72917 47.4072 4.73518
5.76389 47.9404 4.80082
5.79861 48.5728 4.86645
5.83333 49.2758 4.93209
5.86806 50.0113 4.99772
5.90278 50.7378 5.06336
5.9375 51.4178 5.12899
5.97222 52.0224 5.16247
6.00694 52.5361 5.15855
6.04167 52.9581 5.15463
6.07639 53.3017 5.15071
6.11111 53.5918 5.1468
6.14583 53.8594 5.14288
6.18056 54.1364 5.13896
6.21528 54.4488 5.13504
6.25 54.8115 5.13112
6.28472 55.2255 5.12721
6.31944 55.6774 5.12329
6.35417 56.1427 5.11937
6.38889 56.5909 5.11545
6.42361 56.9921 5.11154
6.45833 57.3238 5.11378
6.49306 57.5758 5.19055
6.52778 57.7536 5.26732
6.5625 57.879 5.34409
