time error errTLE
0 0 0
0.00694444 0.0418168 0.00385908
0.0138889 0.0836408 0.00771815
0.0208333 0.125462 0.0115772
0.0277778 0.167267 0.0154363
0.0347222 0.209048 0.0192954
0.0416667 0.250795 0.0231545
0.0486111 0.292496 0.0270135
0.0555556 0.334145 0.0308726
0.0625 0.375734 0.0347317
0.0694444 0.417255 0.0385908
0.0763889 0.458701 0.0424498
0.0833333 0.500067 0.0463089
0.0902778 0.541347 0.050168
0.0972222 0.582538 0.0540271
0.104167 0.623636 0.0578861
0.111111 0.664638 0.0617452
0.118056 0.705542 0.0656043
0.125 0.746348 0.0694634
0.131944 0.787053 0.0733224
0.138889 0.827659 0.0771815
0.145833 0.868166 0.0810406
0.152778 0.908574 0.0848997
0.159722 0.948887 0.0887587
0.166667 0.989106 0.0926178
0.173611 1.02923 0.0964769
0.180556 1.06927 0.100336
0.1875 1.10923 0.104195
0.194444 1.1491 0.108054
0.201389 1.1889 0.111913
0.208333 1.22862 0.115772
0.215278 1.26827 0.119631
0.222222 1.30785 0.12349
0.229167 1.34737 0.12735
0.236111 1.38683 0.131209
0.243056 1.42624 0.135068
0.25 1.46559 0.138927
0.256944 1.50489 0.142786
0.263889 1.54414 0.146645
0.270833 1.58334 0.150504
0.277778 1.62249 0.154363
0.284722 1.66159 0.158222
0.291667 1.70065 0.162081
0.298611 1.73966 0.16594
0.305556 1.77863 0.169799
0.3125 1.81754 0.173658
0.319444 1.8564 0.177517
0.326389 1.8952 0.181377
0.333333 1.93394 0.185236
0.340278 1.97263 0.189095
0.347222 2.01124 0.192954
0.354167 2.04978 0.196813
0.361111 2.08825 0.200672
0.368056 2.12664 0.204531
0.375 2.16494 0.20839
0.381944 2.20315 0.212249
0.388889 2.24127 0.216108
0.395833 2.27929 0.219967
0.402778 2.31721 0.223826
0.409722 2.35502 0.227685
0.416667 2.39272 0.231545
0.423611 2.43031 0.235404
0.430556 2.46778 0.239263
0.4375 2.50514 0.243122
0.444444 2.54239 0.246981
0.451389 2.57952 0.25084
0.458333 2.61655 0.254699
0.465278 2.65346 0.258558
0.472222 2.69028 0.262417
0.479167 2.727 0.266276
0.486111 2.76362 0.270135
0.493056 2.80017 0.273994
0.5 2.83665 0.277853
0.506944 2.87308 0.281569
0.513889 2.90946 0.285216
0.520833 2.94581 0.288863
0.527778 2.98214 0.29251
0.534722 3.01848 0.296156
0.541667 3.05485 0.299803
0.548611 3.09126 0.30345
0.555556 3.12773 0.307097
0.5625 3.16429 0.310744
0.569444 3.20096 0.314391
0.576389 3.23777 0.318038
0.583333 3.27473 0.321685
0.590278 3.31188 0.325332
0.597222 3.34924 0.328979
0.604167 3.38683 0.332626
0.611111 3.42469 0.336273
0.618056 3.46283 0.33992
0.625 3.50127 0.343567
0.631944 3.54006 0.347214
0.638889 3.57919 0.350861
0.645833 3.61872 0.354508
0.652778 3.65864 0.358155
0.659722 3.69897 0.361802
0.666667 3.73975 0.365449
0.673611 3.78097 0.369096
0.680556 3.82266 0.372742
0.6875 3.86483 0.376389
0.694444 3.90749 0.380036
0.701389 3.95064 0.383683
0.708333 3.99429 0.38733
0.715278 4.03844 0.390977
0.722222 4.0831 0.394624
0.729167 4.12825 0.398271
0.736111 4.1739 0.401918
0.743056 4.22004 0.405565
0.75 4.26665 0.409212
0.756944 4.31372 0.412859
0.763889 4.36124 0.416506
0.770833 4.4092 0.420153
0.777778 4.45756 0.4238
0.784722 4.50631 0.427447
0.791667 4.55543 0.431094
0.798611 4.60488 0.434741
0.805556 4.65465 0.438388
0.8125 4.70471 0.442035
0.819444 4.75501 0.445682
0.826389 4.80554 0.449328
0.833333 4.85627 0.452975
0.840278 4.90715 0.456622
0.847222 4.95816 0.460269
0.854167 5.00926 0.463916
0.861111 5.06042 0.467563
0.868056 5.11161 0.47121
0.875 5.16279 0.474857
0.881944 5.21394 0.478504
0.888889 5.26502 0.482151
0.895833 5.316 0.485798
0.902778 5.36686 0.489445
0.909722 5.41756 0.493092
0.916667 5.46808 0.496739
0.923611 5.5184 0.500386
0.930556 5.56849 0.504033
0.9375 5.61834 0.50768
0.944444 5.66792 0.511327
0.951389 5.71722 0.514974
0.958333 5.76623 0.518621
0.965278 5.81493 0.522268
0.972222 5.86332 0.525914
0.979167 5.91139 0.529561
0.986111 5.95913 0.533208
0.993056 6.00655 0.536855
1 6.05365 0.540502
1.00694 6.10042 0.544261
1.01389 6.14689 0.548906
1.02083 6.19305 0.553551
1.02778 6.23892 0.558196
1.03472 6.28451 0.562842
1.04167 6.32983 0.567487
1.04861 6.37491 0.572132
1.05556 6.41977 0.576777
1.0625 6.46442 0.581422
1.06944 6.5089 0.586068
1.07639 6.55321 0.590713
1.08333 6.5974 0.595358
1.09028 6.64148 0.600003
1.09722 6.68548 0.604648
1.10417 6.72943 0.609294
1.11111 6.77337 0.613939
1.11806 6.8173 0.618584
1.125 6.86128 0.623229
1.13194 6.90531 0.627874
1.13889 6.94943 0.63252
1.14583 6.99366 0.637165
1.15278 7.03803 0.64181
1.15972 7.08256 0.646455
1.16667 7.12727 0.6511
1.17361 7.17218 0.655746
1.18056 7.2173 0.660391
1.1875 7.26265 0.665036
1.19444 7.30825 0.669681
1.20139 7.3541 0.674326
1.20833 7.4002 0.678972
1.21528 7.44657 0.683617
1.22222 7.4932 0.688262
1.22917 7.54009 0.692907
1.23611 7.58724 0.697552
1.24306 7.63463 0.702198
1.25 7.68227 0.706843
1.25694 7.73012 0.711488
1.26389 7.77819 0.716133
1.27083 7.82644 0.720778
1.27778 7.87486 0.725424
1.28472 7.92342 0.730069
1.29167 7.97209 0.734714
1.29861 8.02086 0.739359
1.30556 8.06968 0.744004
1.3125 8.11853 0.74865
1.31944 8.16737 0.753295
1.32639 8.21618 0.75794
1.33333 8.26492 0.762585
1.34028 8.31354 0.76723
1.34722 8.36203 0.771876
1.35417 8.41035 0.776521
1.36111 8.45845 0.781166
1.36806 8.50632 0.785811
1.375 8.55392 0.790456
1.38194 8.60122 0.795102
1.38889 8.64819 0.799747
1.39583 8.69482 0.804392
1.40278 8.74107 0.809037
1.40972 8.78693 0.813682
1.41667 8.83237 0.818327
1.42361 8.8774 0.822973
1.43056 8.922 0.827618
1.4375 8.96615 0.832094
1.44444 9.00987 0.836311
1.45139 9.05315 0.840528
1.45833 9.096 0.844745
1.46528 9.13843 0.848962
1.47222 9.18045 0.853179
1.47917 9.22209 0.857396
1.48611 9.26335 0.861613
1.49306 9.30429 0.86583
1.5 9.34491 0.870047
1.50694 9.38527 0.874264
1.51389 9.42539 0.878481
1.52083 9.46533 0.882698
1.52778 9.50513 0.886915
1.53472 9.54483 0.891132
1.54167 9.5845 0.895349
1.54861 9.62418 0.899566
1.55556 9.66394 0.903783
1.5625 9.70382 0.908
1.56944 9.7439 0.912217
1.57639 9.78424 0.916434
1.58333 9.82489 0.920651
1.59028 9.86592 0.924868
1.59722 9.90739 0.929085
1.60417 9.94937 0.933302
1.61111 9.99191 0.937519
1.61806 10.0351 0.941736
1.625 10.0789 0.945953
1.63194 10.1235 0.95017
1.63889 10.1688 0.954387
1.64583 10.215 0.958604
1.65278 10.262 0.962822
1.65972 10.3099 0.967039
1.66667 10.3588 0.971256
1.67361 10.4086 0.975473
1.68056 10.4594 0.97969
1.6875 10.5113 0.983907
1.69444 10.5641 0.988124
1.70139 10.6179 0.992341
1.70833 10.6728 0.996558
1.71528 10.7287 1.00077
1.72222 10.7856 1.00499
1.72917 10.8434 1.00921
1.73611 10.9022 1.01343
1.74306 10.9619 1.01764
1.75 11.0225 1.02186
1.75694 11.084 1.02608
1.76389 11.1462 1.03029
1.77083 11.2092 1.03451
