time error errTLE
0 0 0
0.00694444 0.042551 0.00385908
0.0138889 0.086485 0.00771815
0.0208333 0.131642 0.0115772
0.0277778 0.177845 0.0154363
0.0347222 0.224908 0.0192954
0.0416667 0.272638 0.0231545
0.0486111 0.320828 0.0270135
0.0555556 0.369272 0.0308726
0.0625 0.417759 0.0347317
0.0694444 0.466076 0.0385908
0.0763889 0.514013 0.0424498
0.0833333 0.561365 0.0463089
0.0902778 0.607931 0.050168
0.0972222 0.653522 0.0540271
0.104167 0.697961 0.0578861
0.111111 0.741084 0.0617452
0.118056 0.782746 0.0656043
0.125 0.822824 0.0694634
0.131944 0.861217 0.0733224
0.138889 0.897851 0.0771815
0.145833 0.932685 0.0810406
0.152778 0.965704 0.0848997
0.159722 0.996933 0.0887587
0.166667 1.02643 0.0926178
0.173611 1.05431 0.0964769
0.180556 1.08069 0.100336
0.1875 1.10576 0.104195
0.194444 1.12974 0.108054
0.201389 1.1529 0.111913
0.208333 1.17552 0.115772
0.215278 1.19793 0.119631
0.222222 1.22047 0.12349
0.229167 1.24352 0.12735
0.236111 1.26743 0.131209
0.243056 1.29256 0.135068
0.25 1.31927 0.138927
0.256944 1.34785 0.142786
0.263889 1.37857 0.146645
0.270833 1.41164 0.150504
0.277778 1.4472 0.154363
0.284722 1.48532 0.158222
0.291667 1.52599 0.162081
0.298611 1.56913 0.16594
0.305556 1.61457 0.169799
0.3125 1.66208 0.173658
0.319444 1.71137 0.177517
0.326389 1.76208 0.181377
0.333333 1.8138 0.185236
0.340278 1.86609 0.189095
0.347222 1.91846 0.192954
0.354167 1.97043 0.196813
0.361111 2.02146 0.200672
0.368056 2.07104 0.204531
0.375 2.11863 0.20839
0.381944 2.16371 0.212249
0.388889 2.20577 0.216108
0.395833 2.24432 0.219967
0.402778 2.27887 0.223826
0.409722 2.30899 0.227685
0.416667 2.33425 0.231545
0.423611 2.35429 0.235404
0.430556 2.36876 0.239263
0.4375 2.37737 0.243122
0.444444 2.37989 0.246981
0.451389 2.37614 0.25084
0.458333 2.366 0.254699
0.465278 2.34943 0.258558
0.472222 2.32646 0.262417
0.479167 2.29722 0.266276
0.486111 2.2619 0.270135
0.493056 2.22084 0.273994
0.5 2.17447 0.277853
0.506944 2.12337 0.281569
0.513889 2.06826 0.285216
0.520833 2.01003 0.288863
0.527778 1.9498 0.29251
0.534722 1.88885 0.296156
0.541667 1.82874 0.299803
0.548611 1.77125 0.30345
0.555556 1.71841 0.307097
0.5625 1.67246 0.310744
0.569444 1.63573 0.314391
0.576389 1.61058 0.318038
0.583333 1.59914 0.321685
0.590278 1.60312 0.325332
0.597222 1.62364 0.328979
0.604167 1.66108 0.332626
0.611111 1.71506 0.336273
0.618056 1.78459 0.33992
0.625 1.86817 0.343567
0.631944 1.96401 0.347214
0.638889 2.07022 0.350861
0.645833 2.18489 0.354508
0.652778 2.30621 0.358155
0.659722 2.43251 0.361802
0.666667 2.56225 0.365449
0.673611 2.69405 0.369096
0.680556 2.82669 0.372742
0.6875 2.95906 0.376389
0.694444 3.09018 0.380036
0.701389 3.21918 0.383683
0.708333 3.34531 0.38733
0.715278 3.46787 0.390977
0.722222 3.58628 0.394624
0.729167 3.70003 0.398271
0.736111 3.80868 0.401918
0.743056 3.91184 0.405565
0.75 4.00922 0.409212
0.756944 4.10057 0.412859
0.763889 4.18569 0.416506
0.770833 4.26446 0.420153
0.777778 4.33679 0.4238
0.784722 4.40265 0.427447
0.791667 4.46205 0.431094
0.798611 4.51506 0.434741
0.805556 4.56178 0.438388
0.8125 4.60235 0.442035
0.819444 4.63696 0.445682
0.826389 4.66581 0.449328
0.833333 4.68916 0.452975
0.840278 4.70729 0.456622
0.847222 4.72049 0.460269
0.854167 4.7291 0.463916
0.861111 4.73347 0.467563
0.868056 4.73396 0.47121
0.875 4.73097 0.474857
0.881944 4.72489 0.478504
0.888889 4.71613 0.482151
0.895833 4.7051 0.485798
0.902778 4.69223 0.489445
0.909722 4.67794 0.493092
0.916667 4.66264 0.496739
0.923611 4.64675 0.500386
0.930556 4.63068 0.504033
0.9375 4.61483 0.50768
0.944444 4.59956 0.511327
0.951389 4.58524 0.514974
0.958333 4.57222 0.518621
0.965278 4.5608 0.522268
0.972222 4.55128 0.525914
0.979167 4.54392 0.529561
0.986111 4.53893 0.533208
0.993056 4.5365 0.536855
1 4.5368 0.540502
1.00694 4.53993 0.544261
1.01389 4.54597 0.548906
1.02083 4.55496 0.553551
1.02778 4.56689 0.558196
1.03472 4.58171 0.562842
1.04167 4.59936 0.567487
1.04861 4.6197 0.572132
1.05556 4.6426 0.576777
1.0625 4.66787 0.581422
1.06944 4.6953 0.586068
1.07639 4.72465 0.590713
1.08333 4.75567 0.595358
1.09028 4.78807 0.600003
1.09722 4.82157 0.604648
1.10417 4.85585 0.609294
1.11111 4.8906 0.613939
1.11806 4.92549 0.618584
1.125 4.96019 0.623229
1.13194 4.99438 0.627874
1.13889 5.02772 0.63252
1.14583 5.05989 0.637165
1.15278 5.09057 0.64181
1.15972 5.11947 0.646455
1.16667 5.14627 0.6511
1.17361 5.17069 0.655746
1.18056 5.19247 0.660391
1.1875 5.21135 0.665036
1.19444 5.2271 0.669681
1.20139 5.23951 0.674326
1.20833 5.24838 0.678972
1.21528 5.25354 0.683617
1.22222 5.25484 0.688262
1.22917 5.25217 0.692907
1.23611 5.24543 0.697552
1.24306 5.23455 0.702198
1.25 5.21949 0.706843
1.25694 5.20024 0.711488
1.26389 5.17683 0.716133
1.27083 5.14929 0.720778
1.27778 5.11772 0.725424
1.28472 5.08221 0.730069
1.29167 5.04293 0.734714
1.29861 5.00004 0.739359
1.30556 4.95375 0.744004
1.3125 4.90432 0.74865
1.31944 4.85202 0.753295
1.32639 4.79717 0.75794
1.33333 4.74012 0.762585
1.34028 4.68127 0.76723
1.34722 4.62104 0.771876
1.35417 4.5599 0.776521
1.36111 4.49835 0.781166
1.36806 4.43695 0.785811
1.375 4.37629 0.790456
1.38194 4.31699 0.795102
1.38889 4.25972 0.799747
1.39583 4.20519 0.804392
1.40278 4.15414 0.809037
1.40972 4.10735 0.813682
1.41667 4.0656 0.818327
1.42361 4.02971 0.822973
1.43056 4.0005 0.827618
1.4375 3.97876 0.832094
1.44444 3.96529 0.836311
1.45139 3.96082 0.840528
1.45833 3.96603 0.844745
1.46528 3.98155 0.848962
1.47222 4.00788 0.853179
1.47917 4.04546 0.857396
1.48611 4.09456 0.861613
1.49306 4.15539 0.86583
1.5 4.22799 0.870047
1.50694 4.31232 0.874264
1.51389 4.4082 0.878481
1.52083 4.51537 0.882698
1.52778 4.63346 0.886915
1.53472 4.76203 0.891132
1.54167 4.90057 0.895349
1.54861 5.04853 0.899566
1.55556 5.2053 0.903783
1.5625 5.37024 0.908
1.56944 5.54268 0.912217
1.57639 5.72194 0.916434
1.58333 5.90732 0.920651
1.59028 6.09812 0.924868
1.59722 6.2936 0.929085
1.60417 6.49305 0.933302
1.61111 6.69575 0.937519
1.61806 6.90098 0.941736
1.625 7.10801 0.945953
1.63194 7.31613 0.95017
1.63889 7.52463 0.954387
1.64583 7.73282 0.958604
1.65278 7.93999 0.962822
1.65972 8.14548 0.967039
1.66667 8.34863 0.971256
1.67361 8.54879 0.975473
1.68056 8.74535 0.97969
1.6875 8.9377 0.983907
1.69444 9.12528 0.988124
1.70139 9.30754 0.992341
1.70833 9.48397 0.996558
1.71528 9.65409 1.00077
1.72222 9.81746 1.00499
1.72917 9.97367 1.00921
1.73611 10.1223 1.01343
1.74306 10.2632 1.01764
1.75 10.3959 1.02186
1.75694 10.5202 1.02608
1.76389 10.6359 1.03029
1.77083 10.7429 1.03451
1.77778 10.8411 1.03873
1.78472 10.9304 1.04294
1.79167 11.0107 1.04716
1.79861 11.0822 1.05138
1.80556 11.1448 1.0556
1.8125 11.1988 1.05981
1.81944 11.2442 1.06403
1.82639 11.2812 1.06825
1.83333 11.3101 1.07246
1.84028 11.3311 1.07668
1.84722 11.3446 1.0809
1.85417 11.3509 1.08511
1.86111 11.3503 1.08933
1.86806 11.3433 1.09355
1.875 11.3302 1.09777
1.88194 11.3115 1.10198
1.88889 11.2877 1.1062
1.89583 11.2592 1.11042
1.90278 11.2266 1.11463
1.90972 11.1903 1.11885
1.91667 11.1508 1.12307
1.92361 11.1087 1.12723
1.93056 11.0644 1.12835
1.9375 11.0185 1.12947
1.94444 10.9716 1.13059
1.95139 10.924 1.13171
1.95833 10.8762 1.13283
1.96528 10.8289 1.13395
1.97222 10.7824 1.13508
1.97917 10.7371 1.1362
1.98611 10.6935 1.13732
1.99306 10.6519 1.13844
2 10.6128 1.13956
2.00694 10.5764 1.14068
2.01389 10.5431 1.1418
2.02083 10.5131 1.14292
2.02778 10.4867 1.14404
2.03472 10.464 1.14516
2.04167 10.4452 1.14628
2.04861 10.4305 1.1474
2.05556 10.4198 1.14852
2.0625 10.4133 1.14964
2.06944 10.411 1.15077
2.07639 10.4128 1.15189
2.08333 10.4186 1.15301
2.09028 10.4283 1.15413
2.09722 10.4419 1.15525
2.10417 10.4591 1.15637
2.11111 10.4797 1.15749
2.11806 10.5036 1.15861
2.125 10.5305 1.15973
2.13194 10.56 1.16085
