time error errTLE
0 0 0
0.00694444 0.0416998 0.00385908
0.0138889 0.0832644 0.00771815
0.0208333 0.124825 0.0115772
0.0277778 0.166514 0.0154363
0.0347222 0.208465 0.0192954
0.0416667 0.250812 0.0231545
0.0486111 0.293682 0.0270135
0.0555556 0.337198 0.0308726
0.0625 0.381474 0.0347317
0.0694444 0.426612 0.0385908
0.0763889 0.472705 0.0424498
0.0833333 0.519829 0.0463089
0.0902778 0.568046 0.050168
0.0972222 0.617402 0.0540271
0.104167 0.667926 0.0578861
0.111111 0.719628 0.0617452
0.118056 0.772503 0.0656043
0.125 0.826525 0.0694634
0.131944 0.881651 0.0733224
0.138889 0.937822 0.0771815
0.145833 0.994958 0.0810406
0.152778 1.05296 0.0848997
0.159722 1.11173 0.0887587
0.166667 1.17113 0.0926178
0.173611 1.23102 0.0964769
0.180556 1.29124 0.100336
0.1875 1.35163 0.104195
0.194444 1.41201 0.108054
0.201389 1.47219 0.111913
0.208333 1.53197 0.115772
0.215278 1.59115 0.119631
0.222222 1.6495 0.12349
0.229167 1.70682 0.12735
0.236111 1.76288 0.131209
0.243056 1.81746 0.135068
0.25 1.87034 0.138927
0.256944 1.9213 0.142786
0.263889 1.97013 0.146645
0.270833 2.01661 0.150504
0.277778 2.06053 0.154363
0.284722 2.10172 0.158222
0.291667 2.13997 0.162081
0.298611 2.17513 0.16594
0.305556 2.20704 0.169799
0.3125 2.23556 0.173658
0.319444 2.26056 0.177517
0.326389 2.28196 0.181377
0.333333 2.29967 0.185236
0.340278 2.31363 0.189095
0.347222 2.32383 0.192954
0.354167 2.33026 0.196813
0.361111 2.33294 0.200672
0.368056 2.33194 0.204531
0.375 2.32734 0.20839
0.381944 2.31927 0.212249
0.388889 2.30788 0.216108
0.395833 2.29336 0.219967
0.402778 2.27594 0.223826
0.409722 2.25587 0.227685
0.416667 2.23346 0.231545
0.423611 2.20904 0.235404
0.430556 2.18297 0.239263
0.4375 2.15565 0.243122
0.444444 2.12752 0.246981
0.451389 2.09902 0.25084
0.458333 2.07063 0.254699
0.465278 2.04284 0.258558
0.472222 2.01614 0.262417
0.479167 1.99104 0.266276
0.486111 1.96801 0.270135
0.493056 1.9475 0.273994
0.5 1.92993 0.277853
0.506944 1.91565 0.281569
0.513889 1.90495 0.285216
0.520833 1.89804 0.288863
0.527778 1.89506 0.29251
0.534722 1.89603 0.296156
0.541667 1.90089 0.299803
0.548611 1.90949 0.30345
0.555556 1.92159 0.307097
0.5625 1.93689 0.310744
0.569444 1.955 0.314391
0.576389 1.97551 0.318038
