time error errTLE
0 0 0
0.0347222 0.223633 0.0192954
0.0694444 0.46904 0.0385908
0.104167 0.719747 0.0578861
0.138889 0.956232 0.0771815
0.173611 1.16322 0.0964769
0.208333 1.33978 0.115772
0.243056 1.51003 0.135068
0.277778 1.72504 0.154363
0.3125 2.04124 0.173658
0.347222 2.48234 0.192954
0.381944 3.02209 0.212249
0.416667 3.59848 0.231545
0.451389 4.13586 0.25084
0.486111 4.56193 0.270135
0.520833 4.8199 0.288863
0.555556 4.87709 0.307097
0.590278 4.72924 0.325332
0.625 4.40002 0.343567
0.659722 3.93584 0.361802
0.694444 3.39753 0.380036
0.729167 2.85137 0.398271
0.763889 2.36141 0.416506
0.798611 1.98253 0.434741
0.833333 1.7492 0.452975
0.868056 1.6585 0.47121
0.902778 1.66721 0.489445
0.9375 1.71599 0.50768
0.972222 1.75424 0.525914
1.00694 1.74779 0.544261
1.04167 1.67843 0.567487
1.07639 1.54374 0.590713
1.11111 1.35868 0.613939
1.14583 1.15996 0.637165
1.18056 1.0132 0.660391
1.21528 1.0044 0.683617
1.25 1.17784 0.706843
1.28472 1.50387 0.730069
1.31944 1.93973 0.753295
1.35417 2.45635 0.776521
1.38889 3.02395 0.799747
1.42361 3.60009 0.822973
1.45833 4.12911 0.844745
1.49306 4.54979 0.86583
1.52778 4.80671 0.886915
1.5625 4.86162 0.908
1.59722 4.7018 0.929085
1.63194 4.34343 0.95017
1.66667 3.82947 0.971256
1.70139 3.22282 0.992341
1.73611 2.59748 1.01343
1.77083 2.03178 1.03451
1.80556 1.60542 1.0556
1.84028 1.38783 1.07668
1.875 1.39007 1.09777
1.90972 1.53954 1.11885
1.94444 1.74562 1.13059
1.97917 1.94429 1.1362
2.01389 2.0929 1.1418
2.04861 2.16188 1.1474
2.08333 2.13446 1.15301
2.11806 2.00972 1.15861
2.15278 1.80535 1.16421
2.1875 1.55942 1.16982
2.22222 1.33211 1.17542
2.25694 1.20285 1.18102
2.29167 1.23895 1.18663
2.32639 1.44344 1.19223
2.36111 1.76995 1.19784
2.39583 2.17091 1.20344
2.43056 2.60308 1.20904
2.46528 3.01722 1.21465
2.5 3.35667 1.22025
2.53472 3.56523 1.22585
2.56944 3.59884 1.23146
2.60417 3.43638 1.23706
2.63889 3.08662 1.24267
2.67361 2.58975 1.24827
2.70833 2.01449 1.25387
2.74306 1.45471 1.25948
2.77778 1.03153 1.26508
2.8125 0.865327 1.27068
2.84722 0.921343 1.27629
2.88194 1.03698 1.28189
2.91667 1.13586 1.28749
2.95139 1.22374 1.2931
2.98611 1.3216 1.2987
3.02083 1.42523 1.35662
3.05556 1.50231 1.51136
3.09028 1.51364 1.66611
3.125 1.43369 1.82085
3.15972 1.26181 1.97559
3.19444 1.02747 2.13034
3.22917 0.796191 2.28508
3.26389 0.669617 2.43982
3.29861 0.706225 2.59457
3.33333 0.827844 2.74931
3.36806 0.943276 2.90406
3.40278 1.02615 3.0588
3.4375 1.09179 3.21354
3.47222 1.16006 3.36829
3.50694 1.22421 3.52303
3.54167 1.24826 3.54723
3.57639 1.19369 3.45215
3.61111 1.05906 3.35706
3.64583 0.937567 3.26197
3.68056 1.04267 3.16689
3.71528 1.44981 3.0718
3.75 2.00216 2.97671
3.78472 2.54813 2.88163
3.81944 2.98641 2.78654
3.85417 3.2533 2.69146
3.88889 3.31955 2.59637
3.92361 3.18877 2.50128
3.95833 2.89244 2.4062
3.99306 2.48083 2.38235
4.02778 2.0111 2.44133
4.0625 1.53575 2.50031
4.09722 1.09941 2.5593
4.13194 0.76659 2.61828
4.16667 0.695167 2.67726
4.20139 0.964768 2.73624
4.23611 1.40349 2.79523
4.27083 1.88262 2.85421
4.30556 2.32955 2.91319
4.34028 2.68978 2.97218
4.375 2.92379 3.03116
4.40972 3.01186 3.09014
4.44444 2.95825 3.14912
4.47917 2.79303 3.20811
4.51389 2.57369 3.26709
4.54861 2.38853 3.32607
4.58333 2.3525 3.38506
4.61806 2.56438 3.44404
4.65278 3.04036 3.50302
4.6875 3.71609 3.562
4.72222 4.49814 3.62099
4.75694 5.2904 3.67997
4.79167 6.00105 3.73895
4.82639 6.54921 3.79794
4.86111 6.87395 3.85692
4.89583 6.94253 3.9159
4.93056 6.75461 3.97488
4.96528 6.34147 4.01485
5 5.76067 4.02881
5.03472 5.08861 4.04277
5.06944 4.41406 4.05673
5.10417 3.83562 4.07069
5.13889 3.45847 4.08465
5.17361 3.37033 4.09861
5.20833 3.58961 4.11258
5.24306 4.04809 4.12654
5.27778 4.6388 4.1405
5.3125 5.26086 4.15446
5.34722 5.83323 4.16842
5.38194 6.29722 4.18238
5.41667 6.61914 4.19634
5.45139 6.79336 4.2103
5.48611 6.84394 4.27573
5.52083 6.82325 4.34137
5.55556 6.80622 4.40701
5.59028 6.87801 4.47264
5.625 7.11324 4.53828
5.65972 7.55153 4.60391
5.69444 8.18214 4.66955
5.72917 8.94685 4.73518
5.76389 9.75623 4.80082
5.79861 10.5088 4.86645
5.83333 11.1082 4.93209
5.86806 11.477 4.99772
5.90278 11.5677 5.06336
5.9375 11.3685 5.12899
5.97222 10.9049 5.16247
6.00694 10.236 5.15855
6.04167 9.44726 5.15463
6.07639 8.64229 5.15071
6.11111 7.9341 5.1468
6.14583 7.4328 5.14288
6.18056 7.22456 5.13896
6.21528 7.34372 5.13504
6.25 7.75825 5.13112
6.28472 8.38533 5.12721
6.31944 9.12262 5.12329
6.35417 9.87315 5.11937
6.38889 10.5586 5.11545
6.42361 11.1261 5.11154
6.45833 11.5525 5.11378
6.49306 11.8451 5.19055
6.52778 12.0405 5.26732
6.5625 12.1982 5.34409
6.59722 12.39 5.42085
6.63194 12.6843 5.49762
6.66667 13.1279 5.57439
6.70139 13.7313 5.65116
6.73611 14.4623 5.72792
6.77083 15.2512 5.80469
6.80556 16.0049 5.88146
6.84028 16.6249 5.95823
6.875 17.024 6.035
6.90972 17.1415 6.11176
6.94444 16.9526 6.18853
6.97917 16.4723 6.24512
7.01389 15.7543 6.22895
7.04861 14.8844 6.21279
7.08333 13.9715 6.19662
7.11806 13.1362 6.18046
7.15278 12.4962 6.1643
7.1875 12.1475 6.14813
7.22222 12.1427 6.13197
7.25694 12.4768 6.1158
7.29167 13.0907 6.09964
7.32639 13.8921 6.08347
7.36111 14.7793 6.06731
7.39583 15.66 6.05114
7.43056 16.4637 6.03498
7.46528 17.1474 6.00945
7.5 17.6987 5.93373
7.53472 18.1348 5.85802
7.56944 18.4972 5.7823
7.60417 18.843 5.70659
7.63889 19.2324 5.63087
7.67361 19.7136 5.55515
7.70833 20.3091 5.47944
7.74306 21.0066 5.40372
7.77778 21.7577 5.328
7.8125 22.4857 5.25229
7.84722 23.0996 5.17657
7.88194 23.511 5.10086
7.91667 23.6509 5.02514
7.95139 23.4824 4.94942
7.98611 23.0078 4.87371
8.02083 22.2705 4.79799
8.05556 21.3505 4.76119
8.09028 20.3553 4.95045
8.125 19.4083 5.13972
8.15972 18.6335 5.32898
8.19444 18.1377 5.51825
8.22917 17.9912 5.70751
8.26389 18.2134 5.89678
8.29861 18.7701 6.08604
8.33333 19.5857 6.27531
8.36806 20.5627 6.46457
8.40278 21.6024 6.65384
8.4375 22.6202 6.8431
8.47222 23.5547 7.02931
8.50694 24.3725 7.20561
8.54167 25.0692 7.3819
8.57639 25.6656 7.55819
8.61111 26.201 7.73448
8.64583 26.7232 7.91077
8.68056 27.2764 8.08707
8.71528 27.8888 8.26336
8.75 28.5629 8.43965
8.78472 29.2704 8.61594
8.81944 29.9545 8.79223
8.85417 30.539 8.96853
8.88889 30.9424 9.14482
8.92361 31.0937 9.32111
8.95833 30.9472 9.4974
8.99306 30.4928 9.43653
9.02778 29.7606 9.30815
9.0625 28.8198 9.17977
9.09722 27.7709 9.05139
9.13194 26.7351 8.92302
9.16667 25.8392 8.79464
9.20139 25.1989 8.66626
9.23611 24.9005 8.53788
9.27083 24.9861 8.4095
9.30556 25.447 8.28112
9.34028 26.2287 8.15274
9.375 27.2459 8.02436
9.40972 28.401 7.89598
9.44444 29.6006 7.7676
9.47917 30.7678 8.16533
9.51389 31.8493 9.70796
9.54861 32.8179 11.2506
9.58333 33.6714 12.7932
9.61806 34.4283 14.3358
9.65278 35.1199 14.9237
9.6875 35.781 14.4872
9.72222 36.4398 14.0507
9.75694 37.1082 13.6142
9.79167 37.7753 13.1776
9.82639 38.4052 12.7411
9.86111 38.9414 12.3046
9.89583 39.3161 11.868
9.93056 39.4633 11.4315
9.96528 39.3339 10.995
10 38.9072 10.7795
10.0347 38.1994 10.5999
10.0694 37.2649 10.4204
10.1042 36.1924 10.2408
10.1389 35.0957 10.0613
10.1736 34.0999 9.88173
10.2083 33.326 9.70219
10.2431 32.8734 9.52265
10.2778 32.8048 9.3431
10.3125 33.1369 9.16356
10.3472 33.8398 8.98402
10.3819 34.8466 8.80447
10.4167 36.0679 8.62493
10.4514 37.4082 8.44539
10.4861 38.7796 8.36778
10.5208 40.1107 8.44635
10.5556 41.3522 8.52493
10.5903 42.4778 8.6035
10.625 43.482 8.68208
10.6597 44.3758 8.76065
10.6944 45.18 8.83923
10.7292 45.917 8.9178
10.7639 46.6029 8.99637
10.7986 47.24 9.07495
10.8333 47.8125 9.15352
10.8681 48.2861 9.2321
10.9028 48.612 9.31067
10.9375 48.7368 9.38925
10.9722 48.6137 9.46782
11.0069 48.216 9.5464
11.0417 47.5464 9.57195
11.0764 46.6427 9.56967
11.1111 45.5775 9.56739
11.1458 44.4516 9.5651
11.1806 43.3834 9.56282
11.2153 42.4944 9.56053
11.25 41.8932 9.55825
11.2847 41.6604 9.55597
11.3194 41.8372 9.55368
11.3542 42.4204 9.5514
11.3889 43.3661 9.54911
11.4236 44.6002 9.54683
11.4583 46.0323 9.54455
11.4931 47.5689 9.54226
11.5278 49.1246 10.1525
11.5625 50.6292 10.7632
11.5972 52.0319 11.374
11.6319 53.3018 11.9847
11.6667 54.4259 12.5955
11.7014 55.4064 13.2062
11.7361 56.2545 13.8169
