time error errTLE
0 0 0
0.0347222 0.223633 0.0192954
0.0694444 0.46904 0.0385908
0.104167 0.719746 0.0578861
0.138889 0.956232 0.0771815
0.173611 1.16322 0.0964769
0.208333 1.33978 0.115772
0.243056 1.51003 0.135068
0.277778 1.72504 0.154363
0.3125 2.04124 0.173658
0.347222 2.48234 0.192954
0.381944 3.02209 0.212249
0.416667 3.59848 0.231545
0.451389 4.13586 0.25084
0.486111 4.56192 0.270135
0.520833 4.8199 0.288863
0.555556 4.87708 0.307097
0.590278 4.72923 0.325332
0.625 4.40001 0.343567
0.659722 3.93582 0.361802
0.694444 3.39751 0.380036
0.729167 2.85136 0.398271
0.763889 2.36139 0.416506
0.798611 1.98252 0.434741
0.833333 1.74919 0.452975
0.868056 1.65849 0.47121
0.902778 1.6672 0.489445
0.9375 1.71598 0.50768
0.972222 1.75423 0.525914
1.00694 1.74778 0.544261
1.04167 1.67842 0.567487
1.07639 1.54373 0.590713
1.11111 1.35867 0.613939
1.14583 1.15996 0.637165
1.18056 1.01319 0.660391
1.21528 1.0044 0.683617
1.25 1.17784 0.706843
1.28472 1.50386 0.730069
1.31944 1.93973 0.753295
1.35417 2.45635 0.776521
1.38889 3.02395 0.799747
1.42361 3.60008 0.822973
1.45833 4.1291 0.844745
1.49306 4.54977 0.86583
1.52778 4.80669 0.886915
1.5625 4.8616 0.908
1.59722 4.70178 0.929085
1.63194 4.34341 0.95017
1.66667 3.82944 0.971256
1.70139 3.22279 0.992341
1.73611 2.59746 1.01343
1.77083 2.03175 1.03451
1.80556 1.6054 1.0556
1.84028 1.38781 1.07668
1.875 1.39005 1.09777
1.90972 1.53952 1.11885
1.94444 1.7456 1.13059
1.97917 1.94427 1.1362
2.01389 2.09288 1.1418
2.04861 2.16185 1.1474
2.08333 2.13444 1.15301
2.11806 2.0097 1.15861
2.15278 1.80533 1.16421
2.1875 1.5594 1.16982
2.22222 1.3321 1.17542
2.25694 1.20283 1.18102
2.29167 1.23893 1.18663
2.32639 1.44342 1.19223
2.36111 1.76994 1.19784
2.39583 2.1709 1.20344
2.43056 2.60306 1.20904
2.46528 3.01719 1.21465
2.5 3.35664 1.22025
2.53472 3.5652 1.22585
2.56944 3.5988 1.23146
2.60417 3.43635 1.23706
2.63889 3.08659 1.24267
2.67361 2.58971 1.24827
2.70833 2.01446 1.25387
2.74306 1.45468 1.25948
2.77778 1.03152 1.26508
2.8125 0.865335 1.27068
2.84722 0.921361 1.27629
2.88194 1.037 1.28189
2.91667 1.13587 1.28749
2.95139 1.22374 1.2931
2.98611 1.32159 1.2987
3.02083 1.42521 1.35662
3.05556 1.50229 1.51136
3.09028 1.51361 1.66611
3.125 1.43366 1.82085
3.15972 1.26178 1.97559
3.19444 1.02744 2.13034
3.22917 0.796169 2.28508
3.26389 0.669609 2.43982
3.29861 0.706231 2.59457
3.33333 0.827855 2.74931
3.36806 0.943285 2.90406
3.40278 1.02615 3.0588
3.4375 1.09178 3.21354
3.47222 1.16004 3.36829
3.50694 1.22418 3.52303
3.54167 1.24822 3.54723
3.57639 1.19365 3.45215
3.61111 1.05902 3.35706
3.64583 0.937537 3.26197
3.68056 1.04267 3.16689
3.71528 1.44984 3.0718
3.75 2.00219 2.97671
3.78472 2.54817 2.88163
3.81944 2.98646 2.78654
3.85417 3.25334 2.69146
3.88889 3.31959 2.59637
3.92361 3.18881 2.50128
3.95833 2.89248 2.4062
3.99306 2.48087 2.38235
4.02778 2.01114 2.44133
4.0625 1.53578 2.50031
4.09722 1.09943 2.5593
4.13194 0.766613 2.61828
4.16667 0.695196 2.67726
4.20139 0.9648 2.73624
4.23611 1.40352 2.79523
4.27083 1.88265 2.85421
4.30556 2.32958 2.91319
4.34028 2.68982 2.97218
4.375 2.92383 3.03116
4.40972 3.0119 3.09014
4.44444 2.9583 3.14912
4.47917 2.79308 3.20811
4.51389 2.57374 3.26709
4.54861 2.38858 3.32607
4.58333 2.35255 3.38506
4.61806 2.56444 3.44404
4.65278 3.04042 3.50302
4.6875 3.71615 3.562
4.72222 4.49819 3.62099
4.75694 5.29045 3.67997
4.79167 6.00111 3.73895
4.82639 6.54927 3.79794
4.86111 6.87401 3.85692
4.89583 6.94259 3.9159
4.93056 6.75467 3.97488
4.96528 6.34152 4.01485
5 5.76072 4.02881
5.03472 5.08866 4.04277
5.06944 4.41412 4.05673
5.10417 3.83567 4.07069
5.13889 3.45852 4.08465
5.17361 3.37039 4.09861
5.20833 3.58966 4.11258
5.24306 4.04814 4.12654
5.27778 4.63885 4.1405
5.3125 5.26091 4.15446
5.34722 5.83328 4.16842
5.38194 6.29728 4.18238
5.41667 6.61919 4.19634
5.45139 6.79342 4.2103
5.48611 6.844 4.27573
5.52083 6.82331 4.34137
5.55556 6.80628 4.40701
5.59028 6.87808 4.47264
5.625 7.11331 4.53828
5.65972 7.5516 4.60391
5.69444 8.1822 4.66955
5.72917 8.94692 4.73518
5.76389 9.7563 4.80082
5.79861 10.5089 4.86645
5.83333 11.1083 4.93209
5.86806 11.4771 4.99772
5.90278 11.5677 5.06336
5.9375 11.3685 5.12899
5.97222 10.905 5.16247
6.00694 10.2361 5.15855
6.04167 9.44733 5.15463
6.07639 8.64236 5.15071
6.11111 7.93417 5.1468
6.14583 7.43287 5.14288
6.18056 7.22463 5.13896
6.21528 7.34378 5.13504
6.25 7.75832 5.13112
6.28472 8.38539 5.12721
6.31944 9.12268 5.12329
6.35417 9.87321 5.11937
6.38889 10.5586 5.11545
6.42361 11.1262 5.11154
6.45833 11.5525 5.11378
6.49306 11.8451 5.19055
6.52778 12.0405 5.26732
6.5625 12.1983 5.34409
6.59722 12.3901 5.42085
6.63194 12.6843 5.49762
6.66667 13.128 5.57439
6.70139 13.7314 5.65116
6.73611 14.4624 5.72792
6.77083 15.2512 5.80469
6.80556 16.005 5.88146
6.84028 16.6249 5.95823
6.875 17.0241 6.035
6.90972 17.1416 6.11176
6.94444 16.9527 6.18853
6.97917 16.4724 6.24512
7.01389 15.7544 6.22895
7.04861 14.8845 6.21279
7.08333 13.9716 6.19662
7.11806 13.1363 6.18046
7.15278 12.4963 6.1643
7.1875 12.1476 6.14813
7.22222 12.1428 6.13197
7.25694 12.4769 6.1158
7.29167 13.0908 6.09964
7.32639 13.8922 6.08347
7.36111 14.7793 6.06731
7.39583 15.6601 6.05114
7.43056 16.4637 6.03498
7.46528 17.1474 6.00945
7.5 17.6988 5.93373
7.53472 18.1349 5.85802
7.56944 18.4973 5.7823
7.60417 18.8431 5.70659
7.63889 19.2325 5.63087
7.67361 19.7137 5.55515
7.70833 20.3092 5.47944
7.74306 21.0066 5.40372
7.77778 21.7578 5.328
7.8125 22.4858 5.25229
7.84722 23.0996 5.17657
7.88194 23.5111 5.10086
7.91667 23.651 5.02514
7.95139 23.4825 4.94942
7.98611 23.0079 4.87371
8.02083 22.2706 4.79799
8.05556 21.3506 4.76119
8.09028 20.3554 4.95045
8.125 19.4084 5.13972
8.15972 18.6336 5.32898
8.19444 18.1377 5.51825
8.22917 17.9912 5.70751
8.26389 18.2134 5.89678
8.29861 18.7702 6.08604
8.33333 19.5858 6.27531
8.36806 20.5628 6.46457
8.40278 21.6025 6.65384
8.4375 22.6203 6.8431
8.47222 23.5548 7.02931
8.50694 24.3726 7.20561
8.54167 25.0693 7.3819
8.57639 25.6657 7.55819
8.61111 26.2011 7.73448
8.64583 26.7233 7.91077
8.68056 27.2765 8.08707
8.71528 27.889 8.26336
8.75 28.563 8.43965
8.78472 29.2705 8.61594
8.81944 29.9546 8.79223
8.85417 30.5391 8.96853
8.88889 30.9425 9.14482
8.92361 31.0938 9.32111
8.95833 30.9473 9.4974
8.99306 30.4929 9.43653
9.02778 29.7608 9.30815
9.0625 28.8199 9.17977
9.09722 27.771 9.05139
9.13194 26.7352 8.92302
9.16667 25.8393 8.79464
9.20139 25.199 8.66626
9.23611 24.9006 8.53788
9.27083 24.9862 8.4095
9.30556 25.4471 8.28112
9.34028 26.2288 8.15274
9.375 27.246 8.02436
9.40972 28.4011 7.89598
9.44444 29.6007 7.7676
9.47917 30.7679 8.16533
9.51389 31.8494 9.70796
9.54861 32.818 11.2506
9.58333 33.6716 12.7932
9.61806 34.4284 14.3358
9.65278 35.12 14.9237
9.6875 35.7811 14.4872
9.72222 36.4399 14.0507
9.75694 37.1084 13.6142
9.79167 37.7754 13.1776
9.82639 38.4053 12.7411
9.86111 38.9415 12.3046
9.89583 39.3162 11.868
9.93056 39.4634 11.4315
9.96528 39.334 10.995
10 38.9073 10.7795
10.0347 38.1995 10.5999
10.0694 37.265 10.4204
10.1042 36.1925 10.2408
10.1389 35.0958 10.0613
10.1736 34.1 9.88173
10.2083 33.3261 9.70219
10.2431 32.8735 9.52265
10.2778 32.8049 9.3431
10.3125 33.137 9.16356
10.3472 33.8399 8.98402
10.3819 34.8467 8.80447
10.4167 36.068 8.62493
10.4514 37.4083 8.44539
10.4861 38.7797 8.36778
10.5208 40.1108 8.44635
10.5556 41.3524 8.52493
10.5903 42.4779 8.6035
10.625 43.4821 8.68208
10.6597 44.3759 8.76065
10.6944 45.1801 8.83923
10.7292 45.9172 8.9178
10.7639 46.6031 8.99637
10.7986 47.2402 9.07495
10.8333 47.8127 9.15352
10.8681 48.2862 9.2321
10.9028 48.6121 9.31067
10.9375 48.7369 9.38925
10.9722 48.6139 9.46782
11.0069 48.2161 9.5464
11.0417 47.5465 9.57195
11.0764 46.6428 9.56967
11.1111 45.5776 9.56739
11.1458 44.4517 9.5651
11.1806 43.3835 9.56282
11.2153 42.4945 9.56053
11.25 41.8933 9.55825
11.2847 41.6606 9.55597
11.3194 41.8373 9.55368
11.3542 42.4205 9.5514
11.3889 43.3662 9.54911
11.4236 44.6004 9.54683
11.4583 46.0325 9.54455
11.4931 47.5691 9.54226
11.5278 49.1247 10.1525
11.5625 50.6294 10.7632
11.5972 52.0321 11.374
11.6319 53.3019 11.9847
11.6667 54.4261 12.5955
11.7014 55.4066 13.2062
11.7361 56.2547 13.8169
