time error errTLE
0 0 0
0.0347222 0.223316 0.0192954
0.0694444 0.467801 0.0385908
0.104167 0.717067 0.0578861
0.138889 0.951666 0.0771815
0.173611 1.15625 0.0964769
0.208333 1.32948 0.115772
0.243056 1.49462 0.135068
0.277778 1.70163 0.154363
0.3125 2.00632 0.173658
0.347222 2.43251 0.192954
0.381944 2.95433 0.212249
0.416667 3.51009 0.231545
0.451389 4.02454 0.25084
0.486111 4.42603 0.270135
0.520833 4.65863 0.288863
0.555556 4.69071 0.307097
0.590278 4.51911 0.325332
0.625 4.16854 0.343567
0.659722 3.68622 0.361802
0.694444 3.13359 0.380036
0.729167 2.57747 0.398271
0.763889 2.08343 0.416506
0.798611 1.71046 0.434741
0.833333 1.49912 0.452975
0.868056 1.44684 0.47121
0.902778 1.50162 0.489445
0.9375 1.59677 0.50768
0.972222 1.68045 0.525914
1.00694 1.71959 0.544261
1.04167 1.69659 0.567487
1.07639 1.60847 0.590713
1.11111 1.46858 0.613939
1.14583 1.30986 0.637165
1.18056 1.18821 0.660391
1.21528 1.17453 0.683617
1.25 1.31598 0.706843
1.28472 1.60525 0.730069
1.31944 2.00832 0.753295
1.35417 2.49183 0.776521
1.38889 3.02045 0.799747
1.42361 3.54898 0.822973
1.45833 4.02181 0.844745
1.49306 4.37977 0.86583
1.52778 4.57061 0.886915
1.5625 4.55983 0.908
1.59722 4.33854 0.929085
1.63194 3.92656 0.95017
1.66667 3.36986 0.971256
1.70139 2.73348 0.992341
1.73611 2.09286 1.01343
1.77083 1.52938 1.03451
1.80556 1.13594 1.0556
1.84028 1.00381 1.07668
1.875 1.1178 1.09777
1.90972 1.35608 1.11885
1.94444 1.62932 1.13059
1.97917 1.89105 1.1362
2.01389 2.10776 1.1418
2.04861 2.25071 1.1474
2.08333 2.29962 1.15301
2.11806 2.24842 1.15861
2.15278 2.10901 1.16421
2.1875 1.91262 1.16982
2.22222 1.709 1.17542
2.25694 1.56198 1.18102
2.29167 1.53296 1.18663
2.32639 1.64931 1.19223
2.36111 1.89068 1.19784
2.39583 2.21133 1.20344
2.43056 2.55982 1.20904
2.46528 2.88189 1.21465
2.5 3.12146 1.22025
2.53472 3.22699 1.22585
2.56944 3.16164 1.23146
2.60417 2.91351 1.23706
2.63889 2.50349 1.24267
2.67361 1.99095 1.24827
2.70833 1.48312 1.25387
2.74306 1.14973 1.25948
2.77778 1.13354 1.26508
2.8125 1.31801 1.27068
2.84722 1.49929 1.27629
2.88194 1.59194 1.28189
2.91667 1.60174 1.28749
2.95139 1.58328 1.2931
2.98611 1.60026 1.2987
3.02083 1.67772 1.35662
3.05556 1.78311 1.51136
3.09028 1.85669 1.66611
3.125 1.84934 1.82085
3.15972 1.73966 1.97559
